# x_m;y_m
128.7528;52.1084
129.2381;52.1084
129.7235;52.1084
130.2088;52.1084
127.2968;51.6230
127.7821;51.6230
128.2674;51.6230
128.7528;51.6230
129.2381;51.6230
129.7235;51.6230
130.2088;51.6230
130.6941;51.6230
131.1795;51.6230
125.8407;51.1377
126.3261;51.1377
126.8114;51.1377
127.2968;51.1377
127.7821;51.1377
128.2674;51.1377
128.7528;51.1377
129.2381;51.1377
129.7235;51.1377
130.2088;51.1377
130.6941;51.1377
131.1795;51.1377
131.6648;51.1377
124.3847;50.6523
124.8701;50.6523
125.3554;50.6523
125.8407;50.6523
126.3261;50.6523
126.8114;50.6523
127.2968;50.6523
127.7821;50.6523
128.2674;50.6523
128.7528;50.6523
129.2381;50.6523
129.7235;50.6523
130.2088;50.6523
130.6941;50.6523
131.1795;50.6523
131.6648;50.6523
122.9287;50.1670
123.4140;50.1670
123.8994;50.1670
124.3847;50.1670
124.8701;50.1670
125.3554;50.1670
125.8407;50.1670
126.3261;50.1670
126.8114;50.1670
127.2968;50.1670
127.7821;50.1670
128.2674;50.1670
130.2088;50.1670
130.6941;50.1670
131.1795;50.1670
131.6648;50.1670
121.4727;49.6817
121.9580;49.6817
122.4434;49.6817
122.9287;49.6817
123.4140;49.6817
123.8994;49.6817
124.3847;49.6817
124.8701;49.6817
125.3554;49.6817
125.8407;49.6817
126.3261;49.6817
126.8114;49.6817
130.2088;49.6817
130.6941;49.6817
131.1795;49.6817
131.6648;49.6817
120.0167;49.1963
120.5020;49.1963
120.9873;49.1963
121.4727;49.1963
121.9580;49.1963
122.4434;49.1963
122.9287;49.1963
123.4140;49.1963
123.8994;49.1963
124.3847;49.1963
124.8701;49.1963
125.3554;49.1963
129.7235;49.1963
130.2088;49.1963
130.6941;49.1963
131.1795;49.1963
131.6648;49.1963
118.5606;48.7110
119.0460;48.7110
119.5313;48.7110
120.0167;48.7110
120.5020;48.7110
120.9873;48.7110
121.4727;48.7110
121.9580;48.7110
122.4434;48.7110
122.9287;48.7110
123.4140;48.7110
123.8994;48.7110
129.7235;48.7110
130.2088;48.7110
130.6941;48.7110
131.1795;48.7110
117.1046;48.2256
117.5900;48.2256
118.0753;48.2256
118.5606;48.2256
119.0460;48.2256
119.5313;48.2256
120.0167;48.2256
120.5020;48.2256
120.9873;48.2256
121.4727;48.2256
121.9580;48.2256
122.4434;48.2256
129.2381;48.2256
129.7235;48.2256
130.2088;48.2256
130.6941;48.2256
131.1795;48.2256
115.1633;47.7403
115.6486;47.7403
116.1339;47.7403
116.6193;47.7403
117.1046;47.7403
117.5900;47.7403
118.0753;47.7403
118.5606;47.7403
119.0460;47.7403
119.5313;47.7403
120.0167;47.7403
120.5020;47.7403
120.9873;47.7403
128.7528;47.7403
129.2381;47.7403
129.7235;47.7403
130.2088;47.7403
130.6941;47.7403
113.7072;47.2550
114.1926;47.2550
114.6779;47.2550
115.1633;47.2550
115.6486;47.2550
116.1339;47.2550
116.6193;47.2550
117.1046;47.2550
117.5900;47.2550
118.0753;47.2550
118.5606;47.2550
119.0460;47.2550
119.5313;47.2550
128.7528;47.2550
129.2381;47.2550
129.7235;47.2550
130.2088;47.2550
112.2512;46.7696
112.7366;46.7696
113.2219;46.7696
113.7072;46.7696
114.1926;46.7696
114.6779;46.7696
115.1633;46.7696
115.6486;46.7696
116.1339;46.7696
116.6193;46.7696
117.1046;46.7696
117.5900;46.7696
118.0753;46.7696
128.2674;46.7696
128.7528;46.7696
129.2381;46.7696
129.7235;46.7696
130.2088;46.7696
110.3099;46.2843
110.7952;46.2843
111.2805;46.2843
111.7659;46.2843
112.2512;46.2843
112.7366;46.2843
113.2219;46.2843
113.7072;46.2843
114.1926;46.2843
114.6779;46.2843
115.1633;46.2843
115.6486;46.2843
116.1339;46.2843
127.7821;46.2843
128.2674;46.2843
128.7528;46.2843
129.2381;46.2843
129.7235;46.2843
108.8538;45.7989
109.3392;45.7989
109.8245;45.7989
110.3099;45.7989
110.7952;45.7989
111.2805;45.7989
111.7659;45.7989
112.2512;45.7989
112.7366;45.7989
113.2219;45.7989
113.7072;45.7989
114.1926;45.7989
114.6779;45.7989
127.2968;45.7989
127.7821;45.7989
128.2674;45.7989
128.7528;45.7989
129.2381;45.7989
106.9125;45.3136
107.3978;45.3136
107.8832;45.3136
108.3685;45.3136
108.8538;45.3136
109.3392;45.3136
109.8245;45.3136
110.3099;45.3136
110.7952;45.3136
111.2805;45.3136
111.7659;45.3136
112.2512;45.3136
112.7366;45.3136
113.2219;45.3136
126.8114;45.3136
127.2968;45.3136
127.7821;45.3136
128.2674;45.3136
128.7528;45.3136
105.4565;44.8283
105.9418;44.8283
106.4271;44.8283
106.9125;44.8283
107.3978;44.8283
107.8832;44.8283
108.3685;44.8283
108.8538;44.8283
109.3392;44.8283
109.8245;44.8283
110.3099;44.8283
110.7952;44.8283
111.2805;44.8283
126.8114;44.8283
127.2968;44.8283
127.7821;44.8283
128.2674;44.8283
103.5151;44.3429
104.0004;44.3429
104.4858;44.3429
104.9711;44.3429
105.4565;44.3429
105.9418;44.3429
106.4271;44.3429
106.9125;44.3429
107.3978;44.3429
107.8832;44.3429
108.3685;44.3429
108.8538;44.3429
109.3392;44.3429
109.8245;44.3429
126.3261;44.3429
126.8114;44.3429
127.2968;44.3429
127.7821;44.3429
128.2674;44.3429
101.5737;43.8576
102.0591;43.8576
102.5444;43.8576
103.0298;43.8576
103.5151;43.8576
104.0004;43.8576
104.4858;43.8576
104.9711;43.8576
105.4565;43.8576
105.9418;43.8576
106.4271;43.8576
106.9125;43.8576
107.3978;43.8576
107.8832;43.8576
108.3685;43.8576
125.8407;43.8576
126.3261;43.8576
126.8114;43.8576
127.2968;43.8576
127.7821;43.8576
99.6324;43.3722
100.1177;43.3722
100.6031;43.3722
101.0884;43.3722
101.5737;43.3722
102.0591;43.3722
102.5444;43.3722
103.0298;43.3722
103.5151;43.3722
104.0004;43.3722
104.4858;43.3722
104.9711;43.3722
105.4565;43.3722
105.9418;43.3722
106.4271;43.3722
125.3554;43.3722
125.8407;43.3722
126.3261;43.3722
126.8114;43.3722
127.2968;43.3722
97.6910;42.8869
98.1764;42.8869
98.6617;42.8869
99.1470;42.8869
99.6324;42.8869
100.1177;42.8869
100.6031;42.8869
101.0884;42.8869
101.5737;42.8869
102.0591;42.8869
102.5444;42.8869
103.0298;42.8869
103.5151;42.8869
104.0004;42.8869
104.4858;42.8869
124.8701;42.8869
125.3554;42.8869
125.8407;42.8869
126.3261;42.8869
126.8114;42.8869
95.7497;42.4016
96.2350;42.4016
96.7203;42.4016
97.2057;42.4016
97.6910;42.4016
98.1764;42.4016
98.6617;42.4016
99.1470;42.4016
99.6324;42.4016
100.1177;42.4016
100.6031;42.4016
101.0884;42.4016
101.5737;42.4016
102.0591;42.4016
102.5444;42.4016
103.0298;42.4016
124.3847;42.4016
124.8701;42.4016
125.3554;42.4016
125.8407;42.4016
126.3261;42.4016
93.8083;41.9162
94.2936;41.9162
94.7790;41.9162
95.2643;41.9162
95.7497;41.9162
96.2350;41.9162
96.7203;41.9162
97.2057;41.9162
97.6910;41.9162
98.1764;41.9162
98.6617;41.9162
99.1470;41.9162
99.6324;41.9162
100.1177;41.9162
100.6031;41.9162
101.0884;41.9162
124.3847;41.9162
124.8701;41.9162
125.3554;41.9162
125.8407;41.9162
126.3261;41.9162
91.8669;41.4309
92.3523;41.4309
92.8376;41.4309
93.3230;41.4309
93.8083;41.4309
94.2936;41.4309
94.7790;41.4309
95.2643;41.4309
95.7497;41.4309
96.2350;41.4309
96.7203;41.4309
97.2057;41.4309
97.6910;41.4309
98.1764;41.4309
98.6617;41.4309
99.1470;41.4309
123.8994;41.4309
124.3847;41.4309
124.8701;41.4309
125.3554;41.4309
125.8407;41.4309
89.4402;40.9455
89.9256;40.9455
90.4109;40.9455
90.8963;40.9455
91.3816;40.9455
91.8669;40.9455
92.3523;40.9455
92.8376;40.9455
93.3230;40.9455
93.8083;40.9455
94.2936;40.9455
94.7790;40.9455
95.2643;40.9455
95.7497;40.9455
96.2350;40.9455
96.7203;40.9455
97.2057;40.9455
123.4140;40.9455
123.8994;40.9455
124.3847;40.9455
124.8701;40.9455
125.3554;40.9455
