# x_m;y_m
-10.5750;9.0150
-10.0750;9.0150
-9.5750;9.0150
-9.0750;9.0150
-8.5750;9.0150
-8.0750;9.0150
-7.5750;9.0150
-7.0750;9.0150
-6.5750;9.0150
-6.0750;9.0150
-5.5750;9.0150
-5.0750;9.0150
-4.5750;9.0150
-4.0750;9.0150
-3.5750;9.0150
-3.0750;9.0150
-2.5750;9.0150
-2.0750;9.0150
-1.5750;9.0150
-1.0750;9.0150
-10.5750;8.5150
-10.0750;8.5150
-9.5750;8.5150
-9.0750;8.5150
-8.5750;8.5150
-8.0750;8.5150
-7.5750;8.5150
-7.0750;8.5150
-6.5750;8.5150
-6.0750;8.5150
-5.5750;8.5150
-5.0750;8.5150
-4.5750;8.5150
-4.0750;8.5150
-3.5750;8.5150
-3.0750;8.5150
-2.5750;8.5150
-2.0750;8.5150
-1.5750;8.5150
-1.0750;8.5150
-0.5750;8.5150
-0.0750;8.5150
0.9250;8.5150
1.4250;8.5150
1.9250;8.5150
2.4250;8.5150
2.9250;8.5150
3.4250;8.5150
3.9250;8.5150
4.4250;8.5150
4.9250;8.5150
5.4250;8.5150
5.9250;8.5150
6.4250;8.5150
6.9250;8.5150
7.4250;8.5150
7.9250;8.5150
8.4250;8.5150
8.9250;8.5150
-10.5750;8.0150
-10.0750;8.0150
-9.5750;8.0150
-9.0750;8.0150
-8.5750;8.0150
-8.0750;8.0150
-7.5750;8.0150
-7.0750;8.0150
-6.5750;8.0150
-6.0750;8.0150
-5.5750;8.0150
-5.0750;8.0150
-4.5750;8.0150
-4.0750;8.0150
-3.5750;8.0150
-3.0750;8.0150
-2.5750;8.0150
-2.0750;8.0150
-1.5750;8.0150
-1.0750;8.0150
-0.5750;8.0150
-0.0750;8.0150
0.9250;8.0150
1.4250;8.0150
1.9250;8.0150
2.4250;8.0150
2.9250;8.0150
3.4250;8.0150
3.9250;8.0150
4.4250;8.0150
4.9250;8.0150
5.4250;8.0150
5.9250;8.0150
6.4250;8.0150
6.9250;8.0150
7.4250;8.0150
7.9250;8.0150
8.4250;8.0150
8.9250;8.0150
9.4250;8.0150
9.9250;8.0150
10.4250;8.0150
10.9250;8.0150
11.4250;8.0150
-10.5750;7.5150
-10.0750;7.5150
-9.5750;7.5150
-9.0750;7.5150
-8.5750;7.5150
-8.0750;7.5150
-7.5750;7.5150
-7.0750;7.5150
-6.5750;7.5150
-6.0750;7.5150
-5.5750;7.5150
-5.0750;7.5150
-4.5750;7.5150
-4.0750;7.5150
-3.5750;7.5150
-3.0750;7.5150
-2.5750;7.5150
-2.0750;7.5150
-1.5750;7.5150
-1.0750;7.5150
-0.5750;7.5150
-0.0750;7.5150
0.9250;7.5150
1.4250;7.5150
1.9250;7.5150
2.4250;7.5150
2.9250;7.5150
3.4250;7.5150
3.9250;7.5150
4.4250;7.5150
4.9250;7.5150
5.4250;7.5150
5.9250;7.5150
6.4250;7.5150
6.9250;7.5150
7.4250;7.5150
7.9250;7.5150
8.4250;7.5150
8.9250;7.5150
9.4250;7.5150
9.9250;7.5150
10.4250;7.5150
10.9250;7.5150
11.4250;7.5150
11.9250;7.5150
-10.5750;7.0150
-10.0750;7.0150
-9.5750;7.0150
-9.0750;7.0150
-8.5750;7.0150
-8.0750;7.0150
-7.5750;7.0150
-7.0750;7.0150
-6.5750;7.0150
-6.0750;7.0150
-5.5750;7.0150
-5.0750;7.0150
-4.5750;7.0150
-4.0750;7.0150
-3.5750;7.0150
-3.0750;7.0150
-2.5750;7.0150
-2.0750;7.0150
-1.5750;7.0150
-1.0750;7.0150
-0.5750;7.0150
-0.0750;7.0150
0.9250;7.0150
1.4250;7.0150
1.9250;7.0150
2.4250;7.0150
2.9250;7.0150
3.4250;7.0150
3.9250;7.0150
4.4250;7.0150
4.9250;7.0150
5.4250;7.0150
5.9250;7.0150
6.4250;7.0150
6.9250;7.0150
7.4250;7.0150
7.9250;7.0150
8.4250;7.0150
8.9250;7.0150
9.4250;7.0150
9.9250;7.0150
10.4250;7.0150
10.9250;7.0150
11.4250;7.0150
11.9250;7.0150
-10.5750;6.5150
-10.0750;6.5150
-9.5750;6.5150
-9.0750;6.5150
-8.5750;6.5150
-6.5750;6.5150
-6.0750;6.5150
-5.5750;6.5150
-5.0750;6.5150
-4.5750;6.5150
-4.0750;6.5150
-3.5750;6.5150
-3.0750;6.5150
-2.5750;6.5150
-2.0750;6.5150
-1.5750;6.5150
-1.0750;6.5150
-0.5750;6.5150
-0.0750;6.5150
0.9250;6.5150
1.4250;6.5150
1.9250;6.5150
2.4250;6.5150
2.9250;6.5150
3.4250;6.5150
3.9250;6.5150
4.4250;6.5150
4.9250;6.5150
5.4250;6.5150
5.9250;6.5150
6.4250;6.5150
6.9250;6.5150
7.4250;6.5150
7.9250;6.5150
8.4250;6.5150
8.9250;6.5150
9.4250;6.5150
9.9250;6.5150
10.4250;6.5150
10.9250;6.5150
11.4250;6.5150
11.9250;6.5150
-10.5750;6.0150
-10.0750;6.0150
-9.5750;6.0150
-9.0750;6.0150
-5.0750;6.0150
-4.5750;6.0150
-4.0750;6.0150
-3.5750;6.0150
-3.0750;6.0150
-2.5750;6.0150
-2.0750;6.0150
-1.5750;6.0150
-1.0750;6.0150
-0.5750;6.0150
-0.0750;6.0150
0.9250;6.0150
1.4250;6.0150
1.9250;6.0150
2.4250;6.0150
2.9250;6.0150
3.4250;6.0150
3.9250;6.0150
4.4250;6.0150
4.9250;6.0150
5.4250;6.0150
5.9250;6.0150
6.4250;6.0150
6.9250;6.0150
7.4250;6.0150
7.9250;6.0150
8.9250;6.0150
9.4250;6.0150
9.9250;6.0150
10.4250;6.0150
10.9250;6.0150
11.4250;6.0150
11.9250;6.0150
-10.5750;5.5150
-10.0750;5.5150
-9.5750;5.5150
-9.0750;5.5150
-8.5750;5.5150
-8.0750;5.5150
-7.5750;5.5150
-7.0750;5.5150
-6.5750;5.5150
-6.0750;5.5150
-5.5750;5.5150
-4.5750;5.5150
-4.0750;5.5150
-3.5750;5.5150
-3.0750;5.5150
-2.5750;5.5150
-2.0750;5.5150
-1.5750;5.5150
-1.0750;5.5150
-0.5750;5.5150
-0.0750;5.5150
0.4250;5.5150
0.9250;5.5150
1.4250;5.5150
1.9250;5.5150
2.4250;5.5150
2.9250;5.5150
3.4250;5.5150
3.9250;5.5150
4.4250;5.5150
4.9250;5.5150
5.4250;5.5150
5.9250;5.5150
6.4250;5.5150
6.9250;5.5150
8.9250;5.5150
9.4250;5.5150
9.9250;5.5150
10.4250;5.5150
10.9250;5.5150
11.4250;5.5150
11.9250;5.5150
-10.5750;5.0150
-10.0750;5.0150
-9.5750;5.0150
-9.0750;5.0150
-8.5750;5.0150
-8.0750;5.0150
-7.5750;5.0150
-7.0750;5.0150
-6.5750;5.0150
-6.0750;5.0150
-5.5750;5.0150
-3.5750;5.0150
-3.0750;5.0150
-2.5750;5.0150
-2.0750;5.0150
-1.5750;5.0150
-1.0750;5.0150
-0.5750;5.0150
-0.0750;5.0150
0.4250;5.0150
0.9250;5.0150
1.4250;5.0150
1.9250;5.0150
2.4250;5.0150
2.9250;5.0150
3.4250;5.0150
3.9250;5.0150
4.4250;5.0150
4.9250;5.0150
5.4250;5.0150
5.9250;5.0150
8.9250;5.0150
9.4250;5.0150
9.9250;5.0150
10.4250;5.0150
10.9250;5.0150
11.4250;5.0150
-7.0750;4.5150
-6.5750;4.5150
-6.0750;4.5150
-5.5750;4.5150
-3.0750;4.5150
-2.5750;4.5150
-2.0750;4.5150
-1.5750;4.5150
-1.0750;4.5150
-0.5750;4.5150
-0.0750;4.5150
0.4250;4.5150
0.9250;4.5150
1.4250;4.5150
1.9250;4.5150
2.4250;4.5150
2.9250;4.5150
3.4250;4.5150
3.9250;4.5150
4.4250;4.5150
4.9250;4.5150
5.4250;4.5150
8.9250;4.5150
9.4250;4.5150
10.9250;4.5150
11.4250;4.5150
-10.5750;4.0150
-7.0750;4.0150
-6.5750;4.0150
-6.0750;4.0150
-5.5750;4.0150
8.9250;4.0150
9.4250;4.0150
10.4250;4.0150
10.9250;4.0150
11.4250;4.0150
-10.5750;3.5150
-10.0750;3.5150
-9.5750;3.5150
-9.0750;3.5150
-8.5750;3.5150
-8.0750;3.5150
-7.5750;3.5150
-7.0750;3.5150
-6.5750;3.5150
-6.0750;3.5150
-5.5750;3.5150
8.4250;3.5150
8.9250;3.5150
9.4250;3.5150
10.4250;3.5150
10.9250;3.5150
11.4250;3.5150
-10.5750;3.0150
-10.0750;3.0150
-9.5750;3.0150
-9.0750;3.0150
-8.5750;3.0150
-8.0750;3.0150
-7.5750;3.0150
-7.0750;3.0150
-6.5750;3.0150
-6.0750;3.0150
-5.5750;3.0150
8.4250;3.0150
8.9250;3.0150
9.9250;3.0150
10.4250;3.0150
10.9250;3.0150
11.4250;3.0150
-11.0750;2.5150
-10.5750;2.5150
-10.0750;2.5150
-9.5750;2.5150
-9.0750;2.5150
-8.5750;2.5150
-8.0750;2.5150
-7.5750;2.5150
-7.0750;2.5150
-6.5750;2.5150
-6.0750;2.5150
8.4250;2.5150
8.9250;2.5150
9.9250;2.5150
10.4250;2.5150
10.9250;2.5150
11.4250;2.5150
-11.0750;2.0150
-10.5750;2.0150
-10.0750;2.0150
-9.5750;2.0150
-9.0750;2.0150
-8.5750;2.0150
-8.0750;2.0150
-7.5750;2.0150
-7.0750;2.0150
-6.5750;2.0150
-6.0750;2.0150
-5.0750;2.0150
-4.5750;2.0150
-4.0750;2.0150
-3.5750;2.0150
-3.0750;2.0150
-2.5750;2.0150
-2.0750;2.0150
-1.5750;2.0150
-1.0750;2.0150
-0.5750;2.0150
-0.0750;2.0150
0.4250;2.0150
0.9250;2.0150
1.4250;2.0150
1.9250;2.0150
2.4250;2.0150
2.9250;2.0150
3.4250;2.0150
3.9250;2.0150
4.4250;2.0150
4.9250;2.0150
7.9250;2.0150
8.4250;2.0150
8.9250;2.0150
9.9250;2.0150
10.4250;2.0150
10.9250;2.0150
11.4250;2.0150
-11.0750;1.5150
-10.5750;1.5150
-10.0750;1.5150
-9.5750;1.5150
-9.0750;1.5150
-5.5750;1.5150
-5.0750;1.5150
-4.5750;1.5150
-4.0750;1.5150
-3.5750;1.5150
-3.0750;1.5150
-2.5750;1.5150
-2.0750;1.5150
-1.5750;1.5150
-1.0750;1.5150
-0.5750;1.5150
-0.0750;1.5150
0.4250;1.5150
0.9250;1.5150
1.4250;1.5150
1.9250;1.5150
2.4250;1.5150
2.9250;1.5150
3.4250;1.5150
3.9250;1.5150
4.4250;1.5150
4.9250;1.5150
5.4250;1.5150
5.9250;1.5150
7.9250;1.5150
8.4250;1.5150
9.4250;1.5150
9.9250;1.5150
10.4250;1.5150
10.9250;1.5150
11.4250;1.5150
-11.0750;1.0150
-10.5750;1.0150
-10.0750;1.0150
-9.5750;1.0150
-9.0750;1.0150
-8.5750;1.0150
-8.0750;1.0150
-7.5750;1.0150
-7.0750;1.0150
-6.5750;1.0150
-6.0750;1.0150
-5.5750;1.0150
-5.0750;1.0150
-4.5750;1.0150
-4.0750;1.0150
-3.5750;1.0150
-3.0750;1.0150
-2.5750;1.0150
-2.0750;1.0150
-1.5750;1.0150
-1.0750;1.0150
-0.5750;1.0150
-0.0750;1.0150
0.4250;1.0150
0.9250;1.0150
1.4250;1.0150
1.9250;1.0150
2.4250;1.0150
2.9250;1.0150
3.4250;1.0150
3.9250;1.0150
4.4250;1.0150
4.9250;1.0150
5.4250;1.0150
5.9250;1.0150
6.4250;1.0150
7.4250;1.0150
7.9250;1.0150
8.4250;1.0150
8.9250;1.0150
9.4250;1.0150
9.9250;1.0150
10.4250;1.0150
10.9250;1.0150
11.4250;1.0150
-11.0750;0.5150
-10.5750;0.5150
-10.0750;0.5150
-9.5750;0.5150
-9.0750;0.5150
-8.5750;0.5150
-8.0750;0.5150
-7.5750;0.5150
-7.0750;0.5150
-6.5750;0.5150
-6.0750;0.5150
-5.5750;0.5150
-5.0750;0.5150
-4.5750;0.5150
-4.0750;0.5150
-3.5750;0.5150
-3.0750;0.5150
-2.5750;0.5150
-2.0750;0.5150
-1.5750;0.5150
-1.0750;0.5150
-0.5750;0.5150
-0.0750;0.5150
0.4250;0.5150
0.9250;0.5150
1.4250;0.5150
1.9250;0.5150
2.4250;0.5150
2.9250;0.5150
3.4250;0.5150
3.9250;0.5150
4.4250;0.5150
4.9250;0.5150
5.4250;0.5150
5.9250;0.5150
6.4250;0.5150
6.9250;0.5150
7.4250;0.5150
7.9250;0.5150
8.4250;0.5150
8.9250;0.5150
9.4250;0.5150
9.9250;0.5150
10.4250;0.5150
10.9250;0.5150
11.4250;0.5150
-11.0750;0.0150
-10.5750;0.0150
-10.0750;0.0150
-9.5750;0.0150
-9.0750;0.0150
-8.5750;0.0150
-8.0750;0.0150
-7.5750;0.0150
-7.0750;0.0150
-6.5750;0.0150
-6.0750;0.0150
-5.5750;0.0150
-5.0750;0.0150
-4.5750;0.0150
-4.0750;0.0150
-3.5750;0.0150
-3.0750;0.0150
-2.5750;0.0150
-2.0750;0.0150
-1.5750;0.0150
-1.0750;0.0150
-0.5750;0.0150
-0.0750;0.0150
0.4250;0.0150
0.9250;0.0150
1.4250;0.0150
1.9250;0.0150
2.4250;0.0150
2.9250;0.0150
3.4250;0.0150
3.9250;0.0150
4.4250;0.0150
4.9250;0.0150
5.4250;0.0150
5.9250;0.0150
6.4250;0.0150
6.9250;0.0150
7.4250;0.0150
7.9250;0.0150
8.4250;0.0150
8.9250;0.0150
9.4250;0.0150
9.9250;0.0150
10.4250;0.0150
10.9250;0.0150
11.4250;0.0150
-10.5750;-0.4850
-10.0750;-0.4850
-9.5750;-0.4850
-9.0750;-0.4850
-8.5750;-0.4850
-8.0750;-0.4850
-7.5750;-0.4850
-7.0750;-0.4850
-6.5750;-0.4850
-6.0750;-0.4850
-5.5750;-0.4850
-5.0750;-0.4850
-4.5750;-0.4850
-4.0750;-0.4850
-3.5750;-0.4850
-3.0750;-0.4850
-2.5750;-0.4850
-2.0750;-0.4850
-1.5750;-0.4850
-1.0750;-0.4850
-0.5750;-0.4850
-0.0750;-0.4850
0.4250;-0.4850
0.9250;-0.4850
1.4250;-0.4850
1.9250;-0.4850
2.4250;-0.4850
2.9250;-0.4850
3.4250;-0.4850
3.9250;-0.4850
4.4250;-0.4850
4.9250;-0.4850
5.4250;-0.4850
5.9250;-0.4850
6.4250;-0.4850
6.9250;-0.4850
7.4250;-0.4850
7.9250;-0.4850
8.4250;-0.4850
8.9250;-0.4850
9.4250;-0.4850
9.9250;-0.4850
10.4250;-0.4850
10.9250;-0.4850
11.4250;-0.4850
-3.0750;-0.9850
-2.5750;-0.9850
-2.0750;-0.9850
-1.5750;-0.9850
-1.0750;-0.9850
-0.5750;-0.9850
-0.0750;-0.9850
0.4250;-0.9850
0.9250;-0.9850
1.4250;-0.9850
1.9250;-0.9850
2.4250;-0.9850
2.9250;-0.9850
3.4250;-0.9850
3.9250;-0.9850
4.4250;-0.9850
4.9250;-0.9850
5.4250;-0.9850
5.9250;-0.9850
6.4250;-0.9850
6.9250;-0.9850
7.4250;-0.9850
7.9250;-0.9850
8.4250;-0.9850
8.9250;-0.9850
9.4250;-0.9850
9.9250;-0.9850
10.4250;-0.9850
10.9250;-0.9850
11.4250;-0.9850
8.9250;-1.4850
9.4250;-1.4850
9.9250;-1.4850
10.4250;-1.4850
10.9250;-1.4850
