# x_m;y_m
13.6509;6.3612
14.1514;6.3612
14.6519;6.3612
15.1524;6.3612
15.6529;6.3612
16.1534;6.3612
16.6539;6.3612
17.1544;6.3612
17.6549;6.3612
18.1554;6.3612
18.6559;6.3612
19.1564;6.3612
19.6569;6.3612
20.1574;6.3612
11.6489;5.8607
12.1494;5.8607
12.6499;5.8607
13.1504;5.8607
13.6509;5.8607
14.1514;5.8607
14.6519;5.8607
15.1524;5.8607
15.6529;5.8607
16.1534;5.8607
16.6539;5.8607
17.1544;5.8607
17.6549;5.8607
18.1554;5.8607
18.6559;5.8607
19.1564;5.8607
19.6569;5.8607
20.1574;5.8607
20.6579;5.8607
21.1584;5.8607
21.6589;5.8607
10.1474;5.3602
10.6479;5.3602
11.1484;5.3602
11.6489;5.3602
12.1494;5.3602
12.6499;5.3602
13.1504;5.3602
13.6509;5.3602
14.1514;5.3602
14.6519;5.3602
15.1524;5.3602
15.6529;5.3602
16.1534;5.3602
16.6539;5.3602
17.1544;5.3602
17.6549;5.3602
18.1554;5.3602
18.6559;5.3602
19.1564;5.3602
19.6569;5.3602
20.1574;5.3602
20.6579;5.3602
21.1584;5.3602
21.6589;5.3602
22.1594;5.3602
22.6599;5.3602
8.6459;4.8597
9.1464;4.8597
9.6469;4.8597
10.1474;4.8597
10.6479;4.8597
11.1484;4.8597
11.6489;4.8597
12.1494;4.8597
12.6499;4.8597
13.1504;4.8597
13.6509;4.8597
14.1514;4.8597
14.6519;4.8597
15.1524;4.8597
15.6529;4.8597
16.1534;4.8597
16.6539;4.8597
17.1544;4.8597
17.6549;4.8597
18.1554;4.8597
18.6559;4.8597
19.1564;4.8597
19.6569;4.8597
20.1574;4.8597
20.6579;4.8597
21.1584;4.8597
21.6589;4.8597
22.1594;4.8597
22.6599;4.8597
23.1604;4.8597
7.1444;4.3592
7.6449;4.3592
8.1454;4.3592
8.6459;4.3592
9.1464;4.3592
9.6469;4.3592
10.1474;4.3592
10.6479;4.3592
11.1484;4.3592
11.6489;4.3592
12.1494;4.3592
12.6499;4.3592
13.1504;4.3592
13.6509;4.3592
14.1514;4.3592
14.6519;4.3592
15.1524;4.3592
15.6529;4.3592
16.1534;4.3592
16.6539;4.3592
17.1544;4.3592
17.6549;4.3592
18.1554;4.3592
18.6559;4.3592
19.1564;4.3592
19.6569;4.3592
20.1574;4.3592
20.6579;4.3592
21.1584;4.3592
21.6589;4.3592
22.1594;4.3592
22.6599;4.3592
23.1604;4.3592
