# x_m;y_m
14.5764;99.9806
15.0920;99.9806
15.6077;99.9806
16.1234;99.9806
16.6391;99.9806
17.1548;99.9806
17.6704;99.9806
18.1861;99.9806
18.7018;99.9806
13.5450;99.4650
14.0607;99.4650
14.5764;99.4650
15.0920;99.4650
15.6077;99.4650
16.1234;99.4650
16.6391;99.4650
17.1548;99.4650
17.6704;99.4650
18.1861;99.4650
18.7018;99.4650
19.2175;99.4650
19.7332;99.4650
12.5136;98.9493
13.0293;98.9493
13.5450;98.9493
14.0607;98.9493
14.5764;98.9493
15.0920;98.9493
15.6077;98.9493
16.1234;98.9493
16.6391;98.9493
17.1548;98.9493
17.6704;98.9493
18.1861;98.9493
18.7018;98.9493
19.2175;98.9493
19.7332;98.9493
20.2488;98.9493
20.7645;98.9493
11.9980;98.4336
12.5136;98.4336
13.0293;98.4336
13.5450;98.4336
14.0607;98.4336
14.5764;98.4336
15.0920;98.4336
15.6077;98.4336
16.1234;98.4336
16.6391;98.4336
17.1548;98.4336
17.6704;98.4336
18.1861;98.4336
18.7018;98.4336
19.2175;98.4336
19.7332;98.4336
20.2488;98.4336
20.7645;98.4336
21.2802;98.4336
11.4823;97.9179
11.9980;97.9179
12.5136;97.9179
13.0293;97.9179
13.5450;97.9179
14.0607;97.9179
14.5764;97.9179
15.0920;97.9179
15.6077;97.9179
17.6704;97.9179
18.1861;97.9179
18.7018;97.9179
19.2175;97.9179
19.7332;97.9179
20.2488;97.9179
20.7645;97.9179
21.2802;97.9179
21.7959;97.9179
22.3116;97.9179
10.9666;97.4022
11.4823;97.4022
11.9980;97.4022
12.5136;97.4022
13.0293;97.4022
13.5450;97.4022
14.0607;97.4022
19.2175;97.4022
19.7332;97.4022
20.2488;97.4022
20.7645;97.4022
21.2802;97.4022
21.7959;97.4022
22.3116;97.4022
22.8272;97.4022
10.4509;96.8866
10.9666;96.8866
11.4823;96.8866
11.9980;96.8866
12.5136;96.8866
13.0293;96.8866
13.5450;96.8866
19.7332;96.8866
20.2488;96.8866
20.7645;96.8866
21.2802;96.8866
21.7959;96.8866
22.3116;96.8866
22.8272;96.8866
23.3429;96.8866
10.4509;96.3709
10.9666;96.3709
11.4823;96.3709
11.9980;96.3709
12.5136;96.3709
13.0293;96.3709
20.7645;96.3709
21.2802;96.3709
21.7959;96.3709
22.3116;96.3709
22.8272;96.3709
23.3429;96.3709
23.8586;96.3709
24.3743;96.3709
9.9352;95.8552
10.4509;95.8552
10.9666;95.8552
11.4823;95.8552
11.9980;95.8552
12.5136;95.8552
21.2802;95.8552
21.7959;95.8552
22.3116;95.8552
22.8272;95.8552
23.3429;95.8552
23.8586;95.8552
24.3743;95.8552
24.8900;95.8552
9.9352;95.3395
10.4509;95.3395
10.9666;95.3395
11.4823;95.3395
11.9980;95.3395
22.3116;95.3395
22.8272;95.3395
23.3429;95.3395
23.8586;95.3395
24.3743;95.3395
24.8900;95.3395
25.4056;95.3395
9.9352;94.8238
10.4509;94.8238
10.9666;94.8238
11.4823;94.8238
11.9980;94.8238
22.8272;94.8238
23.3429;94.8238
23.8586;94.8238
24.3743;94.8238
24.8900;94.8238
25.4056;94.8238
25.9213;94.8238
9.9352;94.3082
10.4509;94.3082
10.9666;94.3082
11.4823;94.3082
11.9980;94.3082
23.3429;94.3082
23.8586;94.3082
24.3743;94.3082
24.8900;94.3082
25.4056;94.3082
25.9213;94.3082
26.4370;94.3082
9.9352;93.7925
10.4509;93.7925
10.9666;93.7925
11.4823;93.7925
23.8586;93.7925
24.3743;93.7925
24.8900;93.7925
25.4056;93.7925
25.9213;93.7925
26.4370;93.7925
26.9527;93.7925
9.9352;93.2768
10.4509;93.2768
10.9666;93.2768
11.4823;93.2768
11.9980;93.2768
24.3743;93.2768
24.8900;93.2768
25.4056;93.2768
25.9213;93.2768
26.4370;93.2768
26.9527;93.2768
27.4684;93.2768
9.9352;92.7611
10.4509;92.7611
10.9666;92.7611
11.4823;92.7611
11.9980;92.7611
24.8900;92.7611
25.4056;92.7611
25.9213;92.7611
26.4370;92.7611
26.9527;92.7611
27.4684;92.7611
27.9840;92.7611
9.9352;92.2454
10.4509;92.2454
10.9666;92.2454
11.4823;92.2454
11.9980;92.2454
25.4056;92.2454
25.9213;92.2454
26.4370;92.2454
26.9527;92.2454
27.4684;92.2454
27.9840;92.2454
28.4997;92.2454
9.9352;91.7298
10.4509;91.7298
10.9666;91.7298
11.4823;91.7298
11.9980;91.7298
25.9213;91.7298
26.4370;91.7298
26.9527;91.7298
27.4684;91.7298
27.9840;91.7298
28.4997;91.7298
10.4509;91.2141
10.9666;91.2141
11.4823;91.2141
11.9980;91.2141
26.4370;91.2141
26.9527;91.2141
27.4684;91.2141
27.9840;91.2141
28.4997;91.2141
29.0154;91.2141
10.4509;90.6984
