# x_m;y_m
-72.3053;54.5493
-71.7836;54.5493
-71.2620;54.5493
-70.7403;54.5493
-70.2187;54.5493
-69.6971;54.5493
-69.1754;54.5493
-68.6538;54.5493
-68.1321;54.5493
-67.6105;54.5493
-67.0889;54.5493
-66.5672;54.5493
-66.0456;54.5493
-65.5239;54.5493
-65.0023;54.5493
-64.4807;54.5493
-63.9590;54.5493
-63.4374;54.5493
-62.9157;54.5493
-62.3941;54.5493
-61.8725;54.5493
-61.3508;54.5493
-60.8292;54.5493
-60.3075;54.5493
-59.7859;54.5493
-59.2643;54.5493
-58.7426;54.5493
-75.9567;54.0277
-75.4351;54.0277
-74.9135;54.0277
-74.3918;54.0277
-73.8702;54.0277
-73.3485;54.0277
-72.8269;54.0277
-72.3053;54.0277
-71.7836;54.0277
-71.2620;54.0277
-70.7403;54.0277
-70.2187;54.0277
-69.6971;54.0277
-69.1754;54.0277
-68.6538;54.0277
-68.1321;54.0277
-67.6105;54.0277
-67.0889;54.0277
-66.5672;54.0277
-66.0456;54.0277
-65.5239;54.0277
-65.0023;54.0277
-64.4807;54.0277
-63.9590;54.0277
-63.4374;54.0277
-62.9157;54.0277
-62.3941;54.0277
-61.8725;54.0277
-61.3508;54.0277
-60.8292;54.0277
-60.3075;54.0277
-59.7859;54.0277
-59.2643;54.0277
-58.7426;54.0277
-58.2210;54.0277
-57.6993;54.0277
-57.1777;54.0277
-56.6561;54.0277
-56.1344;54.0277
-55.6128;54.0277
-55.0911;54.0277
-76.4784;53.5060
-75.9567;53.5060
-75.4351;53.5060
-74.9135;53.5060
-74.3918;53.5060
-73.8702;53.5060
-73.3485;53.5060
-72.8269;53.5060
-72.3053;53.5060
-71.7836;53.5060
-71.2620;53.5060
-70.7403;53.5060
-70.2187;53.5060
-69.6971;53.5060
-69.1754;53.5060
-68.6538;53.5060
-68.1321;53.5060
-67.6105;53.5060
-67.0889;53.5060
-66.5672;53.5060
-66.0456;53.5060
-65.5239;53.5060
-65.0023;53.5060
-64.4807;53.5060
-63.9590;53.5060
-63.4374;53.5060
-62.9157;53.5060
-62.3941;53.5060
-61.8725;53.5060
-61.3508;53.5060
-60.8292;53.5060
-60.3075;53.5060
-59.7859;53.5060
-59.2643;53.5060
-58.7426;53.5060
-58.2210;53.5060
-57.6993;53.5060
-57.1777;53.5060
-56.6561;53.5060
-56.1344;53.5060
-55.6128;53.5060
-55.0911;53.5060
-54.5695;53.5060
-54.0479;53.5060
-53.5262;53.5060
-53.0046;53.5060
-52.4829;53.5060
-51.9613;53.5060
-76.4784;52.9844
-75.9567;52.9844
-75.4351;52.9844
-74.9135;52.9844
-74.3918;52.9844
-73.8702;52.9844
-73.3485;52.9844
-72.8269;52.9844
-72.3053;52.9844
-71.7836;52.9844
-71.2620;52.9844
-70.7403;52.9844
-70.2187;52.9844
-69.6971;52.9844
-69.1754;52.9844
-68.6538;52.9844
-68.1321;52.9844
-67.6105;52.9844
-67.0889;52.9844
-66.5672;52.9844
-66.0456;52.9844
-65.5239;52.9844
-65.0023;52.9844
-64.4807;52.9844
-63.9590;52.9844
-63.4374;52.9844
-62.9157;52.9844
-62.3941;52.9844
-61.8725;52.9844
-61.3508;52.9844
-60.8292;52.9844
-60.3075;52.9844
-59.7859;52.9844
-59.2643;52.9844
-58.7426;52.9844
-58.2210;52.9844
-57.6993;52.9844
-57.1777;52.9844
-56.6561;52.9844
-56.1344;52.9844
-55.6128;52.9844
-55.0911;52.9844
-54.5695;52.9844
-54.0479;52.9844
-53.5262;52.9844
-53.0046;52.9844
-52.4829;52.9844
-51.9613;52.9844
-51.4397;52.9844
-50.9180;52.9844
-50.3964;52.9844
-49.8747;52.9844
-49.3531;52.9844
-77.0000;52.4627
-76.4784;52.4627
-75.9567;52.4627
-75.4351;52.4627
-74.9135;52.4627
-74.3918;52.4627
-73.8702;52.4627
-73.3485;52.4627
-72.8269;52.4627
-57.6993;52.4627
-57.1777;52.4627
-56.6561;52.4627
-56.1344;52.4627
-55.6128;52.4627
-55.0911;52.4627
-54.5695;52.4627
-54.0479;52.4627
-53.5262;52.4627
-53.0046;52.4627
-52.4829;52.4627
-51.9613;52.4627
-51.4397;52.4627
-50.9180;52.4627
-50.3964;52.4627
-49.8747;52.4627
-49.3531;52.4627
-48.8315;52.4627
-48.3098;52.4627
-47.7882;52.4627
-47.2665;52.4627
-46.7449;52.4627
-77.0000;51.9411
-76.4784;51.9411
-75.9567;51.9411
-75.4351;51.9411
-74.9135;51.9411
-54.5695;51.9411
-54.0479;51.9411
-53.5262;51.9411
-53.0046;51.9411
-52.4829;51.9411
-51.9613;51.9411
-51.4397;51.9411
-50.9180;51.9411
-50.3964;51.9411
-49.8747;51.9411
-49.3531;51.9411
-48.8315;51.9411
-48.3098;51.9411
-47.7882;51.9411
-47.2665;51.9411
-46.7449;51.9411
-46.2233;51.9411
-45.7016;51.9411
-45.1800;51.9411
-44.6583;51.9411
-44.1367;51.9411
-76.4784;51.4195
-75.9567;51.4195
-75.4351;51.4195
-74.9135;51.4195
-51.9613;51.4195
-51.4397;51.4195
-50.9180;51.4195
-50.3964;51.4195
-49.8747;51.4195
-49.3531;51.4195
-48.8315;51.4195
-48.3098;51.4195
-47.7882;51.4195
-47.2665;51.4195
-46.7449;51.4195
-46.2233;51.4195
-45.7016;51.4195
-45.1800;51.4195
-44.6583;51.4195
-44.1367;51.4195
-43.6151;51.4195
-43.0934;51.4195
-42.5718;51.4195
-42.0501;51.4195
-41.5285;51.4195
-76.4784;50.8978
-75.9567;50.8978
-75.4351;50.8978
-74.9135;50.8978
-74.3918;50.8978
-49.3531;50.8978
-48.8315;50.8978
-48.3098;50.8978
-47.7882;50.8978
-47.2665;50.8978
-46.7449;50.8978
-46.2233;50.8978
-45.7016;50.8978
-45.1800;50.8978
-44.6583;50.8978
-44.1367;50.8978
-43.6151;50.8978
-43.0934;50.8978
-42.5718;50.8978
-42.0501;50.8978
-41.5285;50.8978
-41.0069;50.8978
-40.4852;50.8978
-39.9636;50.8978
-39.4419;50.8978
-38.9203;50.8978
-75.9567;50.3762
-75.4351;50.3762
-74.9135;50.3762
-74.3918;50.3762
-73.8702;50.3762
-46.2233;50.3762
-45.7016;50.3762
-45.1800;50.3762
-44.6583;50.3762
-44.1367;50.3762
-43.6151;50.3762
-43.0934;50.3762
-42.5718;50.3762
-42.0501;50.3762
-41.5285;50.3762
-41.0069;50.3762
-40.4852;50.3762
-39.9636;50.3762
-39.4419;50.3762
-38.9203;50.3762
-38.3987;50.3762
-37.8770;50.3762
-37.3554;50.3762
-36.8337;50.3762
-36.3121;50.3762
-75.4351;49.8545
-74.9135;49.8545
-74.3918;49.8545
-73.8702;49.8545
-73.3485;49.8545
-43.6151;49.8545
-43.0934;49.8545
-42.5718;49.8545
-42.0501;49.8545
-41.5285;49.8545
-41.0069;49.8545
-40.4852;49.8545
-39.9636;49.8545
-39.4419;49.8545
-38.9203;49.8545
-38.3987;49.8545
-37.8770;49.8545
-37.3554;49.8545
-36.8337;49.8545
-36.3121;49.8545
-35.7905;49.8545
-35.2688;49.8545
-34.7472;49.8545
-34.2255;49.8545
-33.7039;49.8545
-33.1823;49.8545
-32.6606;49.8545
-74.9135;49.3329
-74.3918;49.3329
-73.8702;49.3329
-73.3485;49.3329
-72.8269;49.3329
-41.0069;49.3329
-40.4852;49.3329
-39.9636;49.3329
-39.4419;49.3329
-38.9203;49.3329
-38.3987;49.3329
-37.8770;49.3329
-37.3554;49.3329
-36.8337;49.3329
-36.3121;49.3329
-35.7905;49.3329
-35.2688;49.3329
-34.7472;49.3329
-34.2255;49.3329
-33.7039;49.3329
-33.1823;49.3329
-32.6606;49.3329
-32.1390;49.3329
-31.6173;49.3329
-31.0957;49.3329
-30.5741;49.3329
-30.0524;49.3329
-29.5308;49.3329
-29.0091;49.3329
-28.4875;49.3329
-27.9659;49.3329
-27.4442;49.3329
-26.9226;49.3329
-26.4009;49.3329
-25.8793;49.3329
-25.3577;49.3329
-74.3918;48.8113
-73.8702;48.8113
-73.3485;48.8113
-72.8269;48.8113
-72.3053;48.8113
-38.3987;48.8113
-37.8770;48.8113
-37.3554;48.8113
-36.8337;48.8113
-36.3121;48.8113
-35.7905;48.8113
-35.2688;48.8113
-34.7472;48.8113
-34.2255;48.8113
-33.7039;48.8113
-33.1823;48.8113
-32.6606;48.8113
-32.1390;48.8113
-31.6173;48.8113
-31.0957;48.8113
-30.5741;48.8113
-30.0524;48.8113
-29.5308;48.8113
-29.0091;48.8113
-28.4875;48.8113
-27.9659;48.8113
-27.4442;48.8113
-26.9226;48.8113
-26.4009;48.8113
-25.8793;48.8113
-25.3577;48.8113
-24.8360;48.8113
-24.3144;48.8113
-23.7927;48.8113
-23.2711;48.8113
-22.7495;48.8113
-22.2278;48.8113
-21.7062;48.8113
-21.1845;48.8113
-20.6629;48.8113
-20.1413;48.8113
-19.6196;48.8113
-19.0980;48.8113
-18.5763;48.8113
-18.0547;48.8113
-17.5331;48.8113
-17.0114;48.8113
-16.4898;48.8113
-15.9681;48.8113
-15.4465;48.8113
-14.9249;48.8113
-14.4032;48.8113
-13.8816;48.8113
-73.8702;48.2896
-73.3485;48.2896
-72.8269;48.2896
-72.3053;48.2896
-71.7836;48.2896
-35.7905;48.2896
-35.2688;48.2896
-34.7472;48.2896
-34.2255;48.2896
-33.7039;48.2896
-33.1823;48.2896
-32.6606;48.2896
-32.1390;48.2896
-31.6173;48.2896
-31.0957;48.2896
-30.5741;48.2896
-30.0524;48.2896
-29.5308;48.2896
-29.0091;48.2896
-28.4875;48.2896
-27.9659;48.2896
-27.4442;48.2896
-26.9226;48.2896
-26.4009;48.2896
-25.8793;48.2896
-25.3577;48.2896
-24.8360;48.2896
-24.3144;48.2896
-23.7927;48.2896
-23.2711;48.2896
-22.7495;48.2896
-22.2278;48.2896
-21.7062;48.2896
-21.1845;48.2896
-20.6629;48.2896
-20.1413;48.2896
-19.6196;48.2896
-19.0980;48.2896
-18.5763;48.2896
-18.0547;48.2896
-17.5331;48.2896
-17.0114;48.2896
-16.4898;48.2896
-15.9681;48.2896
-15.4465;48.2896
-14.9249;48.2896
-14.4032;48.2896
-13.8816;48.2896
-13.3599;48.2896
-12.8383;48.2896
-73.3485;47.7680
-72.8269;47.7680
-72.3053;47.7680
-71.7836;47.7680
-71.2620;47.7680
-32.1390;47.7680
-31.6173;47.7680
-31.0957;47.7680
-30.5741;47.7680
-30.0524;47.7680
