# x_m;y_m
-32.4750;14.5750
-31.9750;14.5750
-31.4750;14.5750
-30.9750;14.5750
-32.9750;14.0750
-32.4750;14.0750
-31.9750;14.0750
-31.4750;14.0750
-30.9750;14.0750
-30.4750;14.0750
-35.4750;13.5750
-34.9750;13.5750
-32.9750;13.5750
-32.4750;13.5750
-31.9750;13.5750
-31.4750;13.5750
-30.9750;13.5750
-30.4750;13.5750
-29.9750;13.5750
-35.9750;13.0750
-35.4750;13.0750
-34.9750;13.0750
-34.4750;13.0750
-32.9750;13.0750
-32.4750;13.0750
-31.9750;13.0750
-30.9750;13.0750
-30.4750;13.0750
-29.9750;13.0750
-36.9750;12.5750
-36.4750;12.5750
-35.9750;12.5750
-35.4750;12.5750
-34.9750;12.5750
-34.4750;12.5750
-33.9750;12.5750
-32.9750;12.5750
-32.4750;12.5750
-31.9750;12.5750
-30.4750;12.5750
-29.9750;12.5750
-29.4750;12.5750
-37.4750;12.0750
-36.9750;12.0750
-36.4750;12.0750
-35.9750;12.0750
-35.4750;12.0750
-34.9750;12.0750
-34.4750;12.0750
-33.9750;12.0750
-32.4750;12.0750
-31.9750;12.0750
-31.4750;12.0750
-30.4750;12.0750
-29.9750;12.0750
-29.4750;12.0750
-28.9750;12.0750
-37.9750;11.5750
-37.4750;11.5750
-36.9750;11.5750
-36.4750;11.5750
-35.4750;11.5750
-34.9750;11.5750
-34.4750;11.5750
-33.9750;11.5750
-32.4750;11.5750
-31.9750;11.5750
-31.4750;11.5750
-29.9750;11.5750
-29.4750;11.5750
-28.9750;11.5750
-38.4750;11.0750
-37.9750;11.0750
-37.4750;11.0750
-35.4750;11.0750
-34.9750;11.0750
-34.4750;11.0750
-32.4750;11.0750
-31.9750;11.0750
-31.4750;11.0750
-30.9750;11.0750
-29.9750;11.0750
-29.4750;11.0750
-28.9750;11.0750
-28.4750;11.0750
-38.9750;10.5750
-38.4750;10.5750
-37.9750;10.5750
-36.4750;10.5750
-35.9750;10.5750
-35.4750;10.5750
-34.9750;10.5750
-32.9750;10.5750
-32.4750;10.5750
-31.9750;10.5750
-31.4750;10.5750
-29.4750;10.5750
-28.9750;10.5750
-28.4750;10.5750
-39.4750;10.0750
-38.9750;10.0750
-38.4750;10.0750
-36.9750;10.0750
-36.4750;10.0750
-35.9750;10.0750
-35.4750;10.0750
-33.4750;10.0750
-32.9750;10.0750
-32.4750;10.0750
-31.9750;10.0750
-29.4750;10.0750
-28.9750;10.0750
-28.4750;10.0750
-39.9750;9.5750
-39.4750;9.5750
-38.9750;9.5750
-38.4750;9.5750
-37.4750;9.5750
-36.9750;9.5750
-36.4750;9.5750
-35.9750;9.5750
-34.4750;9.5750
-33.9750;9.5750
-33.4750;9.5750
-32.9750;9.5750
-29.9750;9.5750
-29.4750;9.5750
-28.9750;9.5750
-28.4750;9.5750
-39.9750;9.0750
-39.4750;9.0750
-38.9750;9.0750
-38.4750;9.0750
-37.4750;9.0750
-36.9750;9.0750
-36.4750;9.0750
-34.9750;9.0750
-34.4750;9.0750
-33.9750;9.0750
-33.4750;9.0750
-30.4750;9.0750
-29.9750;9.0750
-29.4750;9.0750
-28.9750;9.0750
-40.4750;8.5750
-39.9750;8.5750
-39.4750;8.5750
-38.9750;8.5750
-38.4750;8.5750
-37.4750;8.5750
-36.9750;8.5750
-36.4750;8.5750
-35.9750;8.5750
-35.4750;8.5750
-34.9750;8.5750
-34.4750;8.5750
-33.9750;8.5750
-30.9750;8.5750
-30.4750;8.5750
-29.9750;8.5750
-29.4750;8.5750
-40.4750;8.0750
-39.9750;8.0750
-39.4750;8.0750
-38.9750;8.0750
-37.4750;8.0750
-36.9750;8.0750
-36.4750;8.0750
-35.9750;8.0750
-35.4750;8.0750
-34.9750;8.0750
-31.9750;8.0750
-31.4750;8.0750
-30.9750;8.0750
-30.4750;8.0750
-29.9750;8.0750
-40.9750;7.5750
-40.4750;7.5750
-39.9750;7.5750
-39.4750;7.5750
-36.9750;7.5750
-36.4750;7.5750
-35.9750;7.5750
-32.4750;7.5750
-31.9750;7.5750
-31.4750;7.5750
-30.9750;7.5750
-30.4750;7.5750
-40.9750;7.0750
-40.4750;7.0750
-39.9750;7.0750
-39.4750;7.0750
-36.4750;7.0750
-33.4750;7.0750
-32.9750;7.0750
-32.4750;7.0750
-31.9750;7.0750
-31.4750;7.0750
-30.9750;7.0750
-41.4750;6.5750
-40.9750;6.5750
-40.4750;6.5750
-39.9750;6.5750
-33.9750;6.5750
-33.4750;6.5750
-32.9750;6.5750
-32.4750;6.5750
-31.9750;6.5750
-31.4750;6.5750
-41.4750;6.0750
-40.9750;6.0750
-40.4750;6.0750
-34.9750;6.0750
-34.4750;6.0750
-33.9750;6.0750
-33.4750;6.0750
-32.9750;6.0750
-32.4750;6.0750
-41.9750;5.5750
-41.4750;5.5750
-40.9750;5.5750
-35.4750;5.5750
-34.9750;5.5750
-34.4750;5.5750
