# x_m;y_m
-39.9750;29.7250
-39.4750;29.7250
-38.9750;29.7250
-38.4750;29.7250
-37.9750;29.7250
-37.4750;29.7250
-36.9750;29.7250
-36.4750;29.7250
-35.9750;29.7250
-35.4750;29.7250
-34.9750;29.7250
-40.9750;29.2250
-40.4750;29.2250
-39.9750;29.2250
-39.4750;29.2250
-38.9750;29.2250
-38.4750;29.2250
-37.9750;29.2250
-37.4750;29.2250
-36.9750;29.2250
-36.4750;29.2250
-35.9750;29.2250
-35.4750;29.2250
-34.9750;29.2250
-34.4750;29.2250
-33.9750;29.2250
-33.4750;29.2250
-32.9750;29.2250
-32.4750;29.2250
-41.4750;28.7250
-40.9750;28.7250
-40.4750;28.7250
-39.9750;28.7250
-39.4750;28.7250
-38.9750;28.7250
-38.4750;28.7250
-37.9750;28.7250
-37.4750;28.7250
-36.9750;28.7250
-36.4750;28.7250
-35.9750;28.7250
-35.4750;28.7250
-34.9750;28.7250
-34.4750;28.7250
-33.9750;28.7250
-33.4750;28.7250
-32.9750;28.7250
-32.4750;28.7250
-31.9750;28.7250
-31.4750;28.7250
-30.9750;28.7250
-30.4750;28.7250
-29.9750;28.7250
-41.9750;28.2250
-41.4750;28.2250
-40.9750;28.2250
-40.4750;28.2250
-39.9750;28.2250
-35.4750;28.2250
-34.9750;28.2250
-34.4750;28.2250
-33.9750;28.2250
-33.4750;28.2250
-32.9750;28.2250
-32.4750;28.2250
-31.9750;28.2250
-31.4750;28.2250
-30.9750;28.2250
-30.4750;28.2250
-29.9750;28.2250
-29.4750;28.2250
-28.9750;28.2250
-28.4750;28.2250
-27.9750;28.2250
-27.4750;28.2250
-42.4750;27.7250
-41.9750;27.7250
-41.4750;27.7250
-40.9750;27.7250
-32.9750;27.7250
-32.4750;27.7250
-31.9750;27.7250
-31.4750;27.7250
-30.9750;27.7250
-30.4750;27.7250
-29.9750;27.7250
-29.4750;27.7250
-28.9750;27.7250
-28.4750;27.7250
-27.9750;27.7250
-27.4750;27.7250
-26.9750;27.7250
-26.4750;27.7250
-25.9750;27.7250
-25.4750;27.7250
-24.9750;27.7250
-42.9750;27.2250
-42.4750;27.2250
-41.9750;27.2250
-41.4750;27.2250
-30.4750;27.2250
-29.9750;27.2250
-29.4750;27.2250
-28.9750;27.2250
-28.4750;27.2250
-27.9750;27.2250
-27.4750;27.2250
-26.9750;27.2250
-26.4750;27.2250
-25.9750;27.2250
-25.4750;27.2250
-24.9750;27.2250
-24.4750;27.2250
-23.9750;27.2250
-23.4750;27.2250
-22.9750;27.2250
-22.4750;27.2250
-42.9750;26.7250
-42.4750;26.7250
-41.9750;26.7250
-27.9750;26.7250
-27.4750;26.7250
-26.9750;26.7250
-26.4750;26.7250
-25.9750;26.7250
-25.4750;26.7250
-24.9750;26.7250
-24.4750;26.7250
-23.9750;26.7250
-23.4750;26.7250
-22.9750;26.7250
-22.4750;26.7250
-21.9750;26.7250
-21.4750;26.7250
-20.9750;26.7250
-20.4750;26.7250
-19.9750;26.7250
-19.4750;26.7250
-43.4750;26.2250
-42.9750;26.2250
-42.4750;26.2250
-41.9750;26.2250
-25.4750;26.2250
-24.9750;26.2250
-24.4750;26.2250
-23.9750;26.2250
-23.4750;26.2250
-22.9750;26.2250
-22.4750;26.2250
-21.9750;26.2250
-21.4750;26.2250
-20.9750;26.2250
-20.4750;26.2250
-19.9750;26.2250
-19.4750;26.2250
-18.9750;26.2250
-18.4750;26.2250
-17.9750;26.2250
-17.4750;26.2250
-16.9750;26.2250
-43.4750;25.7250
-42.9750;25.7250
-42.4750;25.7250
-41.9750;25.7250
-22.9750;25.7250
-22.4750;25.7250
-21.9750;25.7250
-21.4750;25.7250
-20.9750;25.7250
-20.4750;25.7250
-19.9750;25.7250
-19.4750;25.7250
-18.9750;25.7250
-18.4750;25.7250
-17.9750;25.7250
-17.4750;25.7250
-16.9750;25.7250
-16.4750;25.7250
-15.9750;25.7250
-15.4750;25.7250
-14.9750;25.7250
-14.4750;25.7250
-43.4750;25.2250
-42.9750;25.2250
-42.4750;25.2250
-19.9750;25.2250
-19.4750;25.2250
-18.9750;25.2250
-18.4750;25.2250
-17.9750;25.2250
-17.4750;25.2250
-16.9750;25.2250
-16.4750;25.2250
-15.9750;25.2250
-15.4750;25.2250
-14.9750;25.2250
-14.4750;25.2250
-13.9750;25.2250
-13.4750;25.2250
-12.9750;25.2250
-12.4750;25.2250
