# x_m;y_m
3.9250;13.9850
4.4250;13.9850
4.9250;13.9850
5.4250;13.9850
1.4250;13.4850
1.9250;13.4850
2.4250;13.4850
2.9250;13.4850
3.4250;13.4850
3.9250;13.4850
4.4250;13.4850
4.9250;13.4850
5.4250;13.4850
0.9250;12.9850
1.4250;12.9850
1.9250;12.9850
2.4250;12.9850
2.9250;12.9850
3.4250;12.9850
3.9250;12.9850
4.4250;12.9850
4.9250;12.9850
5.4250;12.9850
5.9250;12.9850
0.9250;12.4850
1.4250;12.4850
1.9250;12.4850
2.4250;12.4850
2.9250;12.4850
3.4250;12.4850
3.9250;12.4850
4.4250;12.4850
4.9250;12.4850
5.4250;12.4850
5.9250;12.4850
0.9250;11.9850
1.4250;11.9850
1.9250;11.9850
2.4250;11.9850
2.9250;11.9850
3.4250;11.9850
3.9250;11.9850
4.4250;11.9850
4.9250;11.9850
5.4250;11.9850
5.9250;11.9850
0.9250;11.4850
1.4250;11.4850
1.9250;11.4850
2.4250;11.4850
2.9250;11.4850
3.4250;11.4850
3.9250;11.4850
4.4250;11.4850
4.9250;11.4850
5.4250;11.4850
5.9250;11.4850
6.4250;11.4850
0.9250;10.9850
1.4250;10.9850
1.9250;10.9850
2.4250;10.9850
2.9250;10.9850
3.4250;10.9850
3.9250;10.9850
4.4250;10.9850
4.9250;10.9850
5.4250;10.9850
5.9250;10.9850
6.4250;10.9850
0.9250;10.4850
1.4250;10.4850
1.9250;10.4850
2.4250;10.4850
2.9250;10.4850
3.4250;10.4850
3.9250;10.4850
4.4250;10.4850
4.9250;10.4850
5.4250;10.4850
5.9250;10.4850
6.4250;10.4850
1.4250;9.9850
1.9250;9.9850
2.4250;9.9850
2.9250;9.9850
3.4250;9.9850
4.4250;9.9850
4.9250;9.9850
5.4250;9.9850
5.9250;9.9850
6.4250;9.9850
1.4250;9.4850
1.9250;9.4850
2.4250;9.4850
2.9250;9.4850
3.4250;9.4850
4.4250;9.4850
4.9250;9.4850
5.4250;9.4850
5.9250;9.4850
6.4250;9.4850
1.4250;8.9850
1.9250;8.9850
2.4250;8.9850
2.9250;8.9850
3.4250;8.9850
3.9250;8.9850
4.4250;8.9850
4.9250;8.9850
5.4250;8.9850
5.9250;8.9850
6.4250;8.9850
1.4250;8.4850
1.9250;8.4850
2.4250;8.4850
2.9250;8.4850
3.4250;8.4850
3.9250;8.4850
4.4250;8.4850
4.9250;8.4850
5.4250;8.4850
5.9250;8.4850
6.4250;8.4850
1.4250;7.9850
1.9250;7.9850
2.4250;7.9850
2.9250;7.9850
3.4250;7.9850
3.9250;7.9850
4.9250;7.9850
5.4250;7.9850
5.9250;7.9850
6.4250;7.9850
1.4250;7.4850
1.9250;7.4850
2.4250;7.4850
2.9250;7.4850
3.4250;7.4850
3.9250;7.4850
4.9250;7.4850
5.4250;7.4850
5.9250;7.4850
6.4250;7.4850
1.4250;6.9850
1.9250;6.9850
2.4250;6.9850
2.9250;6.9850
3.4250;6.9850
3.9250;6.9850
4.9250;6.9850
5.4250;6.9850
5.9250;6.9850
6.4250;6.9850
6.9250;6.9850
1.9250;6.4850
2.4250;6.4850
2.9250;6.4850
3.4250;6.4850
3.9250;6.4850
4.9250;6.4850
5.4250;6.4850
5.9250;6.4850
6.4250;6.4850
6.9250;6.4850
0.9250;5.9850
1.4250;5.9850
1.9250;5.9850
2.4250;5.9850
2.9250;5.9850
3.4250;5.9850
3.9250;5.9850
4.4250;5.9850
4.9250;5.9850
5.4250;5.9850
5.9250;5.9850
6.4250;5.9850
6.9250;5.9850
-2.5750;5.4850
-2.0750;5.4850
-1.5750;5.4850
-1.0750;5.4850
-0.5750;5.4850
-0.0750;5.4850
0.4250;5.4850
0.9250;5.4850
1.4250;5.4850
1.9250;5.4850
2.4250;5.4850
2.9250;5.4850
3.4250;5.4850
3.9250;5.4850
4.4250;5.4850
4.9250;5.4850
5.4250;5.4850
5.9250;5.4850
6.4250;5.4850
6.9250;5.4850
-4.0750;4.9850
-3.5750;4.9850
-3.0750;4.9850
-2.5750;4.9850
-2.0750;4.9850
-1.5750;4.9850
-1.0750;4.9850
-0.5750;4.9850
-0.0750;4.9850
0.4250;4.9850
0.9250;4.9850
1.4250;4.9850
1.9250;4.9850
2.4250;4.9850
2.9250;4.9850
3.4250;4.9850
3.9250;4.9850
4.4250;4.9850
4.9250;4.9850
5.4250;4.9850
5.9250;4.9850
6.4250;4.9850
6.9250;4.9850
7.4250;4.9850
-4.0750;4.4850
-3.5750;4.4850
-3.0750;4.4850
-2.5750;4.4850
-2.0750;4.4850
-1.5750;4.4850
-1.0750;4.4850
-0.5750;4.4850
-0.0750;4.4850
0.4250;4.4850
0.9250;4.4850
1.4250;4.4850
1.9250;4.4850
2.4250;4.4850
2.9250;4.4850
3.4250;4.4850
3.9250;4.4850
4.4250;4.4850
4.9250;4.4850
5.4250;4.4850
5.9250;4.4850
6.4250;4.4850
6.9250;4.4850
7.4250;4.4850
-4.0750;3.9850
-3.5750;3.9850
-3.0750;3.9850
-2.5750;3.9850
