# s_m; t_s; ax_mps2; ay_mps2; atot_mps2
0.0; 0.000; -0.001; 0.462; 0.462
0.2; 0.024; 0.002; 0.511; 0.511
0.4; 0.047; 0.001; 0.558; 0.558
0.6; 0.071; 0.001; 0.601; 0.601
0.8; 0.094; 0.001; 0.638; 0.638
1.0; 0.118; 0.001; 0.666; 0.666
1.2; 0.141; 0.001; 0.684; 0.684
1.4; 0.165; 0.001; 0.687; 0.687
1.6; 0.188; 0.001; 0.673; 0.673
1.8; 0.212; 0.001; 0.639; 0.639
2.0; 0.235; 0.001; 0.580; 0.580
2.2; 0.259; 0.001; 0.493; 0.493
2.4; 0.282; 0.001; 0.377; 0.377
2.6; 0.306; 0.000; 0.230; 0.230
2.8; 0.330; 0.000; 0.054; 0.054
3.0; 0.353; -0.000; -0.147; 0.147
3.2; 0.377; -0.000; -0.365; 0.365
3.4; 0.400; 0.000; -0.585; 0.585
3.6; 0.424; 0.001; -0.791; 0.791
3.8; 0.448; 0.001; -0.966; 0.966
4.0; 0.471; 0.002; -1.091; 1.091
4.2; 0.495; 0.002; -1.149; 1.149
4.4; 0.518; 0.003; -1.127; 1.127
4.6; 0.542; 0.003; -1.020; 1.020
4.8; 0.566; 0.002; -0.838; 0.838
5.0; 0.589; -8.124; -0.660; 8.151
5.2; 0.614; -9.664; -0.540; 9.679
5.4; 0.639; -9.710; -0.443; 9.721
5.6; 0.665; -9.713; -0.424; 9.723
5.8; 0.692; -9.622; -0.576; 9.640
6.0; 0.720; -9.382; -0.981; 9.433
6.2; 0.749; -8.937; -1.681; 9.093
6.4; 0.779; -8.255; -2.652; 8.670
6.6; 0.811; -7.362; -3.804; 8.287
6.8; 0.843; -6.344; -5.008; 8.083
7.0; 0.877; -5.326; -6.120; 8.113
7.2; 0.911; -4.431; -7.014; 8.297
7.4; 0.947; -3.731; -7.633; 8.496
7.6; 0.985; -3.256; -7.980; 8.618
7.8; 1.024; -3.023; -8.083; 8.630
8.0; 1.064; -2.892; -8.125; 8.624
8.2; 1.106; -2.840; -8.123; 8.605
8.4; 1.150; -2.861; -8.085; 8.576
8.6; 1.195; -2.950; -8.014; 8.540
8.8; 1.242; -3.114; -7.905; 8.496
9.0; 1.290; -3.360; -7.745; 8.442
9.2; 1.339; -3.695; -7.519; 8.378
9.4; 1.387; -4.113; -7.216; 8.306
9.6; 1.433; -4.589; -6.841; 8.238
9.8; 1.475; -5.078; -6.427; 8.191
10.0; 1.512; -5.536; -6.015; 8.175
10.2; 1.545; -5.950; -5.625; 8.188
10.4; 1.576; -5.034; -5.359; 7.352
10.6; 1.610; -0.533; -5.272; 5.299
10.8; 1.649; 1.150; -5.114; 5.242
11.0; 1.697; 2.967; -5.296; 6.071
11.2; 1.749; 2.842; -5.512; 6.202
11.4; 1.806; 2.697; -5.752; 6.353
11.6; 1.863; 2.553; -5.984; 6.506
11.8; 1.920; 2.414; -6.203; 6.656
12.0; 1.975; 2.282; -6.405; 6.799
12.2; 2.028; 2.158; -6.591; 6.935
12.4; 2.080; 2.042; -6.762; 7.063
12.6; 2.129; 1.934; -6.918; 7.183
12.8; 2.176; 1.832; -7.061; 7.295
13.0; 2.222; 1.738; -7.192; 7.399
13.2; 2.266; 1.857; -7.056; 7.296
13.4; 2.309; 2.197; -6.632; 6.987
13.6; 2.351; 2.680; -5.982; 6.555
13.8; 2.392; 3.213; -5.195; 6.108
14.0; 2.431; 3.731; -4.347; 5.729
14.2; 2.469; 4.203; -3.490; 5.463
14.4; 2.506; 4.605; -2.673; 5.324
14.6; 2.542; 4.922; -1.952; 5.295
14.8; 2.577; 5.157; -1.356; 5.332
15.0; 2.611; 5.329; -0.872; 5.400
15.2; 2.644; 5.451; -0.496; 5.474
15.4; 2.675; 5.531; -0.225; 5.536
15.6; 2.706; 5.575; -0.060; 5.575
15.8; 2.736; 5.586; -0.001; 5.586
16.0; 2.766; 5.581; -0.000; 5.581
16.2; 2.794; 5.575; -0.000; 5.575
16.4; 2.822; 5.569; -0.000; 5.569
16.6; 2.850; 5.563; -0.000; 5.563
16.8; 2.876; 5.558; -0.000; 5.558
17.0; 2.903; 5.552; -0.000; 5.552
17.2; 2.928; 5.546; -0.000; 5.546
17.4; 2.954; 5.540; -0.000; 5.540
