# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; 0.00224; 21.6; -20.6; 0.4
0.2; 0.024; 0.00241; 20.8; -19.8; 0.5
0.4; 0.047; 0.00255; 20.7; -19.7; 0.5
0.6; 0.071; 0.00266; 20.6; -19.6; 0.5
0.8; 0.094; 0.00273; 20.4; -19.5; 0.6
1.0; 0.118; 0.00273; 20.3; -19.3; 0.6
1.2; 0.141; 0.00267; 20.2; -19.2; 0.6
1.4; 0.165; 0.00252; 20.2; -19.2; 0.6
1.6; 0.188; 0.00227; 20.2; -19.2; 0.5
1.8; 0.212; 0.00191; 20.2; -19.3; 0.5
2.0; 0.235; 0.00142; 20.4; -19.5; 0.4
2.2; 0.259; 0.00081; 20.7; -19.7; 0.3
2.4; 0.282; 0.00007; 21.0; -20.1; 0.2
2.6; 0.306; -0.00077; 21.2; -20.3; 0.0
2.8; 0.330; -0.00169; 21.1; -20.2; -0.1
3.0; 0.353; -0.00263; 20.5; -19.5; -0.3
3.2; 0.377; -0.00350; 19.2; -18.2; -0.5
3.4; 0.400; -0.00422; 17.5; -16.5; -0.7
3.6; 0.424; -0.00472; 15.6; -14.6; -0.8
3.8; 0.448; -0.00492; 14.2; -13.2; -0.9
4.0; 0.471; -0.00477; 13.9; -12.9; -1.0
4.2; 0.495; -0.00424; 15.2; -14.2; -1.0
4.4; 0.518; -0.00336; 17.8; -16.8; -0.9
4.6; 0.542; -0.00222; 20.4; -19.4; -0.7
4.8; 0.566; -0.00103; 4.3; -31.5; -0.6
5.0; 0.589; -0.00007; 3.1; -35.7; -0.5
5.2; 0.614; 0.00029; 3.1; -35.9; -0.4
5.4; 0.639; -0.00028; 3.1; -35.9; -0.4
5.6; 0.665; -0.00206; 3.0; -35.6; -0.5
5.8; 0.692; -0.00529; 3.0; -34.7; -0.8
6.0; 0.720; -0.01019; 2.9; -33.1; -1.4
6.2; 0.749; -0.01692; 2.9; -30.7; -2.3
6.4; 0.779; -0.02542; 2.9; -27.5; -3.3
6.6; 0.811; -0.03527; 2.9; -23.9; -4.3
6.8; 0.843; -0.04533; 3.0; -20.3; -5.2
7.0; 0.877; -0.05380; 3.2; -17.2; -6.0
7.2; 0.911; -0.05919; 3.5; -15.0; -6.5
7.4; 0.947; -0.06068; 3.8; -13.7; -6.8
7.6; 0.985; -0.05842; 4.3; -13.3; -6.9
7.8; 1.024; -0.05717; 4.6; -13.2; -6.9
8.0; 1.064; -0.05739; 4.8; -13.2; -6.9
8.2; 1.106; -0.05907; 4.9; -13.5; -6.9
8.4; 1.150; -0.06233; 5.0; -13.8; -6.8
8.6; 1.195; -0.06730; 5.0; -14.3; -6.8
8.8; 1.242; -0.07402; 4.9; -15.1; -6.6
9.0; 1.290; -0.08244; 4.8; -16.0; -6.4
9.2; 1.339; -0.09231; 4.6; -17.3; -6.2
9.4; 1.387; -0.10316; 4.4; -18.7; -5.8
9.6; 1.433; -0.11443; 4.3; -20.2; -5.5
9.8; 1.475; -0.12563; 4.2; -21.6; -5.1
10.0; 1.512; -0.13673; 4.1; -22.9; -4.8
10.2; 1.545; -0.14789; 0.0; -15.7; -4.6
10.4; 1.576; -0.15699; 0.0; -0.0; -4.5
10.6; 1.610; -0.15822; 5.8; -0.0; -4.4
10.8; 1.649; -0.15472; 12.2; -0.0; -4.5
11.0; 1.697; -0.14728; 11.7; -0.0; -4.7
11.2; 1.749; -0.14033; 11.2; -0.0; -4.9
11.4; 1.806; -0.13409; 10.7; -0.0; -5.1
11.6; 1.863; -0.12863; 10.2; -0.0; -5.3
11.8; 1.920; -0.12388; 9.8; 0.0; -5.5
12.0; 1.975; -0.11975; 9.3; 0.0; -5.6
12.2; 2.028; -0.11613; 8.9; 0.0; -5.8
12.4; 2.080; -0.11293; 8.6; 0.0; -5.9
12.6; 2.129; -0.11007; 8.2; 0.0; -6.0
12.8; 2.176; -0.10750; 7.9; 0.0; -6.1
13.0; 2.222; -0.10080; 8.2; 0.0; -6.0
13.2; 2.266; -0.09076; 9.2; 0.0; -5.7
13.4; 2.309; -0.07875; 10.7; 0.0; -5.1
13.6; 2.351; -0.06582; 12.3; 0.0; -4.4
13.8; 2.392; -0.05277; 14.0; 0.0; -3.7
14.0; 2.431; -0.04035; 15.5; 0.0; -3.0
14.2; 2.469; -0.02927; 16.8; 0.0; -2.3
14.4; 2.506; -0.02013; 17.8; -0.0; -1.7
14.6; 2.542; -0.01307; 18.6; -0.0; -1.2
14.8; 2.577; -0.00777; 19.2; -0.0; -0.7
15.0; 2.611; -0.00397; 19.7; -0.0; -0.4
15.2; 2.644; -0.00148; 20.0; -0.0; -0.2
15.4; 2.675; -0.00015; 20.1; -0.0; -0.1
15.6; 2.706; 0.00016; 20.2; -0.0; -0.0
15.8; 2.736; 0.00003; 20.2; -0.0; -0.0
16.0; 2.766; -0.00000; 20.2; -0.0; -0.0
16.2; 2.794; -0.00000; 20.2; -0.0; -0.0
16.4; 2.822; -0.00000; 20.2; -0.0; -0.0
16.6; 2.850; -0.00000; 20.2; -0.0; -0.0
16.8; 2.876; -0.00000; 20.2; -0.0; -0.0
17.0; 2.903; -0.00000; 20.2; -0.0; -0.0
17.2; 2.928; -0.00000; 20.2; -0.0; -0.0
17.4; 2.954; -0.00001; 20.1; -0.0; -0.0
17.6; 2.979; -0.00016; 20.1; -0.0; -0.0
17.8; 3.003; -0.00045; 20.1; -0.0; -0.0
18.0; 3.027; -0.00078; 21.0; -12.0; -0.1
18.2; 3.051; -0.00103; 20.7; -19.8; -0.1
18.4; 3.074; -0.00122; 20.8; -19.8; -0.2
18.6; 3.098; -0.00134; 20.8; -19.8; -0.2
18.8; 3.121; -0.00140; 20.8; -19.8; -0.3
19.0; 3.145; -0.00142; 20.8; -19.9; -0.3
19.2; 3.168; -0.00138; 20.9; -19.9; -0.3
19.4; 3.192; -0.00130; 20.9; -19.9; -0.3
19.6; 3.215; -0.00117; 20.9; -19.9; -0.3
19.8; 3.239; -0.00101; 20.9; -19.9; -0.3
20.0; 3.262; -0.00080; 21.0; -20.0; -0.2
20.2; 3.285; -0.00055; 21.0; -20.0; -0.2
20.4; 3.309; -0.00026; 21.0; -20.1; -0.1
20.6; 3.332; 0.00006; 21.1; -20.1; -0.1
20.8; 3.355; 0.00043; 21.1; -20.2; -0.0
21.0; 3.379; 0.00083; 21.2; -20.2; 0.1
21.2; 3.402; 0.00127; 21.2; -20.2; 0.2
21.4; 3.425; 0.00175; 21.2; -20.3; 0.3
21.6; 3.449; 0.00227; 21.2; -20.3; 0.4
21.8; 3.472; 0.00282; 21.2; -20.2; 0.5
22.0; 3.495; 0.00339; 21.1; -20.1; 0.6
22.2; 3.519; 0.00399; 21.0; -20.0; 0.7
22.4; 3.542; 0.00460; 20.8; -19.8; 0.8
22.6; 3.566; 0.00521; 20.4; -19.4; 1.0
22.8; 3.589; 0.00581; 20.0; -19.0; 1.1
23.0; 3.612; 0.00638; 19.4; -18.3; 1.2
23.2; 3.636; 0.00690; 18.5; -17.5; 1.4
23.4; 3.659; 0.00734; 17.4; -16.4; 1.5
23.6; 3.682; 0.00768; 16.1; -15.1; 1.6
23.8; 3.706; 0.00788; 14.7; -13.6; 1.6
24.0; 3.729; 0.00790; 13.2; -12.2; 1.7
24.2; 3.753; 0.00771; 12.0; -10.9; 1.7
24.4; 3.776; 0.00725; 11.2; -10.2; 1.7
24.6; 3.799; 0.00649; 11.2; -10.1; 1.6
24.8; 3.823; 0.00538; 12.0; -11.0; 1.4
25.0; 3.846; 0.00387; 14.1; -13.0; 1.2
25.2; 3.870; 0.00192; 17.5; -16.5; 0.9
25.4; 3.893; -0.00051; 21.6; -20.6; 0.5
25.6; 3.917; -0.00344; 24.4; -23.4; -0.0
25.8; 3.940; -0.00688; 25.3; -24.3; -0.6
26.0; 3.963; -0.01081; 24.5; -23.5; -1.3
26.2; 3.987; -0.01515; 22.5; -21.5; -2.1
26.4; 4.010; -0.01971; 11.3; -10.1; -3.0
26.6; 4.034; -0.02421; 1.6; -0.3; -3.9
26.8; 4.057; -0.02821; 1.5; -0.1; -4.8
27.0; 4.081; -0.03121; 1.6; -0.1; -5.5
27.2; 4.105; -0.03283; 1.8; -0.0; -6.1
27.4; 4.128; -0.03296; 2.0; -0.0; -6.5
27.6; 4.152; -0.03179; 2.1; -0.1; -6.9
27.8; 4.176; -0.02965; 1.8; -0.1; -7.1
28.0; 4.200; -0.02695; 2.6; -0.6; -7.2
28.2; 4.224; -0.02408; 3.3; -0.4; -7.3
28.4; 4.249; -0.02137; 3.0; -0.2; -7.4
28.6; 4.273; -0.01907; 2.8; -0.2; -7.4
28.8; 4.297; -0.01735; 2.6; -0.1; -7.4
29.0; 4.321; -0.01626; 2.6; -0.0; -7.4
29.2; 4.346; -0.01586; 2.6; -0.0; -7.4
29.4; 4.370; -0.01598; 2.6; -0.0; -7.5
29.6; 4.395; -0.01624; 2.5; -0.0; -7.5
29.8; 4.419; -0.01642; 2.5; -0.0; -7.5
30.0; 4.444; -0.01645; 2.5; -0.0; -7.5
30.2; 4.468; -0.01629; 2.4; -0.0; -7.5
30.4; 4.492; -0.01599; 2.4; -0.0; -7.5
30.6; 4.516; -0.01557; 2.3; -0.0; -7.5
30.8; 4.540; -0.01508; 2.2; -0.0; -7.5
31.0; 4.564; -0.01458; 2.2; -0.0; -7.5
31.2; 4.587; -0.01408; 2.1; -0.0; -7.5
31.4; 4.610; -0.01362; 2.1; -0.0; -7.5
31.6; 4.633; -0.01323; 2.1; -0.0; -7.5
31.8; 4.655; -0.01292; 2.0; -0.0; -7.5
32.0; 4.677; -0.01269; 2.0; -0.0; -7.5
32.2; 4.699; -0.01256; 2.0; -0.0; -7.5
32.4; 4.720; -0.01253; 2.1; -0.0; -7.5
32.6; 4.741; -0.01261; 2.1; -0.0; -7.5
32.8; 4.762; -0.01280; 2.1; -0.0; -7.5
33.0; 4.783; -0.01306; 2.2; -0.0; -7.5
33.2; 4.804; -0.01331; 2.2; -0.0; -7.5
33.4; 4.826; -0.01354; 2.2; -0.0; -7.5
33.6; 4.847; -0.01379; 2.3; -0.0; -7.5
33.8; 4.869; -0.01411; 2.4; -0.0; -7.5
34.0; 4.891; -0.01449; 2.4; -0.0; -7.5
34.2; 4.914; -0.01495; 2.5; -0.0; -7.5
34.4; 4.937; -0.01547; 2.6; -0.0; -7.4
34.6; 4.960; -0.01603; 2.7; -0.0; -7.4
34.8; 4.983; -0.01663; 2.8; -0.0; -7.4
35.0; 5.007; -0.01725; 2.9; -0.0; -7.4
35.2; 5.031; -0.01787; 3.0; -0.0; -7.4
35.4; 5.055; -0.01849; 3.1; -0.0; -7.4
35.6; 5.079; -0.01908; 3.1; -0.0; -7.4
35.8; 5.104; -0.01962; 3.2; -0.0; -7.4
36.0; 5.128; -0.02008; 3.2; -0.0; -7.4
36.2; 5.152; -0.02045; 3.2; -0.0; -7.4
36.4; 5.177; -0.02067; 3.1; -0.0; -7.4
36.6; 5.201; -0.02070; 3.1; -0.0; -7.4
36.8; 5.226; -0.02052; 3.0; -0.0; -7.4
37.0; 5.250; -0.02008; 2.8; -0.0; -7.5
37.2; 5.275; -0.01936; 2.7; -0.0; -7.5
37.4; 5.299; -0.01833; 2.6; -0.0; -7.5
37.6; 5.323; -0.01699; 2.5; -0.0; -7.5
37.8; 5.347; -0.01535; 2.5; -0.0; -7.4
38.0; 5.372; -0.01345; 2.7; -0.0; -7.4
38.2; 5.396; -0.01132; 3.2; -0.0; -7.2
38.4; 5.420; -0.00902; 4.1; -0.0; -7.0
38.6; 5.443; -0.00665; 6.2; -4.1; -6.4
38.8; 5.467; -0.00428; 9.6; -7.7; -5.7
39.0; 5.491; -0.00207; 13.5; -11.9; -4.6
39.2; 5.515; -0.00015; 16.5; -15.2; -3.3
39.4; 5.538; 0.00140; 17.7; -16.6; -2.1
39.6; 5.562; 0.00263; 17.8; -16.8; -1.1
39.8; 5.586; 0.00356; 17.7; -16.7; -0.3
40.0; 5.609; 0.00423; 17.6; -16.6; 0.2
40.2; 5.633; 0.00466; 17.7; -16.7; 0.5
40.4; 5.656; 0.00490; 17.9; -16.9; 0.7
40.6; 5.680; 0.00496; 18.3; -17.3; 0.9
40.8; 5.704; 0.00488; 18.8; -17.8; 1.0
41.0; 5.727; 0.00468; 19.2; -18.2; 1.0
41.2; 5.751; 0.00439; 19.6; -18.6; 1.0
41.4; 5.774; 0.00403; 20.0; -19.0; 0.9
41.6; 5.798; 0.00362; 20.3; -19.3; 0.9
41.8; 5.821; 0.00317; 20.5; -19.5; 0.8
42.0; 5.845; 0.00269; 20.7; -19.7; 0.7
42.2; 5.869; 0.00220; 20.9; -19.9; 0.6
42.4; 5.892; 0.00170; 21.0; -20.0; 0.5
42.6; 5.916; 0.00121; 21.0; -20.1; 0.4
42.8; 5.939; 0.00074; 21.1; -20.1; 0.3
43.0; 5.963; 0.00029; 21.1; -20.1; 0.2
43.2; 5.986; -0.00014; 21.1; -20.1; 0.1
43.4; 6.010; -0.00053; 21.0; -20.0; 0.0
43.6; 6.033; -0.00089; 21.0; -20.0; -0.1
43.8; 6.057; -0.00119; 20.9; -19.9; -0.1
44.0; 6.080; -0.00145; 20.8; -19.8; -0.2
44.2; 6.103; -0.00164; 20.7; -19.7; -0.3
44.4; 6.127; -0.00177; 20.6; -19.6; -0.3
44.6; 6.150; -0.00182; 20.5; -19.6; -0.4
44.8; 6.174; -0.00178; 20.5; -19.5; -0.4
45.0; 6.197; -0.00164; 20.5; -19.5; -0.4
45.2; 6.221; -0.00140; 20.5; -19.5; -0.3
45.4; 6.244; -0.00103; 20.6; -19.6; -0.3
45.6; 6.267; -0.00054; 20.8; -19.8; -0.2
45.8; 6.291; 0.00010; 21.1; -20.1; -0.1
46.0; 6.314; 0.00090; 21.5; -20.5; 0.0
46.2; 6.338; 0.00187; 22.0; -21.0; 0.2
46.4; 6.361; 0.00302; 22.5; -21.5; 0.4
46.6; 6.384; 0.00435; 22.9; -21.9; 0.6
46.8; 6.407; 0.00587; 23.1; -22.1; 0.9
47.0; 6.431; 0.00759; 23.1; -22.1; 1.2
47.2; 6.454; 0.00950; 22.7; -21.7; 1.6
47.4; 6.477; 0.01158; 22.1; -21.0; 2.0
47.6; 6.500; 0.01382; 21.0; -19.9; 2.4
47.8; 6.523; 0.01618; 19.4; -18.2; 2.8
48.0; 6.547; 0.01860; 15.8; -14.6; 3.3
48.2; 6.570; 0.02101; 6.1; -4.8; 3.9
48.4; 6.593; 0.02332; 2.6; -1.3; 4.4
48.6; 6.616; 0.02541; 1.9; -0.5; 4.9
48.8; 6.639; 0.02717; 1.8; -0.3; 5.3
49.0; 6.662; 0.02850; 1.9; -0.2; 5.7
49.2; 6.685; 0.02931; 1.9; -0.2; 6.1
49.4; 6.708; 0.02959; 2.0; -0.1; 6.4
49.6; 6.731; 0.02935; 2.2; -0.2; 6.6
49.8; 6.754; 0.02866; 2.3; -0.2; 6.8
50.0; 6.776; 0.02761; 2.5; -0.3; 7.0
50.2; 6.799; 0.02631; 2.9; -0.7; 7.1
50.4; 6.822; 0.02485; 3.6; -1.3; 7.2
50.6; 6.845; 0.02335; 3.6; -1.2; 7.3
50.8; 6.867; 0.02184; 3.3; -0.8; 7.4
51.0; 6.890; 0.02041; 3.0; -0.5; 7.4
51.2; 6.913; 0.01909; 2.8; -0.2; 7.4
51.4; 6.935; 0.01790; 2.6; -0.1; 7.4
51.6; 6.958; 0.01687; 2.6; -0.0; 7.4
51.8; 6.980; 0.01597; 2.6; -0.0; 7.4
52.0; 7.002; 0.01519; 2.6; -0.0; 7.4
52.2; 7.025; 0.01448; 2.7; -0.1; 7.4
52.4; 7.047; 0.01380; 2.9; -0.4; 7.3
52.6; 7.069; 0.01318; 3.2; -0.8; 7.3
52.8; 7.091; 0.01265; 3.8; -1.4; 7.1
53.0; 7.114; 0.01222; 4.7; -2.4; 7.0
53.2; 7.136; 0.01189; 5.9; -3.7; 6.7
53.4; 7.158; 0.01167; 7.5; -5.4; 6.4
53.6; 7.180; 0.01157; 9.3; -7.4; 6.0
53.8; 7.202; 0.01159; 11.4; -9.7; 5.5
54.0; 7.224; 0.01175; 13.4; -11.8; 4.9
54.2; 7.246; 0.01204; 15.1; -13.7; 4.4
54.4; 7.268; 0.01247; 16.5; -15.1; 4.0
54.6; 7.291; 0.01303; 17.3; -16.0; 3.8
54.8; 7.313; 0.01371; 17.7; -16.5; 3.6
55.0; 7.335; 0.01450; 17.8; -16.5; 3.5
55.2; 7.357; 0.01537; 17.4; -16.2; 3.5
55.4; 7.379; 0.01631; 16.7; -15.4; 3.6
55.6; 7.401; 0.01727; 15.4; -14.1; 3.7
55.8; 7.423; 0.01823; 13.6; -12.3; 3.9
56.0; 7.445; 0.01917; 11.7; -10.4; 4.1
56.2; 7.468; 0.02006; 10.1; -8.7; 4.3
56.4; 7.490; 0.02091; 9.7; -8.3; 4.5
56.6; 7.512; 0.02171; 10.1; -8.6; 4.7
56.8; 7.534; 0.02247; 9.1; -7.7; 4.9
57.0; 7.557; 0.02319; 7.0; -5.5; 5.1
57.2; 7.579; 0.02385; 5.0; -3.4; 5.3
57.4; 7.601; 0.02443; 3.7; -2.1; 5.5
57.6; 7.624; 0.02489; 3.0; -1.3; 5.6
57.8; 7.646; 0.02520; 2.6; -0.9; 5.8
58.0; 7.669; 0.02531; 2.5; -0.7; 6.0
58.2; 7.691; 0.02522; 2.5; -0.7; 6.1
58.4; 7.714; 0.02492; 2.5; -0.7; 6.2
58.6; 7.737; 0.02440; 2.7; -0.8; 6.3
58.8; 7.759; 0.02369; 3.1; -1.2; 6.3
59.0; 7.782; 0.02283; 4.0; -2.1; 6.3
59.2; 7.804; 0.02188; 5.8; -3.9; 6.3
59.4; 7.827; 0.02087; 8.1; -6.3; 6.2
59.6; 7.850; 0.01987; 9.4; -7.5; 6.1
59.8; 7.872; 0.01897; 10.2; -8.4; 5.9
60.0; 7.895; 0.01822; 11.1; -9.4; 5.7
60.2; 7.918; 0.01767; 12.1; -10.4; 5.5
60.4; 7.940; 0.01735; 13.0; -11.4; 5.2
60.6; 7.963; 0.01730; 13.9; -12.3; 5.0
60.8; 7.986; 0.01752; 14.6; -13.1; 4.8
61.0; 8.009; 0.01802; 15.0; -13.6; 4.7
61.2; 8.031; 0.01879; 15.2; -13.8; 4.7
61.4; 8.054; 0.01980; 15.1; -13.7; 4.7
61.6; 8.077; 0.02102; 14.7; -13.2; 4.8
61.8; 8.100; 0.02238; 13.6; -12.1; 5.0
62.0; 8.122; 0.02381; 8.8; -7.2; 5.2
62.2; 8.145; 0.02520; 3.2; -1.6; 5.4
62.4; 8.168; 0.02646; 2.3; -0.6; 5.7
