# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
0.0; 0.000; 8.50; -0.00089; 0.05965; 0.48664; 0.00133
0.2; 0.024; 8.50; -0.00100; 0.06530; 0.48684; 0.00266
0.4; 0.047; 8.50; -0.00111; 0.07070; 0.48731; 0.00417
0.6; 0.071; 8.50; -0.00121; 0.07544; 0.48808; 0.00585
0.8; 0.094; 8.50; -0.00131; 0.07927; 0.48918; 0.00770
1.0; 0.118; 8.50; -0.00140; 0.08187; 0.49065; 0.00968
1.2; 0.141; 8.50; -0.00147; 0.08289; 0.49250; 0.01175
1.4; 0.165; 8.50; -0.00151; 0.08195; 0.49477; 0.01389
1.6; 0.188; 8.50; -0.00153; 0.07862; 0.49746; 0.01602
1.8; 0.212; 8.50; -0.00151; 0.07248; 0.50057; 0.01810
2.0; 0.235; 8.50; -0.00144; 0.06314; 0.50409; 0.02004
2.2; 0.259; 8.50; -0.00132; 0.05025; 0.50800; 0.02178
2.4; 0.282; 8.50; -0.00115; 0.03358; 0.51226; 0.02321
2.6; 0.306; 8.50; -0.00090; 0.01314; 0.51681; 0.02425
2.8; 0.330; 8.50; -0.00060; -0.01072; 0.52158; 0.02481
3.0; 0.353; 8.50; -0.00022; -0.03724; 0.52647; 0.02483
3.2; 0.377; 8.50; 0.00021; -0.06498; 0.53139; 0.02426
3.4; 0.400; 8.50; 0.00068; -0.09186; 0.53623; 0.02309
3.6; 0.424; 8.50; 0.00117; -0.11561; 0.54088; 0.02140
3.8; 0.448; 8.50; 0.00164; -0.13388; 0.54525; 0.01927
4.0; 0.471; 8.50; 0.00206; -0.14432; 0.54924; 0.01686
4.2; 0.495; 8.50; 0.00237; -0.14491; 0.55283; 0.01441
4.4; 0.518; 8.50; 0.00254; -0.13439; 0.55598; 0.01214
4.6; 0.542; 8.50; 0.00254; -0.11294; 0.55874; 0.01032
4.8; 0.566; 8.50; 0.00234; -0.08297; 0.56118; 0.00917
5.0; 0.589; 8.31; 0.00246; -0.07816; 0.56343; 0.00838
5.2; 0.614; 8.07; 0.00251; -0.05617; 0.56557; 0.00796
5.4; 0.639; 7.82; 0.00224; -0.03846; 0.56764; 0.00799
5.6; 0.665; 7.57; 0.00184; -0.04337; 0.56966; 0.00810
5.8; 0.692; 7.31; 0.00163; -0.08387; 0.57157; 0.00746
6.0; 0.720; 7.05; 0.00188; -0.16882; 0.57316; 0.00482
6.2; 0.749; 6.79; 0.00269; -0.30108; 0.57398; -0.00131
6.4; 0.779; 6.54; 0.00396; -0.47637; 0.57327; -0.01258
6.6; 0.811; 6.31; 0.00548; -0.68432; 0.56992; -0.03049
6.8; 0.843; 6.10; 0.00718; -0.91102; 0.56253; -0.05606
7.0; 0.877; 5.92; 0.00927; -1.13518; 0.54956; -0.08932
7.2; 0.911; 5.76; 0.01208; -1.33014; 0.52958; -0.12901
7.4; 0.947; 5.63; 0.01577; -1.47598; 0.50148; -0.17324
7.6; 0.985; 5.50; 0.02005; -1.55923; 0.46448; -0.21990
7.8; 1.024; 5.37; 0.02404; -1.57078; 0.41813; -0.26646
8.0; 1.064; 5.25; 0.02647; -1.57079; 0.36219; -0.31144
8.2; 1.106; 5.12; 0.02727; -1.57079; 0.29655; -0.35408
8.4; 1.150; 4.99; 0.02648; -1.57079; 0.22141; -0.39344
8.6; 1.195; 4.84; 0.02406; -1.57079; 0.13742; -0.42812
8.8; 1.242; 4.69; 0.01994; -1.57079; 0.04599; -0.45602
9.0; 1.290; 4.52; 0.01413; -1.57079; -0.05030; -0.47401
9.2; 1.339; 4.33; 0.00673; -1.57079; -0.14737; -0.47761
9.4; 1.387; 4.13; -0.00190; -1.57079; -0.23941; -0.46071
9.6; 1.433; 3.92; -0.01117; -1.57079; -0.31950; -0.41590
9.8; 1.475; 3.71; -0.02040; -1.57079; -0.38140; -0.33592
10.0; 1.512; 3.51; -0.02910; -1.57079; -0.42188; -0.21677
10.2; 1.545; 3.32; -0.03726; -1.57079; -0.44168; -0.06211
10.4; 1.576; 3.17; -0.04637; -1.57079; -0.44360; 0.11123
10.6; 1.610; 3.16; -0.05539; -1.57079; -0.42823; 0.27479
10.8; 1.649; 3.22; -0.05699; -1.57079; -0.39216; 0.40202
11.0; 1.697; 3.37; -0.05408; -1.57079; -0.33276; 0.48391
11.2; 1.749; 3.54; -0.04914; -1.57079; -0.25225; 0.52502
11.4; 1.806; 3.71; -0.04428; -1.57079; -0.15718; 0.53449
11.6; 1.863; 3.87; -0.03978; -1.57079; -0.05539; 0.52143
11.8; 1.920; 4.02; -0.03570; -1.57079; 0.04626; 0.49315
12.0; 1.975; 4.16; -0.03203; -1.57079; 0.14282; 0.45490
12.2; 2.028; 4.28; -0.02873; -1.57079; 0.23111; 0.41020
12.4; 2.080; 4.40; -0.02575; -1.57079; 0.30934; 0.36133
12.6; 2.129; 4.50; -0.02304; -1.57079; 0.37655; 0.30973
12.8; 2.176; 4.60; -0.02056; -1.57079; 0.43232; 0.25629
13.0; 2.222; 4.68; -0.01827; -1.57074; 0.47653; 0.20152
13.2; 2.266; 4.77; -0.01593; -1.50192; 0.50944; 0.14796
13.4; 2.309; 4.87; -0.01385; -1.37062; 0.53187; 0.09876
13.6; 2.351; 4.98; -0.01190; -1.20270; 0.54517; 0.05637
13.8; 2.392; 5.12; -0.00980; -1.01863; 0.55098; 0.02209
14.0; 2.431; 5.27; -0.00754; -0.83087; 0.55108; -0.00386
14.2; 2.469; 5.43; -0.00535; -0.64874; 0.54712; -0.02203
14.4; 2.506; 5.60; -0.00343; -0.48177; 0.54057; -0.03335
14.6; 2.542; 5.78; -0.00195; -0.34010; 0.53263; -0.03904
14.8; 2.577; 5.96; -0.00093; -0.22720; 0.52423; -0.04044
15.0; 2.611; 6.14; -0.00029; -0.13942; 0.51604; -0.03870
15.2; 2.644; 6.32; 0.00005; -0.07409; 0.50854; -0.03476
15.4; 2.675; 6.49; 0.00018; -0.02947; 0.50203; -0.02945
15.6; 2.706; 6.66; 0.00016; -0.00439; 0.49669; -0.02347
15.8; 2.736; 6.83; 0.00008; 0.00270; 0.49257; -0.01743
16.0; 2.766; 7.00; 0.00001; 0.00081; 0.48963; -0.01170
16.2; 2.794; 7.15; 0.00000; 0.00009; 0.48781; -0.00635
16.4; 2.822; 7.31; -0.00000; -0.00003; 0.48703; -0.00137
16.6; 2.850; 7.46; 0.00000; -0.00002; 0.48723; 0.00324
16.8; 2.876; 7.61; 0.00000; -0.00001; 0.48831; 0.00746
17.0; 2.903; 7.76; 0.00000; -0.00002; 0.49021; 0.01130
17.2; 2.928; 7.90; 0.00000; -0.00002; 0.49285; 0.01473
17.4; 2.954; 8.04; 0.00000; -0.00001; 0.49613; 0.01775
17.6; 2.979; 8.18; -0.00000; -0.00023; 0.49997; 0.02036
17.8; 3.003; 8.31; -0.00000; -0.00297; 0.50428; 0.02249
18.0; 3.027; 8.45; 0.00002; -0.00911; 0.50897; 0.02407
18.2; 3.051; 8.50; 0.00008; -0.01792; 0.51392; 0.02504
18.4; 3.074; 8.50; 0.00020; -0.02682; 0.51901; 0.02535
18.6; 3.098; 8.50; 0.00034; -0.03332; 0.52411; 0.02503
18.8; 3.121; 8.50; 0.00047; -0.03795; 0.52912; 0.02413
19.0; 3.145; 8.50; 0.00058; -0.04086; 0.53391; 0.02268
19.2; 3.168; 8.50; 0.00067; -0.04215; 0.53837; 0.02072
19.4; 3.192; 8.50; 0.00073; -0.04193; 0.54241; 0.01828
19.6; 3.215; 8.50; 0.00075; -0.04028; 0.54591; 0.01540
19.8; 3.239; 8.50; 0.00076; -0.03726; 0.54880; 0.01213
