#x_m,y_m,w_tr
-0.873446,0.702772,1.540145
-0.947811,0.754026,1.510511
-1.024261,0.800249,1.540145
-1.098627,0.851504,1.566795
-1.172993,0.902758,1.483861
-1.247359,0.954012,1.510511
-1.318511,1.013024,1.540145
-1.389492,1.072450,1.483861
-1.460473,1.131875,1.566795
-1.529199,1.196746,1.540145
-1.598947,1.259149,1.510511
-1.669928,1.318575,1.483861
-1.740909,1.378000,1.540145
-1.813083,1.434545,1.540145
-1.887449,1.485800,1.540145
-1.961815,1.537054,1.540145
-2.036180,1.588308,1.510511
-2.108395,1.644756,1.483861
-2.182761,1.696010,1.566795
-2.257127,1.747264,1.540145
-2.330299,1.801399,1.510511
-2.403771,1.854812,1.540145
-2.478137,1.906066,1.566795
-2.552503,1.957320,1.540145
-2.626868,2.008575,1.510511
-2.697850,2.068000,1.540145
-2.768831,2.127425,1.483861
-2.839812,2.186851,1.566795
-2.908303,2.252289,1.540145
-2.978285,2.314125,1.510511
-3.049266,2.373551,1.483861
-3.122462,2.427629,1.540145
-3.196828,2.478883,1.540145
-3.271194,2.530138,1.540145
-3.345559,2.581392,1.510511
-3.419925,2.632646,1.510511
-3.491905,2.689661,1.483861
-3.562886,2.749087,1.566795
-3.634549,2.806865,1.540145
-3.705531,2.866291,1.510511
-3.776512,2.925716,1.540145
-3.849432,2.980460,1.566795
-3.923798,3.031715,1.540145
-3.998163,3.082969,1.510511
-4.073510,3.131855,1.540145
-4.148364,3.181932,1.483861
-4.222729,3.233186,1.566795
-4.297095,3.284440,1.540145
-4.369522,3.340376,1.510511
-4.443740,3.391988,1.540145
-4.518105,3.443242,1.540145
-4.591490,3.496865,1.540145
-4.662471,3.556290,1.483861
-4.733452,3.615716,1.510511
-4.804434,3.675141,1.540145
-4.875415,3.734567,1.540145
-4.946544,3.793635,1.566795
-5.017525,3.853060,1.540145
-5.088506,3.912486,1.510511
-5.162448,3.964763,1.540145
-5.236814,4.016017,1.566795
-5.311180,4.067272,1.540145
-5.385545,4.118526,1.510511
-5.457743,4.175015,1.540145
-5.532109,4.226270,1.566795
-5.606474,4.277524,1.483861
-5.677879,4.335926,1.540145
-5.748860,4.395352,1.510511
-5.819842,4.454777,1.540145
-5.890823,4.514202,1.540145
-5.960588,4.576564,1.540145
-6.029296,4.641477,1.540145
-6.100277,4.700902,1.510511
-6.172199,4.758057,1.540145
-6.246565,4.809311,1.483861
-6.320930,4.860566,1.566795
-6.395296,4.911820,1.540145
-6.469662,4.963074,1.510511
-6.546112,5.009297,1.540145
-6.620478,5.060552,1.566795
-6.693903,5.114076,1.540145
-6.764884,5.173502,1.510511
-6.835865,5.232927,1.540145
-6.906846,5.292353,1.566795
-6.977827,5.351778,1.566795
-7.045613,5.418919,1.540145
-7.116301,5.479052,1.510511
-7.190666,5.530307,1.483861
-7.265032,5.581561,1.540145
-7.339398,5.632815,1.540145
-7.413764,5.684070,1.540145
-7.488129,5.735324,1.510511
-7.563671,5.783740,1.540145
-7.638330,5.834287,1.457211
-7.709311,5.893712,1.483861
-7.780292,5.953138,1.540145
-7.851273,6.012563,1.510511
-7.925639,6.063817,1.540145
-8.000005,6.115072,1.566795
-8.073195,6.169164,1.540145
-8.144176,6.228590,1.510511
-8.211086,6.289702,1.540145
-8.268339,6.354813,1.540145
-8.322978,6.421008,1.540145
-8.369089,6.497504,1.566795
-8.405543,6.578000,1.483861
-8.440455,6.659135,1.510511
-8.469151,6.742845,1.483435
-8.492263,6.828868,1.456359
-8.515374,6.914891,1.429283
-8.531443,7.003831,1.539719
-8.539012,7.092989,1.512643
-8.539012,7.179012,1.512643
-8.530898,7.268396,1.512643
-8.519342,7.359205,1.512643
-8.501242,7.447304,1.402206
-8.478131,7.533327,1.429282
-8.455019,7.619350,1.483435
-8.428279,7.703870,1.400927
-8.405167,7.789893,1.483861
-8.374853,7.872932,1.510511
-8.332686,7.946668,1.540145
-8.286218,8.016248,1.540145
-8.239995,8.085928,1.540145
-8.187397,8.152968,1.540145
-8.132758,8.219163,1.540145
-8.072402,8.282989,1.540145
-8.009592,8.345799,1.540145
-7.948979,8.413913,1.540145
-7.889553,8.484894,1.593445
-7.822530,8.547313,1.566795
-7.751549,8.606738,1.540145
-7.680568,8.666164,1.540145
-7.607837,8.721365,1.540145
-7.533472,8.772619,1.566795
-7.457527,8.820063,1.483861
-7.377583,8.857850,1.510511
-7.299156,8.899299,1.483435
-7.221406,8.942382,1.510511
-7.142419,8.982482,1.483435
-7.061183,9.017149,1.510511
-6.980048,9.052061,1.483435
-6.898812,9.086728,1.593445
-6.819871,9.126936,1.593445
-6.740612,9.166378,1.510511
-6.659477,9.201290,1.593445
-6.578240,9.235957,1.510511
-6.498956,9.275338,1.593445
-6.420040,9.315606,1.510511
-6.340585,9.354574,1.593445
-6.261840,9.395256,1.510511
-6.182214,9.433810,1.593445
-6.103640,9.474905,1.593445
-6.022404,9.509572,1.510511
-5.941269,9.544484,1.593445
-5.860032,9.579151,1.510511
-5.778897,9.614063,1.593445
-5.697661,9.648731,1.510511
-5.616526,9.683643,1.593445
-5.535290,9.718310,1.510511
-5.454053,9.752977,1.510511
-5.372918,9.787889,1.593445
-5.291682,9.822556,1.510511
-5.210547,9.857468,1.593445
-5.129311,9.892135,1.510511
-5.048176,9.927048,1.593445
-4.966939,9.961715,1.510511
-4.887344,10.000345,1.593445
-4.808739,10.041364,1.593445
-4.728973,10.079581,1.510511
-4.650539,10.121013,1.593445
-4.569303,10.155681,1.510511
-4.488168,10.190593,1.593445
-4.406931,10.225260,1.510511
-4.325796,10.260172,1.593445
-4.244560,10.294839,1.510511
-4.163425,10.329751,1.593445
-4.082189,10.364418,1.510511
-4.000952,10.399085,1.510511
-3.919817,10.433997,1.593445
-3.838581,10.468665,1.510511
-3.757446,10.503577,1.593445
-3.676210,10.538244,1.510511
-3.595075,10.573156,1.593445
-3.513838,10.607823,1.510511
-3.434104,10.646116,1.593445
-3.355638,10.687472,1.510511
-3.275732,10.725352,1.593445
-3.197438,10.767122,1.593445
-3.117361,10.804588,1.510511
-3.039238,10.846771,1.593445
-2.958002,10.881438,1.510511
-2.876867,10.916350,1.593445
-2.795630,10.951018,1.510511
-2.714495,10.985930,1.593445
-2.633259,11.020597,1.510511
-2.552124,11.055509,1.593445
-2.470888,11.090176,1.510511
-2.390741,11.127474,1.593445
-2.312687,11.169825,1.593445
-2.231451,11.204493,1.510511
-2.150316,11.239405,1.593445
-2.069080,11.274072,1.510511
-1.987945,11.308984,1.593445
-1.906708,11.343651,1.510511
-1.825573,11.378563,1.593445
-1.744337,11.413230,1.510511
-1.664120,11.450359,1.593445
-1.586137,11.492880,1.510511
-1.505749,11.529595,1.593445
-1.427937,11.572529,1.593445
-1.346700,11.607196,1.510511
-1.265566,11.642108,1.593445
-1.184329,11.676775,1.510511
-1.103194,11.711688,1.593445
-1.021958,11.746355,1.510511
-0.940823,11.781267,1.593445
-0.859586,11.815934,1.510511
-0.779129,11.852481,1.593445
-0.701378,11.895564,1.593445
-0.620749,11.931697,1.510511
-0.542999,11.974780,1.593445
-0.461763,12.009448,1.510511
-0.380628,12.044360,1.593445
-0.299391,12.079027,1.510511
-0.218256,12.113939,1.593445
-0.137028,12.148625,1.510511
