#s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,-1.1556278,0.2745897,2.4958354,0.0067607,8.4999348,0.0013953
0.1999994,-1.3154399,0.3948387,2.4972480,0.0073649,8.4999677,0.0000005
0.3999987,-1.4754288,0.5148517,2.4987860,0.0080130,8.4999677,0.0000004
0.5999981,-1.6356093,0.6346082,2.5004478,0.0086016,8.4999677,0.0000004
0.7999974,-1.7959949,0.7540892,2.5022175,0.0090881,8.4999677,0.0000003
0.9999968,-1.9565967,0.8732789,2.5040706,0.0094336,8.4999677,0.0000002
1.1999961,-2.1174222,0.9921660,2.5059751,0.0095974,8.4999677,0.0000000
1.3999955,-2.2784748,1.1107451,2.5078902,0.0095353,8.4999677,-0.0000002
1.5999948,-2.4397523,1.2290178,2.5097661,0.0092016,8.4999677,-0.0000005
1.7999942,-2.6012462,1.3469948,2.5115441,0.0085510,8.4999677,-0.0000007
1.9999935,-2.7629406,1.4646970,2.5131565,0.0075421,8.4999677,-0.0000008
2.1999929,-2.9248113,1.5821569,2.5145282,0.0061421,8.4999677,-0.0000005
2.3999922,-3.0868252,1.6994196,2.5155790,0.0043338,8.4999676,0.0000008
2.5999916,-3.2489398,1.8165438,2.5162278,0.0021264,8.4999677,0.0000030
2.7999910,-3.4111036,1.9336009,2.5163986,-0.0004374,8.4999677,0.0000043
2.9999903,-3.5732568,2.0506738,2.5160289,-0.0032658,8.4999678,0.0000042
3.1999897,-3.7353337,2.1678537,2.5150807,-0.0062067,8.4999679,0.0000035
3.3999890,-3.8972661,2.2852350,2.5135510,-0.0090683,8.4999680,0.0000014
3.5999884,-4.0589872,2.4029095,2.5114774,-0.0116382,8.4999681,-0.0000022
3.7999877,-4.2204368,2.5209587,2.5089411,-0.0136960,8.4999680,-0.0000071
3.9999871,-4.3815667,2.6394472,2.5060677,-0.0150241,8.4999678,-0.0000127
4.1999864,-4.5423354,2.7584090,2.5030199,-0.0154516,8.4999675,-0.0000170
4.3999858,-4.7027341,2.8778571,2.4999930,-0.0148010,8.4999671,-0.0000155
4.5999851,-4.8627799,2.9977748,2.4971712,-0.0133891,8.4999668,0.0000049
4.7999845,-5.0225081,3.1181128,2.4947794,-0.0104202,8.4999669,-6.9588942
4.9999838,-5.1819810,3.2387868,2.4929143,-0.0083497,8.3346199,-9.0683814
5.1999832,-5.3412480,3.3597310,2.4913358,-0.0076218,8.1140956,-9.2895047
5.3999826,-5.5003296,3.4809184,2.4898455,-0.0073245,7.8817991,-9.2603414
5.5999819,-5.6592315,3.6023420,2.4883290,-0.0080926,7.6432083,-9.1595122
5.7999813,-5.8179335,3.7240287,2.4864557,-0.0112733,7.3996513,-8.9464436
5.9999806,-5.9763571,3.8460810,2.4835989,-0.0184210,7.1537594,-8.5824673
6.1999800,-6.1343273,3.9687255,2.4788210,-0.0309510,6.9096525,-8.0437058
6.3999793,-6.2915317,4.0923529,2.4709442,-0.0495420,6.6727675,-7.3383446
6.5999787,-6.4475018,4.2175393,2.4587563,-0.0737525,6.4490695,-6.5128814
6.7999780,-6.6016104,4.3450216,2.4412676,-0.1014370,6.2438253,-5.6424073
6.9999774,-6.7530698,4.4755770,2.4181679,-0.1292390,6.0603959,-4.8115293
7.1999767,-6.9011417,4.6100188,2.3898146,-0.1548207,5.8994739,-4.0928470
7.3999761,-7.0450394,4.7490840,2.3556907,-0.1857181,5.7590502,-3.5113503
7.5999754,-7.1835888,4.8932722,2.3159306,-0.2123193,5.6357895,-3.1600606
7.7999748,-7.3159157,5.0431947,2.2711990,-0.2349054,5.5225088,-3.0121405
7.9999742,-7.4410952,5.1992247,2.2218617,-0.2587167,5.4123240,-2.9492493
8.1999735,-7.5580525,5.3615663,2.1674744,-0.2852818,5.3022217,-2.9463073
8.3999729,-7.6655510,5.5303330,2.1074619,-0.3145101,5.1898975,-2.9959800
8.5999722,-7.7621985,5.7055243,2.0413050,-0.3464067,5.0731300,-3.0983562
8.7999716,-7.8464429,5.8869641,1.9684812,-0.3809752,4.9494757,-3.2597057
8.9999709,-7.9165886,6.0742476,1.8885553,-0.4177919,4.8159559,-3.4951003
9.1999703,-7.9708469,6.2666893,1.8013105,-0.4555049,4.6685539,-3.8316882
9.3999696,-8.0074379,6.4633341,1.7069361,-0.4904039,4.5014137,-4.3117205
9.5999690,-8.0247392,6.6630738,1.6064937,-0.5126205,4.3055828,-4.9870189
9.7999683,-8.0215884,6.8644787,1.5040563,-0.4948083,4.0673384,-5.8895200
