# s_m; t_s; ax_mps2; ay_mps2; atot_mps2
0.0; 0.000; -0.094; 8.753; 8.754
0.2; 0.024; -0.347; 8.672; 8.679
0.4; 0.048; -2.190; 8.496; 8.774
0.6; 0.072; -2.092; 8.537; 8.790
0.8; 0.097; -0.254; 8.746; 8.749
1.0; 0.121; -0.161; 8.803; 8.804
1.2; 0.145; -0.147; 8.823; 8.824
1.4; 0.169; -0.144; 8.829; 8.830
1.6; 0.193; -0.144; 8.830; 8.832
1.8; 0.217; -0.146; 8.830; 8.831
2.0; 0.241; -0.148; 8.829; 8.830
2.2; 0.265; -0.149; 8.828; 8.829
2.4; 0.289; -0.146; 8.828; 8.829
2.6; 0.312; -0.141; 8.829; 8.830
2.8; 0.336; -0.134; 8.831; 8.832
3.0; 0.359; -0.124; 8.833; 8.834
3.2; 0.382; -0.112; 8.836; 8.837
3.4; 0.404; -0.099; 8.839; 8.839
3.6; 0.427; -0.086; 8.842; 8.842
3.8; 0.449; -0.071; 8.844; 8.844
4.0; 0.471; -0.057; 8.845; 8.845
4.2; 0.493; -0.041; 8.846; 8.846
4.4; 0.514; -0.026; 8.846; 8.846
4.6; 0.535; -0.009; 8.846; 8.846
4.8; 0.555; 0.008; 8.846; 8.846
5.0; 0.575; 0.025; 8.845; 8.845
5.2; 0.595; 0.043; 8.843; 8.843
5.4; 0.614; 0.061; 8.842; 8.842
5.6; 0.633; 0.079; 8.840; 8.841
5.8; 0.652; 0.097; 8.839; 8.840
6.0; 0.671; 0.114; 8.838; 8.839
6.2; 0.691; 0.131; 8.836; 8.837
6.4; 0.710; 0.148; 8.832; 8.833
6.6; 0.731; 0.166; 8.825; 8.827
6.8; 0.751; 0.186; 8.817; 8.819
7.0; 0.773; 0.207; 8.808; 8.810
7.2; 0.796; 0.230; 8.798; 8.801
7.4; 0.819; 0.255; 8.788; 8.791
7.6; 0.843; 0.282; 8.776; 8.780
7.8; 0.867; 0.312; 8.762; 8.767
8.0; 0.892; 0.345; 8.746; 8.753
8.2; 0.917; 0.379; 8.728; 8.736
8.4; 0.943; 0.417; 8.707; 8.717
8.6; 0.970; 0.457; 8.683; 8.695
8.8; 0.996; 0.499; 8.656; 8.670
9.0; 1.023; 0.545; 8.625; 8.642
9.2; 1.050; 0.593; 8.590; 8.611
9.4; 1.077; 0.645; 8.551; 8.576
9.6; 1.104; 0.700; 8.508; 8.536
9.8; 1.131; 0.759; 8.459; 8.493
10.0; 1.158; 0.821; 8.406; 8.445
10.2; 1.185; 0.885; 8.347; 8.394
10.4; 1.212; 0.951; 8.286; 8.340
10.6; 1.239; 1.018; 8.221; 8.284
10.8; 1.265; 1.084; 8.156; 8.228
11.0; 1.292; 1.146; 8.092; 8.173
11.2; 1.318; 1.205; 8.031; 8.121
11.4; 1.344; 1.259; 7.972; 8.070
11.6; 1.370; 1.310; 7.913; 8.021
11.8; 1.395; 1.363; 7.850; 7.968
12.0; 1.421; 1.424; 7.775; 7.904
12.2; 1.446; 1.502; 7.675; 7.820
12.4; 1.472; 1.609; 7.533; 7.703
12.6; 1.497; 1.762; 7.329; 7.537
12.8; 1.522; 1.975; 7.036; 7.308
13.0; 1.547; 2.259; 6.631; 7.006
13.2; 1.571; 2.617; 6.099; 6.636
13.4; 1.596; 3.030; 5.446; 6.232
13.6; 1.620; 3.464; 4.707; 5.844
13.8; 1.644; 0.060; 4.128; 4.128
14.0; 1.668; 0.041; 3.651; 3.651
14.2; 1.692; 0.032; 3.107; 3.107
14.4; 1.716; 0.023; 2.521; 2.521
14.6; 1.740; 0.015; 1.938; 1.938
14.8; 1.764; 0.009; 1.395; 1.395
15.0; 1.788; 0.004; 0.914; 0.914
15.2; 1.812; 0.002; 0.502; 0.502
15.4; 1.835; 0.000; 0.158; 0.158
15.6; 1.859; -0.000; -0.122; 0.122
15.8; 1.883; -0.000; -0.344; 0.344
16.0; 1.907; 0.000; -0.514; 0.514
16.2; 1.931; 0.000; -0.639; 0.639
16.4; 1.954; 0.001; -0.726; 0.726
