# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; -0.00292; 1.2; -1.5; 7.4
0.2; 0.024; -0.00348; 4.5; -11.2; 7.3
0.4; 0.048; -0.00381; 4.5; -10.9; 7.3
0.6; 0.072; -0.00393; 0.5; -0.5; 7.5
0.8; 0.097; -0.00391; 0.4; -0.1; 7.5
1.0; 0.121; -0.00379; 0.4; -0.0; 7.5
1.2; 0.145; -0.00358; 0.4; -0.0; 7.5
1.4; 0.169; -0.00329; 0.4; -0.0; 7.5
1.6; 0.193; -0.00294; 0.4; -0.0; 7.5
1.8; 0.217; -0.00251; 0.4; -0.0; 7.5
2.0; 0.241; -0.00200; 0.4; -0.0; 7.5
2.2; 0.265; -0.00141; 0.4; -0.0; 7.5
2.4; 0.289; -0.00073; 0.4; -0.0; 7.5
2.6; 0.312; 0.00002; 0.5; -0.0; 7.5
2.8; 0.336; 0.00084; 0.5; -0.0; 7.5
3.0; 0.359; 0.00170; 0.6; -0.0; 7.6
3.2; 0.382; 0.00260; 0.6; -0.0; 7.6
3.4; 0.404; 0.00350; 0.7; -0.0; 7.6
3.6; 0.427; 0.00441; 0.7; -0.0; 7.6
3.8; 0.449; 0.00529; 0.8; -0.0; 7.6
4.0; 0.471; 0.00617; 0.9; -0.0; 7.6
4.2; 0.493; 0.00703; 0.9; -0.0; 7.6
4.4; 0.514; 0.00788; 1.0; -0.0; 7.6
4.6; 0.535; 0.00871; 1.1; -0.0; 7.6
4.8; 0.555; 0.00954; 1.1; -0.0; 7.6
5.0; 0.575; 0.01037; 1.2; -0.0; 7.6
5.2; 0.595; 0.01120; 1.3; -0.0; 7.6
5.4; 0.614; 0.01204; 1.3; -0.0; 7.6
5.6; 0.633; 0.01288; 1.4; -0.0; 7.6
5.8; 0.652; 0.01374; 1.5; -0.0; 7.6
6.0; 0.671; 0.01458; 1.6; -0.0; 7.6
6.2; 0.691; 0.01535; 1.6; -0.0; 7.5
6.4; 0.710; 0.01604; 1.7; -0.0; 7.5
6.6; 0.731; 0.01670; 1.8; -0.0; 7.5
6.8; 0.751; 0.01736; 1.9; -0.0; 7.5
7.0; 0.773; 0.01804; 1.9; -0.0; 7.5
7.2; 0.796; 0.01877; 2.0; -0.0; 7.5
