# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
0.0; 0.000; 8.33; -0.06240; 1.01518; 0.09789; 0.24099
0.2; 0.024; 8.31; -0.06150; 0.98818; 0.13365; 0.24152
0.4; 0.048; 8.25; -0.06215; 1.08280; 0.16950; 0.24318
0.6; 0.072; 8.18; -0.06460; 1.15587; 0.20544; 0.24706
0.8; 0.097; 8.16; -0.06630; 1.10925; 0.24164; 0.25131
1.0; 0.121; 8.14; -0.06688; 1.08926; 0.27824; 0.25479
1.2; 0.145; 8.13; -0.06699; 1.08117; 0.31525; 0.25779
1.4; 0.169; 8.11; -0.06688; 1.07768; 0.35264; 0.26040
1.6; 0.193; 8.09; -0.06663; 1.07595; 0.39035; 0.26257
1.8; 0.217; 8.07; -0.06630; 1.07493; 0.42829; 0.26422
2.0; 0.241; 8.06; -0.06588; 1.07425; 0.46634; 0.26524
2.2; 0.265; 8.04; -0.06540; 1.07382; 0.50435; 0.26551
2.4; 0.289; 8.02; -0.06486; 1.07368; 0.54216; 0.26490
2.6; 0.312; 8.00; -0.06425; 1.07388; 0.57957; 0.26328
2.8; 0.336; 7.99; -0.06360; 1.07446; 0.61636; 0.26052
3.0; 0.359; 7.97; -0.06290; 1.07542; 0.65230; 0.25647
3.2; 0.382; 7.96; -0.06218; 1.07675; 0.68711; 0.25097
3.4; 0.404; 7.94; -0.06143; 1.07839; 0.72051; 0.24387
3.6; 0.427; 7.93; -0.06067; 1.08025; 0.75220; 0.23499
3.8; 0.449; 7.92; -0.05992; 1.08216; 0.78185; 0.22417
4.0; 0.471; 7.90; -0.05916; 1.08394; 0.80913; 0.21123
4.2; 0.493; 7.89; -0.05841; 1.08552; 0.83371; 0.19599
4.4; 0.514; 7.88; -0.05766; 1.08687; 0.85525; 0.17828
4.6; 0.535; 7.87; -0.05691; 1.08799; 0.87341; 0.15795
4.8; 0.555; 7.86; -0.05617; 1.08890; 0.88788; 0.13488
5.0; 0.575; 7.85; -0.05542; 1.08963; 0.89834; 0.10898
5.2; 0.595; 7.84; -0.05468; 1.09027; 0.90451; 0.08020
