#s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,-11.7710031,-14.7499748,4.3306461,0.1208645,8.3325496,-0.8692606
0.1999715,-11.8432634,-14.9364253,4.3545918,0.1187115,8.3116622,-2.6128074
0.3999429,-11.9110729,-15.1245447,4.3782315,0.1178267,8.2485608,-2.5600853
0.5999144,-11.9743993,-15.3142240,4.4022744,0.1229438,8.1862609,-0.9129259
0.7998859,-12.0330476,-15.5054047,4.4273602,0.1279816,8.1639297,-0.7283346
0.9998573,-12.0868025,-15.6980228,4.4531733,0.1299683,8.1460700,-0.7131116
1.1998288,-12.1355348,-15.8919761,4.4793384,0.1317623,8.1285455,-0.7098650
1.3998003,-12.1791424,-16.0871478,4.5058476,0.1333629,8.1110633,-0.7093443
1.5997717,-12.2175303,-16.2834136,4.5326753,0.1349736,8.0935561,-0.7098118
1.7997432,-12.2506075,-16.4806424,4.5598287,0.1366183,8.0759994,-0.7101536
1.9997147,-12.2782843,-16.6786969,4.5873147,0.1383083,8.0583959,-0.7092187
2.1996861,-12.3004730,-16.8774330,4.6151400,0.1400291,8.0407772,-0.7059239
2.3996576,-12.3170889,-17.0766983,4.6433063,0.1417488,8.0232019,-0.6996361
2.5996290,-12.3280516,-17.2763314,4.6718057,0.1434147,8.0057451,-0.6903491
2.7996005,-12.3332888,-17.4761602,4.7006164,0.1449506,7.9884826,-0.6777285
2.9995720,-12.3327362,-17.6762258,4.7297289,0.1461673,7.9714993,-0.6633442
3.1995434,-12.3263359,-17.8762307,4.7590600,0.1469738,7.9548414,-0.6474167
3.3995149,-12.3140592,-18.0759645,4.7885058,0.1471934,7.9385497,-0.6302080
3.5994864,-12.2959113,-18.2752125,4.8179178,0.1465859,7.9226589,-0.6117889
3.7994578,-12.2719445,-18.4737388,4.8470870,0.1448442,7.9072020,-0.5921058
3.9994293,-12.2422744,-18.6712901,4.8757302,0.1415814,7.8922136,-0.5697989
4.1994008,-12.2070240,-18.8679863,4.9035300,0.1362788,7.8777629,-0.5438484
4.3993722,-12.1663373,-19.0641128,4.9300874,0.1284850,7.8639456,-0.5182518
4.5993437,-12.1207408,-19.2586683,4.9547573,0.1179797,7.8507559,-0.4878822
4.7993152,-12.0705826,-19.4520801,4.9770820,0.1051923,7.8383189,-0.4527908
4.9992866,-12.0163081,-19.6446167,4.9967774,0.0921432,7.8267588,-0.4183219
5.1992581,-11.9586057,-19.8357939,5.0137983,0.0802147,7.8160635,-0.3786918
5.3992296,-11.8977368,-20.0258667,5.0312334,0.0929017,7.8063688,-0.3405535
5.5992010,-11.8331917,-20.2153325,5.0504316,0.0997882,7.7976401,-0.2958165
5.7991725,-11.7650653,-20.4027479,5.0722510,0.1180790,7.7900502,-0.2565191
5.9991440,-11.6922835,-20.5891954,5.0973516,0.1324733,7.7834625,-0.2144883
6.1991154,-11.6144821,-20.7739145,5.1250759,0.1435852,7.7779499,-0.1656596
6.3990869,-11.5318013,-20.9554883,5.1545643,0.1514547,7.7736897,-0.1210292
6.5990583,-11.4435473,-21.1347434,5.1853846,0.1565543,7.7705757,-0.0748736
6.7990298,-11.3496627,-21.3112821,5.2170318,0.1595257,7.7686486,-0.0273985
6.9990013,-11.2501662,-21.4847897,5.2491166,0.1608702,7.7679433,0.0212346
7.1989727,-11.1451303,-21.6550204,5.2813451,0.1609762,7.7684899,0.0709348
7.3989442,-11.0346674,-21.8217806,5.3134968,0.1601409,7.7703157,0.1216919
7.5989157,-10.9189201,-21.9849144,5.3454063,0.1585923,7.7734468,0.1735725
7.7988871,-10.7980548,-22.1442937,5.3769491,0.1565058,7.7779107,0.2267061
