#x_m,y_m,w_tr
-11.955238,-14.632511,2.056155
-11.986024,-14.677597,2.056155
-12.014103,-14.723804,2.039666
-12.039833,-14.770984,2.056155
-12.070619,-14.816071,2.023176
-12.100527,-14.861520,2.039666
-12.130792,-14.906822,2.039402
-12.161220,-14.952056,2.056155
-12.186951,-14.999237,2.039666
-12.215388,-15.045296,2.056155
-12.241118,-15.092476,2.056155
-12.266848,-15.139656,2.039666
-12.293457,-15.186472,2.056155
-12.320391,-15.233153,2.039402
-12.346479,-15.280185,2.056155
-12.373935,-15.326651,2.039402
-12.399665,-15.373831,2.056155
-12.427641,-15.420081,2.039402
-12.453372,-15.467261,2.056155
-12.476813,-15.515390,2.039666
-12.501339,-15.563069,2.039666
-12.525301,-15.610981,2.056155
-12.549305,-15.658876,2.056155
-12.573788,-15.706573,2.039402
-12.597272,-15.754684,2.056155
-12.622276,-15.802165,2.039402
-12.643726,-15.851118,2.056155
-12.664400,-15.900392,2.039402
-12.685850,-15.949345,2.056155
-12.706525,-15.998620,2.056155
-12.727975,-16.047573,2.039402
-12.748649,-16.096847,2.056155
-12.770050,-16.145821,2.039402
-12.792238,-16.194468,2.056155
-12.817968,-16.241648,2.039402
-12.839418,-16.290602,2.056155
-12.860092,-16.339876,2.039402
-12.881238,-16.388955,2.056155
-12.901430,-16.438429,2.056155
-12.915779,-16.490324,2.039402
-12.931398,-16.541692,2.056155
-12.946267,-16.593371,2.039402
-12.960567,-16.645286,2.022649
-12.973864,-16.697616,1.988351
-12.981318,-16.752367,2.039402
-12.988468,-16.807243,2.022649
-13.000300,-16.860180,2.005895
-13.012544,-16.912946,1.954317
-13.019694,-16.967823,1.937564
-13.026844,-17.022699,2.005895
-13.033994,-17.077576,1.989142
-13.042610,-17.131845,1.972389
-13.056910,-17.183759,1.955636
-13.066527,-17.237614,1.938883
-13.073677,-17.292490,1.922130
-13.080827,-17.347366,1.990461
-13.087977,-17.402243,1.973708
-13.095127,-17.457119,1.956955
-13.105690,-17.510582,1.956955
-13.112840,-17.565458,1.956955
-13.119990,-17.620335,1.956955
-13.127140,-17.675211,2.042040
-13.134290,-17.730087,2.042040
-13.141440,-17.784964,2.042040
-13.148590,-17.839840,2.042040
-13.147626,-17.895397,2.042040
-13.140476,-17.950273,2.042040
-13.133326,-18.005150,2.042040
-13.126176,-18.060026,2.042040
-13.119026,-18.114903,1.973708
-13.111876,-18.169779,1.990461
-13.104726,-18.224655,2.007215
-13.100811,-18.280872,2.023968
-13.100811,-18.338710,2.040721
-13.100811,-18.396548,2.042040
-13.100811,-18.454386,2.042040
-13.096072,-18.510261,2.058793
-13.088922,-18.565137,2.092300
-13.081772,-18.620013,2.109053
-13.074622,-18.674890,2.040721
-13.067472,-18.729766,2.042040
-13.060322,-18.784643,2.058793
-13.053172,-18.839519,2.075546
