#x_m,y_m
-11.94966136508635,-14.63482098289893
-11.999711365086348,-14.684870982898929
-11.999711365086348,-14.734920982898927
-12.049761365086347,-14.784970982898926
-12.09981136508635,-14.835020982898925
-12.09981136508635,-14.885070982898924
-12.149861365086348,-14.935120982898923
-12.199911365086347,-14.985170982898936
-12.199911365086347,-15.035220982898934
-12.24996136508635,-15.085270982898933
-12.24996136508635,-15.135320982898932
-12.300011365086348,-15.185370982898931
-12.300011365086348,-15.23542098289893
-12.350061365086347,-15.285470982898929
-12.40011136508635,-15.335520982898927
-12.40011136508635,-15.385570982898926
-12.450161365086348,-15.435620982898925
-12.450161365086348,-15.485670982898924
-12.500211365086347,-15.535720982898923
-12.500211365086347,-15.585770982898936
-12.55026136508635,-15.635820982898935
-12.55026136508635,-15.685870982898933
-12.600311365086348,-15.735920982898932
-12.600311365086348,-15.785970982898931
-12.650361365086347,-15.83602098289893
-12.650361365086347,-15.886070982898929
-12.70041136508635,-15.936120982898927
-12.70041136508635,-15.986170982898926
-12.70041136508635,-16.036220982898925
-12.750461365086348,-16.086270982898924
-12.750461365086348,-16.136320982898923
-12.800511365086347,-16.186370982898936
-12.800511365086347,-16.236420982898935
-12.85056136508635,-16.286470982898933
-12.85056136508635,-16.336520982898932
-12.900611365086348,-16.38657098289893
-12.900611365086348,-16.43662098289893
-12.900611365086348,-16.48667098289893
-12.950661365086347,-16.536720982898927
-12.950661365086347,-16.586770982898926
-12.950661365086347,-16.636820982898925
-12.950661365086347,-16.686870982898924
-13.00071136508635,-16.736920982898923
-13.00071136508635,-16.786970982898936
-13.00071136508635,-16.837020982898935
-13.00071136508635,-16.887070982898933
-13.00071136508635,-16.937120982898932
-13.00071136508635,-16.98717098289893
-13.050761365086348,-17.03722098289893
-13.050761365086348,-17.08727098289893
-13.050761365086348,-17.137320982898927
-13.050761365086348,-17.187370982898926
-13.050761365086348,-17.237420982898925
-13.050761365086348,-17.287470982898924
-13.100811365086347,-17.337520982898923
-13.100811365086347,-17.387570982898936
-13.100811365086347,-17.437620982898935
-13.100811365086347,-17.487670982898933
-13.100811365086347,-17.537720982898932
-13.100811365086347,-17.58777098289893
-13.100811365086347,-17.63782098289893
-13.15086136508635,-17.68787098289893
-13.15086136508635,-17.737920982898927
-13.15086136508635,-17.787970982898926
-13.15086136508635,-17.838020982898925
-13.15086136508635,-17.888070982898924
-13.15086136508635,-17.938120982898923
-13.15086136508635,-17.988170982898936
-13.15086136508635,-18.038220982898935
-13.100811365086347,-18.088270982898933
