# s_m; t_s; ax_mps2; ay_mps2; atot_mps2
0.0; 0.000; -0.001; 0.252; 0.252
0.2; 0.024; 0.001; 0.201; 0.201
0.4; 0.048; 0.000; 0.155; 0.155
0.6; 0.072; 0.000; 0.114; 0.114
0.8; 0.095; 0.000; 0.078; 0.078
1.0; 0.119; 0.000; 0.046; 0.046
1.2; 0.143; 0.000; 0.018; 0.018
1.4; 0.167; -0.000; -0.005; 0.005
1.6; 0.191; -0.000; -0.026; 0.026
1.8; 0.214; -0.000; -0.043; 0.043
2.0; 0.238; 0.000; -0.058; 0.058
2.2; 0.262; 0.000; -0.071; 0.071
2.4; 0.285; 0.000; -0.081; 0.081
2.6; 0.309; 0.000; -0.090; 0.090
2.8; 0.333; 0.000; -0.098; 0.098
3.0; 0.356; 0.000; -0.105; 0.105
3.2; 0.380; 0.000; -0.111; 0.111
3.4; 0.404; 0.000; -0.115; 0.115
3.6; 0.427; 0.000; -0.119; 0.119
3.8; 0.451; 0.000; -0.122; 0.122
4.0; 0.474; 0.000; -0.123; 0.123
4.2; 0.498; 0.000; -0.124; 0.124
4.4; 0.521; 0.000; -0.122; 0.122
4.6; 0.545; 0.000; -0.119; 0.119
4.8; 0.568; 0.000; -0.113; 0.113
5.0; 0.592; 0.000; -0.104; 0.104
5.2; 0.615; 0.000; -0.092; 0.092
5.4; 0.638; 0.000; -0.075; 0.075
5.6; 0.662; 0.000; -0.054; 0.054
5.8; 0.685; 0.000; -0.028; 0.028
6.0; 0.708; -0.000; 0.005; 0.005
6.2; 0.732; -0.000; 0.045; 0.045
6.4; 0.755; 0.000; 0.092; 0.092
6.6; 0.778; 0.000; 0.147; 0.147
6.8; 0.801; 0.000; 0.211; 0.211
7.0; 0.825; 0.000; 0.285; 0.285
7.2; 0.848; 0.000; 0.368; 0.368
7.4; 0.871; 0.000; 0.460; 0.460
7.6; 0.894; 0.000; 0.562; 0.562
7.8; 0.917; 0.001; 0.674; 0.674
8.0; 0.940; 0.001; 0.794; 0.794
8.2; 0.963; 0.001; 0.923; 0.923
8.4; 0.986; 0.002; 1.058; 1.058
8.6; 1.009; 0.002; 1.198; 1.198
8.8; 1.032; 0.003; 1.342; 1.342
9.0; 1.055; 0.004; 1.488; 1.488
9.2; 1.078; 0.005; 1.634; 1.634
9.4; 1.101; 0.006; 1.778; 1.778
9.6; 1.124; 0.007; 1.920; 1.920
9.8; 1.147; 0.008; 2.057; 2.057
10.0; 1.170; 0.009; 2.190; 2.190
10.2; 1.192; 0.011; 2.318; 2.318
10.4; 1.215; 0.012; 2.442; 2.442
10.6; 1.238; 0.014; 2.562; 2.562
10.8; 1.261; 0.015; 2.677; 2.677
11.0; 1.283; 0.016; 2.789; 2.789
11.2; 1.306; 0.018; 2.897; 2.897
11.4; 1.329; 0.019; 3.001; 3.001
11.6; 1.352; 0.021; 3.098; 3.098
11.8; 1.374; 0.022; 3.185; 3.185
12.0; 1.397; 0.024; 3.258; 3.258
12.2; 1.419; 0.025; 3.311; 3.311
12.4; 1.442; 0.026; 3.336; 3.336
12.6; 1.465; 0.026; 3.327; 3.327
12.8; 1.487; 0.026; 3.279; 3.279
13.0; 1.510; 0.025; 3.187; 3.187
13.2; 1.532; 0.024; 3.054; 3.054
13.4; 1.555; 0.022; 2.884; 2.884
13.6; 1.577; 0.020; 2.686; 2.686
13.8; 1.600; 0.017; 2.465; 2.465
14.0; 1.623; 0.014; 2.228; 2.228
14.2; 1.645; 0.012; 1.983; 1.983
14.4; 1.668; 0.009; 1.735; 1.735
14.6; 1.691; 0.007; 1.489; 1.489
14.8; 1.713; 0.005; 1.249; 1.249
15.0; 1.736; 0.004; 1.018; 1.018
15.2; 1.759; 0.002; 0.798; 0.798
15.4; 1.782; 0.001; 0.590; 0.590
15.6; 1.804; 0.001; 0.397; 0.397
15.8; 1.827; 0.000; 0.218; 0.218
16.0; 1.850; 0.000; 0.053; 0.053
16.2; 1.873; -0.000; -0.096; 0.096
16.4; 1.896; -0.000; -0.230; 0.230
16.6; 1.919; 0.000; -0.348; 0.348
16.8; 1.943; 0.000; -0.451; 0.451
17.0; 1.966; 0.000; -0.536; 0.536
17.2; 1.989; 0.001; -0.604; 0.604
17.4; 2.012; 0.001; -0.652; 0.652
17.6; 2.036; 0.001; -0.681; 0.681
17.8; 2.059; 0.001; -0.687; 0.687
18.0; 2.083; 0.001; -0.668; 0.668
18.2; 2.107; 0.001; -0.622; 0.622
18.4; 2.130; 0.001; -0.545; 0.545
18.6; 2.154; 0.001; -0.435; 0.435
18.8; 2.178; 0.000; -0.287; 0.287
19.0; 2.202; 0.000; -0.098; 0.098
19.2; 2.226; -0.000; 0.135; 0.135
19.4; 2.251; -0.000; 0.416; 0.416
19.6; 2.275; 0.000; 0.747; 0.747
19.8; 2.299; 0.001; 1.132; 1.132
20.0; 2.324; 0.003; 1.571; 1.571
20.2; 2.348; 0.005; 2.063; 2.063
20.4; 2.373; 0.009; 2.607; 2.607
20.6; 2.397; 0.015; 3.196; 3.196
20.8; 2.422; 0.023; 3.825; 3.825
21.0; 2.447; 0.035; 4.507; 4.507
21.2; 2.471; 0.049; 5.178; 5.178
21.4; 2.496; 0.068; 5.815; 5.816
21.6; 2.520; 0.091; 6.398; 6.399
21.8; 2.545; 0.117; 6.909; 6.910
22.0; 2.569; 0.145; 7.338; 7.339
22.2; 2.594; 0.176; 7.681; 7.683
22.4; 2.618; 0.207; 7.942; 7.945
22.6; 2.642; 0.236; 8.126; 8.129
22.8; 2.667; 0.262; 8.238; 8.242
23.0; 2.691; 0.283; 8.279; 8.284
23.2; 2.715; 0.296; 8.245; 8.250
23.4; 2.739; 0.299; 8.121; 8.126
23.6; 2.763; 0.289; 7.879; 7.884
23.8; 2.787; 0.260; 7.470; 7.475
24.0; 2.812; -4.500; 6.925; 8.259
24.2; 2.836; -4.493; 6.882; 8.218
24.4; 2.861; -4.459; 6.889; 8.206
24.6; 2.886; -4.455; 6.880; 8.196
24.8; 2.912; -4.479; 6.851; 8.186
25.0; 2.938; -4.518; 6.814; 8.176
25.2; 2.964; -4.556; 6.781; 8.169
25.4; 2.991; -4.576; 6.765; 8.167
25.6; 3.019; -4.568; 6.777; 8.172
25.8; 3.047; -4.522; 6.823; 8.186
26.0; 3.076; -4.435; 6.907; 8.208
26.2; 3.106; -4.309; 7.024; 8.241
26.4; 3.136; -4.149; 7.168; 8.282
26.6; 3.168; -3.964; 7.329; 8.332
26.8; 3.200; -3.763; 7.497; 8.388
27.0; 3.233; -3.553; 7.663; 8.447
27.2; 3.267; -3.342; 7.821; 8.505
27.4; 3.301; -3.134; 7.966; 8.560
27.6; 3.336; -2.934; 8.094; 8.609
27.8; 3.373; -2.744; 8.203; 8.650
28.0; 3.409; -2.571; 8.289; 8.679
28.2; 3.447; -2.426; 8.350; 8.695
28.4; 3.485; -2.413; 8.372; 8.713
28.6; 3.524; -2.535; 8.367; 8.742
28.8; 3.563; -1.584; 8.529; 8.675
29.0; 3.602; -0.765; 8.712; 8.745
29.2; 3.642; -0.206; 8.852; 8.855
29.4; 3.679; -0.127; 8.880; 8.881
29.6; 3.715; -0.188; 8.871; 8.873
29.8; 3.746; -0.244; 8.862; 8.865
30.0; 3.773; -0.282; 8.857; 8.861
30.2; 3.794; -0.281; 8.862; 8.867
30.4; 3.812; -0.259; 8.871; 8.875
30.6; 3.828; -0.230; 8.875; 8.878
30.8; 3.846; -0.192; 8.872; 8.874
31.0; 3.868; -0.140; 8.863; 8.864
31.2; 3.893; -0.074; 8.849; 8.849
31.4; 3.921; 0.007; 8.827; 8.827
31.6; 3.952; 0.101; 8.794; 8.794
31.8; 3.985; 0.204; 8.749; 8.752
32.0; 4.019; 0.307; 8.695; 8.700
32.2; 4.054; 0.405; 8.636; 8.646
32.4; 4.089; 0.489; 8.580; 8.594
32.6; 4.126; 0.555; 8.533; 8.551
32.8; 4.163; 0.602; 8.498; 8.519
33.0; 4.200; 0.630; 8.477; 8.501
33.2; 4.238; 0.666; 8.444; 8.470
33.4; 4.277; 0.738; 8.374; 8.407
33.6; 4.315; 0.864; 8.253; 8.298
33.8; 4.354; 1.055; 8.063; 8.132
34.0; 4.392; 1.311; 7.795; 7.905
