# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; 0.00048; 21.8; -20.8; 0.2
0.2; 0.024; 0.00033; 21.1; -20.1; 0.1
0.4; 0.048; 0.00020; 21.1; -20.1; 0.1
0.6; 0.072; 0.00009; 21.1; -20.1; 0.1
0.8; 0.095; -0.00001; 21.1; -20.1; 0.0
1.0; 0.119; -0.00009; 21.1; -20.1; 0.0
1.2; 0.143; -0.00016; 21.1; -20.1; -0.0
1.4; 0.167; -0.00022; 21.1; -20.1; -0.0
1.6; 0.191; -0.00027; 21.1; -20.1; -0.0
1.8; 0.214; -0.00031; 21.1; -20.1; -0.0
2.0; 0.238; -0.00034; 21.1; -20.1; -0.1
2.2; 0.262; -0.00037; 21.1; -20.1; -0.1
2.4; 0.285; -0.00040; 21.1; -20.1; -0.1
2.6; 0.309; -0.00042; 21.1; -20.1; -0.1
2.8; 0.333; -0.00044; 21.1; -20.1; -0.1
3.0; 0.356; -0.00046; 21.1; -20.1; -0.1
3.2; 0.380; -0.00047; 21.1; -20.1; -0.1
3.4; 0.404; -0.00048; 21.1; -20.1; -0.1
3.6; 0.427; -0.00048; 21.1; -20.1; -0.1
3.8; 0.451; -0.00048; 21.1; -20.1; -0.1
4.0; 0.474; -0.00048; 21.1; -20.1; -0.1
4.2; 0.498; -0.00046; 21.1; -20.1; -0.1
4.4; 0.521; -0.00044; 21.1; -20.1; -0.1
4.6; 0.545; -0.00040; 21.1; -20.1; -0.1
4.8; 0.568; -0.00035; 21.1; -20.1; -0.1
5.0; 0.592; -0.00028; 21.1; -20.1; -0.1
5.2; 0.615; -0.00020; 21.1; -20.1; -0.1
5.4; 0.638; -0.00009; 21.1; -20.1; -0.0
5.6; 0.662; 0.00004; 21.1; -20.1; -0.0
5.8; 0.685; 0.00020; 21.1; -20.1; 0.0
6.0; 0.708; 0.00039; 21.1; -20.1; 0.0
6.2; 0.732; 0.00062; 21.1; -20.2; 0.1
6.4; 0.755; 0.00088; 21.2; -20.2; 0.1
6.6; 0.778; 0.00117; 21.2; -20.2; 0.2
6.8; 0.801; 0.00151; 21.2; -20.2; 0.2
7.0; 0.825; 0.00188; 21.3; -20.3; 0.3
7.2; 0.848; 0.00230; 21.3; -20.3; 0.4
7.4; 0.871; 0.00275; 21.2; -20.3; 0.5
7.6; 0.894; 0.00323; 21.2; -20.2; 0.6
7.8; 0.917; 0.00375; 21.1; -20.1; 0.7
8.0; 0.940; 0.00429; 21.0; -20.0; 0.8
8.2; 0.963; 0.00485; 20.9; -19.9; 0.9
8.4; 0.986; 0.00542; 20.6; -19.6; 1.0
8.6; 1.009; 0.00600; 20.4; -19.4; 1.1
8.8; 1.032; 0.00657; 20.1; -19.1; 1.3
9.0; 1.055; 0.00713; 19.8; -18.8; 1.4
9.2; 1.078; 0.00767; 19.5; -18.5; 1.5
9.4; 1.101; 0.00820; 19.3; -18.2; 1.6
9.6; 1.124; 0.00870; 19.1; -18.0; 1.8
9.8; 1.147; 0.00917; 18.9; -17.9; 1.9
10.0; 1.170; 0.00963; 18.8; -17.7; 2.0
10.2; 1.192; 0.01006; 18.6; -17.6; 2.1
10.4; 1.215; 0.01049; 18.5; -17.4; 2.2
10.6; 1.238; 0.01089; 18.3; -17.2; 2.3
10.8; 1.261; 0.01128; 17.9; -16.8; 2.4
11.0; 1.283; 0.01165; 17.3; -16.2; 2.5
11.2; 1.306; 0.01199; 16.4; -15.3; 2.6
11.4; 1.329; 0.01229; 15.2; -14.0; 2.6
11.6; 1.352; 0.01251; 13.6; -12.5; 2.7
11.8; 1.374; 0.01265; 11.9; -10.7; 2.8
12.0; 1.397; 0.01267; 10.3; -9.2; 2.8
12.2; 1.419; 0.01256; 9.3; -8.2; 2.9
12.4; 1.442; 0.01228; 9.1; -8.0; 2.8
12.6; 1.465; 0.01185; 9.7; -8.6; 2.8
12.8; 1.487; 0.01125; 11.7; -10.6; 2.7
13.0; 1.510; 0.01052; 14.3; -13.2; 2.6
13.2; 1.532; 0.00968; 16.3; -15.2; 2.5
13.4; 1.555; 0.00879; 17.7; -16.6; 2.3
13.6; 1.577; 0.00785; 18.7; -17.7; 2.1
13.8; 1.600; 0.00690; 19.5; -18.4; 1.9
14.0; 1.623; 0.00596; 20.0; -19.0; 1.7
14.2; 1.645; 0.00503; 20.4; -19.4; 1.5
14.4; 1.668; 0.00414; 20.7; -19.7; 1.3
14.6; 1.691; 0.00328; 20.9; -19.9; 1.1
14.8; 1.713; 0.00247; 21.1; -20.1; 0.9
15.0; 1.736; 0.00171; 21.1; -20.1; 0.7
15.2; 1.759; 0.00100; 21.1; -20.1; 0.5
15.4; 1.782; 0.00035; 21.1; -20.1; 0.3
15.6; 1.804; -0.00025; 21.0; -20.0; 0.2
15.8; 1.827; -0.00078; 20.9; -20.0; 0.0
16.0; 1.850; -0.00126; 20.9; -19.9; -0.1
