# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
0.0; 0.000; 8.50; -0.00072; 0.02359; 0.74660; -0.00236
0.2; 0.024; 8.50; -0.00059; 0.01807; 0.74644; 0.00206
0.4; 0.048; 8.50; -0.00047; 0.01319; 0.74718; 0.00623
0.6; 0.072; 8.50; -0.00037; 0.00889; 0.74875; 0.01008
0.8; 0.095; 8.50; -0.00027; 0.00514; 0.75109; 0.01360
1.0; 0.119; 8.50; -0.00019; 0.00189; 0.75413; 0.01682
1.2; 0.143; 8.50; -0.00012; -0.00090; 0.75780; 0.01974
1.4; 0.167; 8.50; -0.00006; -0.00328; 0.76204; 0.02239
1.6; 0.191; 8.50; -0.00000; -0.00531; 0.76680; 0.02476
1.8; 0.214; 8.50; 0.00005; -0.00703; 0.77202; 0.02687
2.0; 0.238; 8.50; 0.00009; -0.00849; 0.77764; 0.02874
2.2; 0.262; 8.50; 0.00012; -0.00972; 0.78362; 0.03035
2.4; 0.285; 8.50; 0.00015; -0.01077; 0.78990; 0.03173
2.6; 0.309; 8.50; 0.00017; -0.01167; 0.79643; 0.03287
2.8; 0.333; 8.50; 0.00020; -0.01244; 0.80317; 0.03378
3.0; 0.356; 8.50; 0.00021; -0.01310; 0.81007; 0.03446
3.2; 0.380; 8.50; 0.00023; -0.01365; 0.81708; 0.03493
3.4; 0.404; 8.50; 0.00024; -0.01410; 0.82416; 0.03517
3.6; 0.427; 8.50; 0.00025; -0.01445; 0.83127; 0.03519
3.8; 0.451; 8.50; 0.00026; -0.01467; 0.83835; 0.03500
4.0; 0.474; 8.50; 0.00027; -0.01474; 0.84537; 0.03461
4.2; 0.498; 8.50; 0.00027; -0.01464; 0.85228; 0.03400
4.4; 0.521; 8.50; 0.00027; -0.01431; 0.85905; 0.03320
4.6; 0.545; 8.50; 0.00027; -0.01371; 0.86563; 0.03220
4.8; 0.568; 8.50; 0.00027; -0.01278; 0.87199; 0.03102
5.0; 0.592; 8.50; 0.00025; -0.01145; 0.87808; 0.02965
5.2; 0.615; 8.50; 0.00024; -0.00966; 0.88388; 0.02812
5.4; 0.638; 8.50; 0.00021; -0.00733; 0.88935; 0.02643
5.6; 0.662; 8.50; 0.00018; -0.00436; 0.89445; 0.02459
5.8; 0.685; 8.50; 0.00013; -0.00069; 0.89917; 0.02263
6.0; 0.708; 8.50; 0.00008; 0.00378; 0.90347; 0.02055
6.2; 0.732; 8.50; 0.00001; 0.00914; 0.90733; 0.01838
6.4; 0.755; 8.50; -0.00007; 0.01546; 0.91074; 0.01614
6.6; 0.778; 8.50; -0.00017; 0.02281; 0.91368; 0.01385
6.8; 0.801; 8.50; -0.00029; 0.03126; 0.91614; 0.01153
7.0; 0.825; 8.50; -0.00043; 0.04086; 0.91811; 0.00921
7.2; 0.848; 8.50; -0.00058; 0.05162; 0.91960; 0.00691
7.4; 0.871; 8.50; -0.00076; 0.06357; 0.92061; 0.00466
7.6; 0.894; 8.50; -0.00096; 0.07666; 0.92115; 0.00249
