#x_m,y_m,w_tr
-16.404752,28.765035,2.111709
-16.463389,28.814463,2.134195
-16.522026,28.863891,2.156682
-16.582569,28.908717,2.156682
-16.643903,28.951634,2.134195
-16.702539,29.001062,2.111709
-16.761176,29.050490,2.111709
-16.819813,29.099918,2.134195
-16.878952,29.148132,2.086705
-16.940286,29.191049,2.156682
-16.999713,29.238568,2.134195
-17.058350,29.287996,2.111709
-17.116987,29.337424,2.111709
-17.175623,29.386853,2.134195
-17.234260,29.436281,2.156682
-17.294299,29.482324,2.156682
-17.352936,29.531752,2.134195
-17.411572,29.581180,2.111709
-17.470209,29.630608,2.111709
-17.528846,29.680036,2.134195
-17.587482,29.729464,2.109191
-17.646119,29.778892,2.156682
-17.705548,29.826408,2.156682
-17.764185,29.875836,2.134195
-17.822821,29.925264,2.111709
-17.881458,29.974692,2.111709
-17.940095,30.024120,2.134195
-17.998731,30.073548,2.156682
-18.058767,30.119598,2.156682
-18.117404,30.169027,2.109191
-18.176041,30.218455,2.111709
-18.234677,30.267883,2.111709
-18.293314,30.317311,2.109191
-18.351951,30.366739,2.086705
-18.413285,30.409656,2.156682
-18.473219,30.455950,2.134195
-18.531856,30.505378,2.111709
-18.590492,30.554807,2.111709
-18.649129,30.604235,2.111709
-18.707766,30.653663,2.134195
-18.767800,30.699717,2.156682
-18.826437,30.749145,2.086705
-18.885074,30.798573,2.109191
-18.943710,30.848001,2.111709
-19.002347,30.897429,2.111709
-19.060984,30.946857,2.109191
-19.119620,30.996285,2.156682
-19.179556,31.042576,2.156682
-19.238193,31.092004,2.134195
-19.296830,31.141432,2.111709
-19.355466,31.190861,2.111709
-19.414103,31.240289,2.134195
-19.472740,31.289717,2.156682
-19.532269,31.336991,2.156682
-19.590905,31.386420,2.109191
-19.649542,31.435848,2.134195
-19.708179,31.485276,2.111709
-19.766815,31.534704,2.111709
-19.825452,31.584132,2.134195
-19.884089,31.633560,2.156682
-19.944128,31.679603,2.156682
-20.002764,31.729031,2.134195
-20.061401,31.778459,2.111709
-20.120038,31.827887,2.111709
-20.178674,31.877315,2.134195
-20.237311,31.926743,2.156682
-20.296334,31.975239,2.156682
-20.355374,32.023694,2.156682
-20.414010,32.073122,2.134195
-20.472647,32.122551,2.111709
-20.531284,32.171979,2.111709
-20.589920,32.221407,2.111709
-20.648557,32.270835,2.134195
-20.706807,32.321196,2.156682
-20.762747,32.377135,2.134195
-20.819467,32.431191,2.111709
-20.878103,32.480619,2.111709
-20.936740,32.530048,2.111709
-20.995377,32.579476,2.109191
-21.054013,32.628904,2.086705
-21.112650,32.678332,2.156682
-21.173973,32.721274,2.134195
-21.234527,32.766074,2.111709
-21.293164,32.815502,2.111709
-21.351800,32.864930,2.111709
-21.410437,32.914359,2.134195
-21.469074,32.963787,2.156682
-21.528489,33.011335,2.156682
-21.587136,33.060738,2.109191
-21.645773,33.110166,2.134195
-21.704410,33.159594,2.111709
-21.763046,33.209022,2.111709
-21.821683,33.258450,2.134195
-21.880320,33.307878,2.156682
-21.940359,33.353921,2.156682
-21.998995,33.403349,2.134195
-22.057632,33.452777,2.111709
-22.116269,33.502205,2.111709
-22.174905,33.551633,2.134195
-22.233542,33.601061,2.156682
-22.292452,33.649831,2.156682
-22.351605,33.698012,2.156682
-22.410241,33.747441,2.134195
-22.468878,33.796869,2.111709
-22.527515,33.846297,2.109191
-22.586151,33.895725,2.134195
-22.646967,33.939892,2.156682
-22.708028,33.983467,2.134195
-22.766665,34.032895,2.109191
-22.825302,34.082323,2.111709
-22.883938,34.131751,2.134195
-22.942575,34.181180,2.156682
-23.001483,34.229952,2.156682
-23.060637,34.278130,2.156682
-23.119274,34.327559,2.134195
-23.177911,34.376987,2.111709
-23.236548,34.426415,2.109191
-23.295184,34.475843,2.156682
-23.355999,34.520013,2.156682
-23.417061,34.563585,2.134195
-23.475698,34.613013,2.111709
-23.534334,34.662441,2.134195
-23.594249,34.708784,2.156682
-23.655583,34.751700,2.134195
-23.716917,34.794617,2.109191
-23.776073,34.842791,2.109191
-23.835088,34.891305,2.086705
-23.896422,34.934222,2.156682
-23.957756,34.977138,2.134195
-24.017812,35.023141,2.109191
-24.076448,35.072569,2.086705
-24.137782,35.115486,2.156682
-24.199116,35.158403,2.134195
-24.260071,35.202234,2.109191
-24.318708,35.251662,2.134195
-24.379234,35.296527,2.156682
-24.440568,35.339444,2.134195
-24.501902,35.382361,2.109191
-24.562033,35.428181,2.134195
-24.623367,35.471098,2.155243
-24.684700,35.514014,2.086705
-24.747133,35.554278,2.109191
-24.809274,35.595245,2.155243
-24.870608,35.638162,2.155243
-24.932646,35.679380,2.134195
-24.995182,35.719393,2.109191
-25.056516,35.762310,2.155243
-25.118158,35.804482,2.155243
-25.181090,35.843540,2.109191
-25.242424,35.886457,2.155243
-25.303758,35.929374,2.155243
-25.367085,35.967478,2.109191
-25.428419,36.010394,2.155243
-25.489753,36.053311,2.155243
-25.553475,36.090461,2.109191
-25.614809,36.133377,2.155243
-25.676143,36.176294,2.109191
-25.739909,36.213338,2.109191
-25.801243,36.256255,2.155243
-25.865118,36.293037,2.086705
-25.929149,36.329442,2.109191
-25.990483,36.372359,2.155243
-26.053962,36.410095,2.109191
-26.117993,36.446500,2.155243
-26.179592,36.488778,2.109191
-26.242676,36.527468,2.109191
-26.306529,36.564303,2.155243
-26.370560,36.600708,2.109191
-26.434591,36.637113,2.155243
-26.498444,36.673947,2.086705
-26.562475,36.710353,2.109191
-26.628583,36.741744,2.039215
-26.693561,36.775863,2.109191
-26.755228,36.817975,2.155243
-26.818244,36.856832,2.109191
-26.882275,36.893237,2.155243
-26.946128,36.930071,2.109191
-27.010159,36.966476,2.155243
-27.074012,37.003311,2.109191
-27.138043,37.039716,2.109191
-27.204082,37.071273,2.109191
-27.269128,37.105227,2.109191
-27.335276,37.136521,2.109191
-27.400214,37.170738,2.109191
-27.466470,37.201770,2.109191
-27.531299,37.236248,2.109191
-27.597665,37.267018,2.109191
-27.662385,37.301759,2.132397
-27.728859,37.332266,2.109191
-27.796167,37.360759,2.155243
-27.862895,37.390652,2.109191
-27.927398,37.425919,2.155243
-27.994090,37.455901,2.109191
-28.061180,37.484919,2.155243
-28.127981,37.514637,2.132397
-28.194963,37.543918,2.155243
-28.259175,37.579885,2.155243
-28.326698,37.607861,2.132397
-28.396123,37.631244,2.155243
-28.463791,37.658869,2.109191
-28.530519,37.688763,2.155243
-28.598186,37.716389,2.109191
-28.666539,37.742359,2.155243
-28.735783,37.766180,2.155243
-28.803451,37.793805,2.132397
-28.872526,37.818033,2.132397
-28.941048,37.843596,2.132397
-29.010231,37.867561,2.155243
-29.078644,37.893387,2.109191
-29.146312,37.921013,2.155243
-29.215737,37.944395,2.132397
-29.283428,37.971964,2.132397
-29.351096,37.999589,2.155243
-29.420521,38.022972,2.132397
-29.488189,38.050597,2.132397
-29.558925,38.070814,2.155243
-29.628483,38.093877,2.132397
-29.696631,38.120343,2.132397
-29.768089,38.138817,2.155243
-29.836925,38.163622,2.132397
-29.905795,38.188345,2.155243
-29.977219,38.206901,2.132397
-30.045333,38.233449,2.132397
-30.114925,38.256429,2.155243
-30.185627,38.276728,2.132397
-30.253295,38.304354,2.132397
-30.323608,38.325592,2.155243
-30.393589,38.347633,2.155243
-30.461314,38.375120,2.132397
-30.532349,38.394615,2.155243
-30.603831,38.413033,2.155243
-30.673256,38.436415,2.132397
-30.744738,38.454832,2.201654
-30.815972,38.473847,2.155243
-30.885397,38.497230,2.132397
-30.956879,38.515647,2.155243
-31.028361,38.534064,2.155243
-31.098260,38.556302,2.132397
-31.168764,38.577081,2.155243
-31.240246,38.595498,2.201654
-31.311975,38.613317,2.155243
-31.384097,38.630188,2.155243
-31.455579,38.648605,2.201654
-31.527061,38.667022,2.155243
-31.600126,38.681618,2.132397
-31.673867,38.694581,2.155243
-31.745348,38.712998,2.201654
-31.816830,38.731416,2.155243
-31.891230,38.742789,2.132397
-31.963636,38.758975,2.155243
-32.035118,38.777392,2.155243
-32.106599,38.795809,2.132397
-32.179636,38.810472,2.155243
-32.253405,38.823369,2.179887
-32.324887,38.841786,2.179887
-32.396369,38.860203,2.155243
-32.470740,38.871643,2.132397
-32.543174,38.887762,2.155243
-32.614656,38.906179,2.179887
-32.686138,38.924597,2.155243
-32.759147,38.939326,2.155243
-32.832943,38.952156,2.179887
-32.904425,38.970573,2.202733
-32.975907,38.988990,2.179887
-33.050251,39.000497,2.155243
-33.122713,39.016550,2.155243
-33.194194,39.034967,2.202733
-33.265676,39.053384,2.179887
-33.338658,39.068179,2.132397
-33.412482,39.080943,2.155243
-33.483964,39.099361,2.179887
-33.555445,39.117778,2.202733
-33.629762,39.129350,2.179887
-33.704948,39.138826,2.155243
-33.776824,39.156292,2.179887
-33.848305,39.174709,2.202733
-33.921260,39.189571,2.179887
-33.996556,39.198780,2.111350
-34.071852,39.207988,2.134196
-34.147148,39.217197,2.157042
-34.219271,39.234068,2.179887
-34.294173,39.244227,2.202733
-34.369469,39.253435,2.179887
-34.444766,39.262644,2.134196
-34.520062,39.271853,2.157042
-34.595358,39.281061,2.179887
-34.670203,39.291358,2.202733
-34.745023,39.301717,2.179887
-34.820319,39.310926,2.157042
-34.895615,39.320135,2.134196
-34.970911,39.329343,2.157042
-35.046207,39.338552,2.179887
-35.121503,39.347760,2.202733
-35.196323,39.358120,2.179887
-35.271566,39.367457,2.157042
-35.346862,39.376666,2.134196
-35.422158,39.385874,2.111350
-35.497454,39.395083,2.179887
-35.572750,39.404291,2.202733
-35.647255,39.415410,2.202733
-35.719665,39.431588,2.179887
-35.794961,39.440797,2.157042
-35.870257,39.450005,2.134196
-35.945553,39.459214,2.134196
-36.020849,39.468422,2.157042
-36.095491,39.479212,2.202733
-36.167764,39.495719,2.204532
-36.243060,39.504928,2.204532
-36.318356,39.514136,2.202733
-36.393652,39.523345,2.088504
-36.468948,39.532553,2.088504
-36.544244,39.541762,2.134196
-36.620196,39.549389,2.157042
-36.699306,39.549389,2.179887
-36.778416,39.549389,2.202733
-36.857527,39.549389,2.204532
-36.936637,39.549389,2.204532
-37.015748,39.549389,2.204532
-37.094858,39.549389,2.202733
-37.173940,39.549458,2.179887
-37.249712,39.557518,2.134196
-37.325009,39.566727,2.111350
-37.400305,39.575935,2.088504
-37.475601,39.585144,2.202733
-37.550897,39.594352,2.204532
-37.626193,39.603561,2.204532
-37.701518,39.612701,2.204532
-37.780152,39.613849,2.204532
-37.859263,39.613849,2.204532
-37.938373,39.613849,2.204532
-38.017484,39.613849,2.204532
-38.095721,39.615957,2.204532
-38.171018,39.625166,2.204532
-38.246314,39.634374,2.202733
-38.321610,39.643583,2.179887
-38.396906,39.652791,2.088504
-38.472202,39.662000,2.111350
-38.547498,39.671208,2.157042
