#s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,-16.8976187,28.1163725,2.4566399,0.0025142,8.4999358,0.0013565
0.1999700,-17.0525167,28.2428410,2.4571493,0.0025824,8.4999677,0.0000176
0.3999400,-17.2074779,28.3692331,2.4576104,0.0020204,8.4999681,-0.0000010
0.5999100,-17.3624896,28.4955625,2.4579533,0.0014087,8.4999681,-0.0000010
0.7998801,-17.5175374,28.6218480,2.4581810,0.0008721,8.4999681,-0.0000010
0.9998501,-17.6726075,28.7481062,2.4583084,0.0004063,8.4999680,-0.0000010
1.1998201,-17.8276882,28.8743516,2.4583492,0.0000062,8.4999680,-0.0000010
1.3997901,-17.9827693,29.0005967,2.4583159,-0.0003345,8.4999680,-0.0000010
1.5997601,-18.1378424,29.1268521,2.4582198,-0.0006219,8.4999680,-0.0000010
1.7997301,-18.2929000,29.2531268,2.4580709,-0.0008621,8.4999679,-0.0000010
1.9997002,-18.4479361,29.3794281,2.4578781,-0.0010610,8.4999679,-0.0000010
2.1996702,-18.6029456,29.5057624,2.4576492,-0.0012241,8.4999679,-0.0000010
2.3996402,-18.7579245,29.6321346,2.4573908,-0.0013564,8.4999679,-0.0000010
2.5996102,-18.9128692,29.7585489,2.4571086,-0.0014623,8.4999679,-0.0000010
2.7995802,-19.0677772,29.8850086,2.4568074,-0.0015457,8.4999678,-0.0000011
2.9995502,-19.2226463,30.0115162,2.4564916,-0.0016096,8.4999678,-0.0000011
3.1995203,-19.3774748,30.1380737,2.4561648,-0.0016563,8.4999678,-0.0000011
3.3994903,-19.5322614,30.2646825,2.4558302,-0.0016873,8.4999678,-0.0000011
3.5994603,-19.6870055,30.3913435,2.4554909,-0.0017032,8.4999677,-0.0000012
3.7994303,-19.8417065,30.5180573,2.4551499,-0.0017035,8.4999677,-0.0000012
3.9994003,-19.9963644,30.6448238,2.4548105,-0.0016872,8.4999677,-0.0000012
4.1993703,-20.1509796,30.7716425,2.4544762,-0.0016521,8.4999676,-0.0000013
4.3993404,-20.3055529,30.8985122,2.4541510,-0.0015949,8.4999676,-0.0000013
4.5993104,-20.4600858,31.0254311,2.4538398,-0.0015117,8.4999676,-0.0000013
4.7992804,-20.6145804,31.1523967,2.4535481,-0.0013975,8.4999675,-0.0000014
4.9992504,-20.7690394,31.2794054,2.4532829,-0.0012463,8.4999675,-0.0000014
5.1992204,-20.9234668,31.4064524,2.4530521,-0.0010513,8.4999675,-0.0000014
5.3991904,-21.0778675,31.5335318,2.4528652,-0.0008050,8.4999674,-0.0000015
5.5991605,-21.2322478,31.6606359,2.4527333,-0.0004991,8.4999674,-0.0000015
5.7991305,-21.3866154,31.7877552,2.4526692,-0.0001247,8.4999674,-0.0000015
5.9991005,-21.5409798,31.9148782,2.4526876,0.0003276,8.4999673,-0.0000015
6.1990705,-21.6953525,32.0419908,2.4528049,0.0008672,8.4999673,-0.0000015
6.3990405,-21.8497473,32.1690765,2.4530395,0.0015039,8.4999673,-0.0000015
6.5990105,-22.0041804,32.2961155,2.4534119,0.0022467,8.4999672,-0.0000015
6.7989806,-22.1586706,32.4230848,2.4539442,0.0031043,8.4999672,-0.0000015
6.9989506,-22.3132396,32.5499579,2.4546599,0.0040841,8.4999672,-0.0000015
7.1989206,-22.4679122,32.6767045,2.4555844,0.0051920,8.4999671,-0.0000014
7.3988906,-22.6227163,32.8032901,2.4567435,0.0064317,8.4999671,-0.0000013
7.5988606,-22.7776832,32.9296761,2.4581638,0.0078042,8.4999671,-0.0000013
7.7988306,-22.9328472,33.0558199,2.4598718,0.0093074,8.4999670,-0.0000012
7.9988007,-23.0882456,33.1816743,2.4618931,0.0109353,8.4999670,-0.0000011
8.1987707,-23.2439189,33.3071882,2.4642516,0.0126776,8.4999670,-0.0000012
8.3987407,-23.3999099,33.4323068,2.4669689,0.0145198,8.4999670,-0.0000013
8.5987107,-23.5562634,33.5569715,2.4700632,0.0164433,8.4999669,-0.0000014
8.7986807,-23.7130258,33.6811212,2.4735486,0.0184259,8.4999669,-0.0000013
8.9986507,-23.8702443,33.8046922,2.4774344,0.0204431,8.4999669,-0.0000016
9.1986208,-24.0279663,33.9276191,2.4817252,0.0224712,8.4999668,-0.0000023
9.3985908,-24.1862388,34.0498358,2.4864208,0.0244884,8.4999668,-0.0000023
9.5985608,-24.3451074,34.1712758,2.4915168,0.0264735,8.4999667,-0.0000013
9.7985308,-24.5046161,34.2918728,2.4970049,0.0284084,8.4999667,-0.0000013
9.9985008,-24.6648067,34.4115616,2.5028741,0.0302852,8.4999667,-0.0000018
10.1984708,-24.8257186,34.5302780,2.5091125,0.0321032,8.4999666,-0.0000012
10.3984408,-24.9873885,34.6479588,2.5157084,0.0338622,8.4999666,0.0000008
10.5984109,-25.1498509,34.7645420,2.5226501,0.0355632,8.4999666,0.0000013
10.7983809,-25.3131375,34.8799669,2.5299264,0.0372124,8.4999666,0.0000015
10.9983509,-25.4772834,34.9941774,2.5375277,0.0388120,8.4999667,0.0000016
11.1983209,-25.6423153,35.1071139,2.5454436,0.0403539,8.4999667,0.0000012
11.3982909,-25.8082522,35.2187149,2.5536606,0.0418177,8.4999667,0.0000004
11.5982609,-25.9751156,35.3289243,2.5621596,0.0431641,8.4999667,-0.0000013
11.7982310,-26.1429229,35.4376894,2.5709115,0.0443318,8.4999667,-0.0000040
11.9982010,-26.3116864,35.5449627,2.5798729,0.0452358,8.4999666,-0.0000080
12.1981710,-26.4814118,35.6507053,2.5889808,0.0457746,8.4999664,-0.0000125
12.3981410,-26.6520965,35.7548904,2.5981525,0.0458359,8.4999661,-0.0000125
12.5981110,-26.8237282,35.8575076,2.6072821,0.0453833,8.4999658,-0.0000030
12.7980810,-26.9962721,35.9585570,2.6162812,0.0445419,8.4999658,0.0000042
12.9980511,-27.1696999,36.0580628,2.6250417,0.0427295,8.4999659,0.0000044
13.1980211,-27.3439854,36.1560928,2.6333261,0.0401256,8.4999660,0.0000044
13.3979911,-27.5190570,36.2527246,2.6410783,0.0373161,8.4999661,0.0000040
13.5979611,-27.6948428,36.3480471,2.6482304,0.0341444,8.4999662,0.0000036
