# s_m; t_s; ax_mps2; ay_mps2; atot_mps2
0.0; 0.000; -3.585; -7.709; 8.501
0.2; 0.025; -3.207; -7.963; 8.584
0.4; 0.051; -2.870; -8.166; 8.655
0.6; 0.077; -2.529; -8.348; 8.722
0.8; 0.103; -1.814; -8.548; 8.738
1.0; 0.130; -0.150; -8.782; 8.783
1.2; 0.157; -0.145; -8.828; 8.829
1.4; 0.184; -0.145; -8.839; 8.841
1.6; 0.212; -0.144; -8.842; 8.843
1.8; 0.239; -0.141; -8.841; 8.842
2.0; 0.267; -0.135; -8.840; 8.841
2.2; 0.295; -0.128; -8.840; 8.840
2.4; 0.322; -0.118; -8.839; 8.840
2.6; 0.350; -0.105; -8.840; 8.840
2.8; 0.377; -0.089; -8.840; 8.841
3.0; 0.404; -0.071; -8.841; 8.841
3.2; 0.431; -0.051; -8.841; 8.841
3.4; 0.456; -0.028; -8.841; 8.841
3.6; 0.482; -0.004; -8.841; 8.841
3.8; 0.506; 0.022; -8.840; 8.840
4.0; 0.530; 0.047; -8.840; 8.840
4.2; 0.553; 0.072; -8.841; 8.841
4.4; 0.576; 0.095; -8.842; 8.842
4.6; 0.599; 0.117; -8.839; 8.840
4.8; 0.622; 0.140; -8.832; 8.833
5.0; 0.644; 0.163; -8.823; 8.825
5.2; 0.668; 0.188; -8.814; 8.816
5.4; 0.692; 0.215; -8.804; 8.806
5.6; 0.717; 0.245; -8.792; 8.795
5.8; 0.743; 0.276; -8.779; 8.783
6.0; 0.770; 0.309; -8.765; 8.771
6.2; 0.798; 0.342; -8.750; 8.757
6.4; 0.826; 0.375; -8.735; 8.743
6.6; 0.855; 0.407; -8.718; 8.728
6.8; 0.883; 0.440; -8.697; 8.708
7.0; 0.912; 0.480; -8.666; 8.680
7.2; 0.941; 0.537; -8.614; 8.631
7.4; 0.969; 0.632; -8.521; 8.544
7.6; 0.997; 0.798; -8.351; 8.389
7.8; 1.024; 1.085; -8.043; 8.116
8.0; 1.051; 1.556; -7.500; 7.659
8.2; 1.078; 2.232; -6.633; 6.998
8.4; 1.103; 3.006; -5.503; 6.271
8.6; 1.129; 3.687; -4.362; 5.712
8.8; 1.153; 4.186; -3.414; 5.402
9.0; 1.178; 4.521; -2.706; 5.269
9.2; 1.202; 4.740; -2.205; 5.227
9.4; 1.225; 4.878; -1.865; 5.222
9.6; 1.249; 4.962; -1.644; 5.227
9.8; 1.272; 5.012; -1.498; 5.231
10.0; 1.295; 1.230; -1.459; 1.908
10.2; 1.318; 0.004; -1.458; 1.458
10.4; 1.341; 0.004; -1.431; 1.431
10.6; 1.364; 0.004; -1.362; 1.362
10.8; 1.387; 0.004; -1.263; 1.263
11.0; 1.410; 0.004; -1.145; 1.145
11.2; 1.434; 0.003; -1.020; 1.020
11.4; 1.457; 0.002; -0.892; 0.892
11.6; 1.481; 0.002; -0.767; 0.767
11.8; 1.504; 0.001; -0.648; 0.648
12.0; 1.527; 0.001; -0.537; 0.537
