# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; -0.01437; 3.8; -13.8; -6.8
0.2; 0.025; -0.01167; 4.1; -13.0; -7.0
0.4; 0.051; -0.00946; 4.3; -12.0; -7.1
0.6; 0.077; -0.00777; 4.3; -9.6; -7.3
0.8; 0.103; -0.00655; 0.6; -0.1; -7.5
1.0; 0.130; -0.00570; 0.5; -0.0; -7.5
1.2; 0.157; -0.00518; 0.5; -0.0; -7.6
1.4; 0.184; -0.00492; 0.5; -0.0; -7.6
1.6; 0.212; -0.00491; 0.5; -0.0; -7.6
1.8; 0.239; -0.00511; 0.5; -0.0; -7.6
2.0; 0.267; -0.00550; 0.5; -0.0; -7.6
2.2; 0.295; -0.00607; 0.6; -0.0; -7.6
2.4; 0.322; -0.00678; 0.6; -0.0; -7.6
2.6; 0.350; -0.00762; 0.7; -0.0; -7.6
2.8; 0.377; -0.00856; 0.7; -0.0; -7.6
3.0; 0.404; -0.00959; 0.8; -0.0; -7.6
3.2; 0.431; -0.01067; 0.9; -0.0; -7.6
3.4; 0.456; -0.01182; 1.0; -0.0; -7.6
3.6; 0.482; -0.01301; 1.1; -0.0; -7.6
3.8; 0.506; -0.01424; 1.2; -0.0; -7.6
4.0; 0.530; -0.01551; 1.3; -0.0; -7.6
4.2; 0.553; -0.01677; 1.4; -0.0; -7.6
4.4; 0.576; -0.01789; 1.5; -0.0; -7.6
4.6; 0.599; -0.01883; 1.6; -0.0; -7.5
4.8; 0.622; -0.01969; 1.7; -0.0; -7.5
5.0; 0.644; -0.02053; 1.8; -0.0; -7.5
5.2; 0.668; -0.02139; 1.9; -0.0; -7.5
5.4; 0.692; -0.02229; 2.0; -0.0; -7.5
5.6; 0.717; -0.02324; 2.1; -0.0; -7.5
5.8; 0.743; -0.02423; 2.3; -0.0; -7.5
6.0; 0.770; -0.02522; 2.4; -0.0; -7.5
6.2; 0.798; -0.02619; 2.5; -0.0; -7.5
6.4; 0.826; -0.02706; 2.6; -0.0; -7.5
6.6; 0.855; -0.02776; 2.8; -0.0; -7.4
6.8; 0.883; -0.02821; 2.9; -0.0; -7.4
7.0; 0.912; -0.02831; 3.1; -0.0; -7.4
7.2; 0.941; -0.02798; 3.4; -0.0; -7.3
7.4; 0.969; -0.02717; 4.0; -0.0; -7.1
7.6; 0.997; -0.02583; 5.0; -0.0; -6.9
7.8; 1.024; -0.02400; 6.5; -0.0; -6.4
8.0; 1.051; -0.02173; 8.8; -0.0; -5.7
8.2; 1.078; -0.01916; 11.5; -0.0; -4.7
8.4; 1.103; -0.01645; 13.8; -0.0; -3.7
8.6; 1.129; -0.01382; 15.5; -0.0; -2.9
8.8; 1.153; -0.01152; 16.7; -0.0; -2.3
9.0; 1.178; -0.00971; 17.4; -0.0; -1.9
9.2; 1.202; -0.00845; 17.9; -0.0; -1.6
9.4; 1.225; -0.00763; 18.2; -0.0; -1.4
9.6; 1.249; -0.00705; 18.4; -0.0; -1.3
9.8; 1.272; -0.00653; 19.6; -14.3; -1.2
10.0; 1.295; -0.00598; 19.9; -18.9; -1.2
10.2; 1.318; -0.00541; 20.3; -19.3; -1.2
10.4; 1.341; -0.00482; 20.5; -19.5; -1.2
10.6; 1.364; -0.00425; 20.7; -19.7; -1.1
10.8; 1.387; -0.00369; 20.9; -19.9; -1.0
11.0; 1.410; -0.00316; 21.0; -20.0; -0.9
11.2; 1.434; -0.00267; 21.1; -20.1; -0.8
11.4; 1.457; -0.00221; 21.1; -20.1; -0.7
11.6; 1.481; -0.00179; 21.1; -20.2; -0.6
11.8; 1.504; -0.00141; 21.2; -20.2; -0.5
12.0; 1.527; -0.00107; 21.1; -20.2; -0.4
12.2; 1.551; -0.00078; 21.1; -20.1; -0.3
12.4; 1.574; -0.00052; 21.1; -20.1; -0.2
12.6; 1.598; -0.00031; 21.1; -20.1; -0.2
12.8; 1.621; -0.00012; 21.1; -20.1; -0.1
13.0; 1.645; 0.00003; 21.1; -20.1; -0.1
13.2; 1.668; 0.00015; 21.1; -20.1; -0.0
13.4; 1.692; 0.00024; 21.1; -20.1; 0.0
13.6; 1.715; 0.00031; 21.1; -20.1; 0.0
13.8; 1.739; 0.00036; 21.1; -20.1; 0.0
14.0; 1.763; 0.00039; 21.1; -20.1; 0.1
14.2; 1.786; 0.00041; 21.1; -20.1; 0.1
14.4; 1.810; 0.00041; 21.1; -20.1; 0.1
14.6; 1.833; 0.00041; 21.1; -20.1; 0.1
14.8; 1.857; 0.00039; 21.1; -20.1; 0.1
15.0; 1.881; 0.00037; 21.1; -20.1; 0.1
15.2; 1.904; 0.00035; 21.1; -20.1; 0.1
15.4; 1.928; 0.00032; 21.1; -20.1; 0.1
15.6; 1.951; 0.00029; 21.1; -20.1; 0.1
15.8; 1.975; 0.00026; 21.1; -20.1; 0.1
16.0; 1.999; 0.00023; 21.1; -20.1; 0.1
16.2; 2.022; 0.00020; 21.1; -20.1; 0.1
16.4; 2.046; 0.00017; 21.1; -20.1; 0.0
16.6; 2.070; 0.00015; 21.1; -20.1; 0.0
16.8; 2.093; 0.00012; 21.1; -20.1; 0.0
17.0; 2.117; 0.00010; 21.1; -20.1; 0.0
17.2; 2.141; 0.00008; 21.1; -20.1; 0.0
17.4; 2.164; 0.00006; 21.1; -20.1; 0.0
17.6; 2.188; 0.00004; 21.1; -20.1; 0.0
17.8; 2.211; 0.00003; 21.1; -20.1; 0.0
18.0; 2.235; 0.00001; 21.1; -20.1; 0.0
18.2; 2.259; 0.00000; 21.1; -20.1; 0.0
18.4; 2.282; -0.00000; 21.1; -20.1; 0.0
18.6; 2.306; -0.00001; 21.1; -20.1; 0.0
18.8; 2.330; -0.00001; 21.1; -20.1; -0.0
19.0; 2.353; -0.00002; 21.1; -20.1; -0.0
19.2; 2.377; -0.00002; 21.1; -20.1; -0.0
19.4; 2.401; -0.00002; 21.1; -20.1; -0.0
19.6; 2.424; -0.00002; 21.1; -20.1; -0.0
19.8; 2.448; -0.00001; 21.1; -20.1; -0.0
20.0; 2.471; -0.00001; 21.1; -20.1; -0.0
