# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
0.0; 0.000; 8.11; 0.03708; -1.15518; 0.62396; -0.14427
0.2; 0.025; 8.02; 0.04238; -1.17447; 0.60008; -0.17213
0.4; 0.051; 7.94; 0.04729; -1.19676; 0.57148; -0.19942
0.6; 0.077; 7.86; 0.05207; -1.22883; 0.53814; -0.22601
0.8; 0.103; 7.80; 0.05656; -1.25010; 0.50013; -0.25179
1.0; 0.130; 7.78; 0.05920; -1.18639; 0.45750; -0.27527
1.2; 0.157; 7.76; 0.06038; -1.16190; 0.41042; -0.29572
1.4; 0.184; 7.74; 0.06093; -1.15033; 0.35929; -0.31359
1.6; 0.212; 7.73; 0.06114; -1.14359; 0.30457; -0.32886
1.8; 0.239; 7.71; 0.06110; -1.13901; 0.24683; -0.34138
2.0; 0.267; 7.69; 0.06088; -1.13567; 0.18675; -0.35086
2.2; 0.295; 7.67; 0.06048; -1.13319; 0.12511; -0.35698
2.4; 0.322; 7.65; 0.05995; -1.13138; 0.06279; -0.35936
2.6; 0.350; 7.63; 0.05928; -1.13008; 0.00078; -0.35758
2.8; 0.377; 7.62; 0.05852; -1.12915; -0.05985; -0.35119
3.0; 0.404; 7.60; 0.05766; -1.12844; -0.11795; -0.33971
3.2; 0.431; 7.59; 0.05672; -1.12786; -0.17235; -0.32272
3.4; 0.456; 7.57; 0.05573; -1.12736; -0.22192; -0.29982
3.6; 0.482; 7.56; 0.05468; -1.12703; -0.26559; -0.27075
3.8; 0.506; 7.55; 0.05361; -1.12710; -0.30240; -0.23542
4.0; 0.530; 7.54; 0.05253; -1.12798; -0.33157; -0.19398
4.2; 0.553; 7.53; 0.05146; -1.13014; -0.35247; -0.14690
4.4; 0.576; 7.52; 0.05045; -1.13369; -0.36461; -0.09499
4.6; 0.599; 7.52; 0.04950; -1.13728; -0.36760; -0.03941
4.8; 0.622; 7.51; 0.04862; -1.13947; -0.36108; 0.01842
5.0; 0.644; 7.50; 0.04776; -1.14029; -0.34471; 0.07682
5.2; 0.668; 7.50; 0.04690; -1.14014; -0.31816; 0.13393
5.4; 0.692; 7.49; 0.04601; -1.13941; -0.28113; 0.18709
5.6; 0.717; 7.49; 0.04507; -1.13841; -0.23373; 0.23241
