#x_m,y_m,w_tr
-30.420525,-8.155282,1.772048
-30.481554,-8.166631,1.731719
-30.540807,-8.182265,1.772048
-30.599677,-8.198825,1.791144
-30.658548,-8.215385,1.731719
-30.719576,-8.226734,1.731719
-30.778534,-8.243082,1.772048
-30.837404,-8.259642,1.772048
-30.896008,-8.276845,1.731719
-30.954612,-8.294049,1.731719
-31.013482,-8.310609,1.772048
-31.072352,-8.327169,1.772048
-31.130955,-8.344373,1.712318
-31.189738,-8.361145,1.731719
-31.248608,-8.377705,1.791144
-31.308041,-8.392907,1.772048
-31.369069,-8.404255,1.731719
-31.427939,-8.420815,1.772048
-31.486810,-8.437375,1.791144
-31.545413,-8.454579,1.712318
-31.604283,-8.471139,1.731719
-31.663154,-8.487699,1.772048
-31.722024,-8.504259,1.772048
-31.782048,-8.518033,1.712318
-31.842602,-8.530527,1.731719
-31.901472,-8.547087,1.791144
-31.961467,-8.560932,1.772048
-32.022051,-8.573356,1.731719
-32.080921,-8.589916,1.772048
-32.139791,-8.606476,1.731719
-32.198661,-8.623036,1.712318
-32.257265,-8.640239,1.772048
-32.316135,-8.656799,1.772048
-32.375005,-8.673359,1.731719
-32.435592,-8.685775,1.731719
-32.495583,-8.699628,1.772048
-32.554453,-8.716188,1.772048
-32.613324,-8.732748,1.731719
-32.671927,-8.749951,1.731719
-32.730797,-8.766511,1.791144
-32.789667,-8.783071,1.772048
-32.848538,-8.799631,1.731719
-32.907141,-8.816835,1.772048
-32.966011,-8.833395,1.791144
-33.024881,-8.849955,1.731719
-33.086031,-8.861013,1.731719
-33.148330,-8.869293,1.772048
-33.210630,-8.877573,1.731719
-33.272930,-8.885853,1.712318
-33.336384,-8.891347,1.692918
-33.398684,-8.899627,1.673516
-33.460984,-8.907907,1.653199
-33.523284,-8.916187,1.613786
-33.585583,-8.924467,1.692918
-33.647883,-8.932747,1.654116
-33.710183,-8.941027,1.634715
-33.773637,-8.946521,1.615314
-33.836350,-8.953805,1.595913
-33.896312,-8.956441,1.576512
-33.955182,-8.956441,1.576512
-34.014052,-8.956441,1.576512
-34.072922,-8.956441,1.576512
-34.131584,-8.955939,1.576512
-34.187763,-8.948153,1.595913
-34.246220,-8.932589,1.615314
-34.307428,-8.921673,1.634715
-34.369224,-8.912176,1.555584
-34.428269,-8.896039,1.574985
-34.487140,-8.879479,1.594386
-34.545743,-8.862276,1.613786
-34.604347,-8.845072,1.574679
-34.663217,-8.828512,1.634104
-34.721642,-8.810877,1.693528
-34.777820,-8.787818,1.674433
-34.833998,-8.764760,1.733857
-34.887602,-8.735485,1.733857
-34.938930,-8.700717,1.772048
-34.989104,-8.665471,1.772048
-35.032032,-8.622132,1.733857
-35.072655,-8.573230,1.752953
-35.113278,-8.524327,1.733857
-35.153901,-8.475424,1.731719
-35.194524,-8.426521,1.733857
-35.233130,-8.376782,1.733857
-35.269052,-8.325932,1.731719
-35.309675,-8.277029,1.693528
-35.350298,-8.228126,1.712624
-35.385066,-8.176798,1.693528
-35.419834,-8.125470,1.731719
-35.449296,-8.071944,1.712318
-35.480227,-8.019026,1.731719
-35.514995,-7.967698,1.712318
-35.546953,-7.915206,1.712624
-35.575866,-7.861453,1.712624
-35.608680,-7.809315,1.712318
-35.634854,-7.754428,1.731719
-35.663218,-7.700447,1.731719
-35.692132,-7.646694,1.712318
-35.720801,-7.592839,1.731719
-35.745641,-7.537399,1.692918
-35.768700,-7.481221,1.712318
-35.793540,-7.425780,1.653199
-35.819338,-7.370736,1.712318
-35.848251,-7.316983,1.712318
-35.871309,-7.260805,1.712318
-35.894611,-7.204727,1.712318
-35.919451,-7.149286,1.712318
-35.948364,-7.095533,1.712318
-35.977450,-7.041852,1.712318
-36.009613,-6.989444,1.731719
-36.035135,-6.934286,1.712318
-36.064049,-6.880533,1.731719
-36.092962,-6.826780,1.712318
-36.126082,-6.774769,1.712318
-36.154995,-6.721016,1.653199
-36.183869,-6.667246,1.712318
