#s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,-30.3199390,-8.8037397,3.3090172,-0.1045199,8.1058741,-3.4222708
0.1999567,-30.5174158,-8.8349329,3.2871959,-0.1135466,8.0210089,-3.1534729
0.3999133,-30.7155521,-8.8616374,3.2636446,-0.1221752,7.9420065,-2.8880727
0.5998700,-30.9142974,-8.8835039,3.2384593,-0.1296717,7.8689573,-2.3104590
0.7998266,-31.1135547,-8.9002026,3.2116296,-0.1389856,7.8100260,-0.9438876
0.9997833,-31.3132147,-8.9113660,3.1830049,-0.1470088,7.7858225,-0.6603368
1.1997399,-31.5131334,-8.9166658,3.1530368,-0.1519986,7.7688451,-0.6755163
1.3996966,-31.7131372,-8.9158854,3.1222076,-0.1562280,7.7514390,-0.6852904
1.5996533,-31.9130308,-8.9088548,3.0905342,-0.1602406,7.7337410,-0.6910948
1.7996099,-32.1126047,-8.8954188,3.0580874,-0.1639200,7.7158520,-0.6936120
1.9995666,-32.3116356,-8.8754436,3.0249371,-0.1671644,7.6978560,-0.6928788
2.1995232,-32.5098905,-8.8488217,2.9911969,-0.1697207,7.6798370,-0.6886403
2.3994799,-32.7071303,-8.8154818,2.9570365,-0.1712571,7.6618862,-0.6805616
2.5994366,-32.9031161,-8.7754026,2.9227055,-0.1713061,7.6441045,-0.6683133
2.7993932,-33.0976141,-8.7286312,2.8885640,-0.1692259,7.6266026,-0.6515725
2.9993499,-33.2904014,-8.6753107,2.8551273,-0.1641340,7.6095003,-0.6299991
3.1993065,-33.4812709,-8.6157187,2.8231242,-0.1548429,7.5929276,-0.6032517
3.3992632,-33.6700461,-8.5503187,2.7935603,-0.1398422,7.5770245,-0.5710986
3.5992198,-33.8566210,-8.4798123,2.7677492,-0.1175021,7.5619383,-0.5275272
3.7991765,-34.0423756,-8.4046076,2.7470668,-0.0877783,7.5479763,-0.4834016
3.9991332,-34.2264116,-8.3263263,2.7329048,-0.0541895,7.5351594,-0.4381761
4.1990898,-34.4091152,-8.2462579,2.7251231,-0.0258028,7.5235227,-0.3824942
4.3990465,-34.5915748,-8.1650571,2.7207861,-0.0223859,7.5133501,-0.3291990
4.5990031,-34.7735818,-8.0829855,2.7142061,-0.0501884,7.5045838,-0.2731641
4.7989598,-34.9552568,-7.9988429,2.7001673,-0.0910442,7.4973020,-0.2089936
4.9989164,-35.1340713,-7.9117487,2.6742031,-0.1612840,7.4917259,-0.1542407
5.1988731,-35.3106829,-7.8187481,2.6388063,-0.1853297,7.4876081,-0.1025774
5.3988298,-35.4841817,-7.7190535,2.6010829,-0.1916912,7.4848682,-0.0554375
5.5987864,-35.6537929,-7.6127374,2.5621945,-0.1944051,7.4833871,-0.0130093
5.7987431,-35.8191606,-7.4998852,2.5234136,-0.1912208,7.4830395,0.0250581
5.9986997,-35.9801039,-7.3807647,2.4856406,-0.1849751,7.4837090,0.0600353
6.1986564,-36.1365238,-7.2557611,2.4493303,-0.1772363,7.4853129,0.0942549
6.3986131,-36.2883776,-7.1253166,2.4147140,-0.1687664,7.4878304,0.1323201
6.5985697,-36.4356497,-6.9899143,2.3819032,-0.1598989,7.4913630,0.1914205
6.7985264,-36.5784324,-6.8499754,2.3509169,-0.1505219,7.4964706,0.2722629
6.9984830,-36.7170336,-6.7057066,2.3217250,-0.1412441,7.5037293,0.3998856
7.1984397,-36.8515343,-6.5575403,2.2943652,-0.1319407,7.5143777,0.6020603
7.3983963,-36.9820659,-6.4058835,2.2689110,-0.1219913,7.5303814,0.9154178
7.5983530,-37.1088114,-6.2511411,2.2455705,-0.1109851,7.5546497,1.3776379
7.7983097,-37.2320529,-6.0936785,2.2246276,-0.0973595,7.5910255,2.0031848
7.9982663,-37.3521645,-5.9339314,2.2069960,-0.0784671,7.6436096,2.7318972
8.1982230,-37.4697223,-5.7724107,2.1937170,-0.0552936,7.7147450,3.4138032
8.3981796,-37.5854508,-5.6094963,2.1834503,-0.0469596,7.8027249,3.9376644
8.5981363,-37.6996902,-5.4454355,2.1749566,-0.0378320,7.9029893,4.3153660
8.7980930,-37.8126897,-5.2804876,2.1681541,-0.0300709,8.0114301,4.5841158
8.9980496,-37.9246835,-5.1148368,2.1625725,-0.0256631,8.1250392,4.7711179
9.1980063,-38.0358194,-4.9486015,2.1577206,-0.0228258,8.2416197,4.9002608
9.3979629,-38.1461873,-4.7818560,2.1533057,-0.0213019,8.3596636,4.7861193
9.5979196,-38.2558398,-4.6146447,2.1491753,-0.0200661,8.4733705,1.1288147
9.7978762,-38.3648089,-4.4469957,2.1451362,-0.0203579,8.4999668,0.0000043
9.9978329,-38.4730886,-4.2789088,2.1409909,-0.0210145,8.4999669,0.0000057
10.1977896,-38.5806608,-4.1103757,2.1367988,-0.0207746,8.4999670,0.0000058
10.3977462,-38.6875331,-3.9414046,2.1327673,-0.0195591,8.4999672,0.0000051
10.5977029,-38.7937519,-3.7720032,2.1289720,-0.0183832,8.4999673,0.0000037
10.7976595,-38.8993618,-3.6021894,2.1254245,-0.0167550,8.4999674,0.0000023
10.9976162,-39.0044009,-3.4320366,2.1223866,-0.0138462,8.4999674,0.0000015
11.1975728,-39.1089594,-3.2616021,2.1198209,-0.0118585,8.4999675,0.0000012
11.3975295,-39.2131164,-3.0909141,2.1176304,-0.0100619,8.4999675,0.0000011
11.5974862,-39.3169285,-2.9200186,2.1157930,-0.0083462,8.4999675,0.0000010
11.7974428,-39.4204556,-2.7489489,2.1142836,-0.0067788,8.4999675,0.0000010
11.9973995,-39.5237504,-2.5777388,2.1130738,-0.0053549,8.4999676,0.0000009
12.1973561,-39.6268617,-2.4064177,2.1121332,-0.0040859,8.4999676,0.0000009
12.3973128,-39.7298327,-2.2350121,2.1114311,-0.0029693,8.4999676,0.0000008
12.5972695,-39.8327017,-2.0635451,2.1109374,-0.0020013,8.4999676,0.0000008
12.7972261,-39.9355020,-1.8920367,2.1106229,-0.0011742,8.4999676,0.0000007
12.9971828,-40.0382617,-1.7205039,2.1104605,-0.0004790,8.4999677,0.0000007
13.1971394,-40.1410048,-1.5489611,2.1104247,0.0000948,8.4999677,0.0000007
13.3970961,-40.2437510,-1.3774200,2.1104923,0.0005582,8.4999677,0.0000006
13.5970527,-40.3465162,-1.2058903,2.1106425,0.0009227,8.4999677,0.0000006
13.7970094,-40.4493129,-1.0343794,2.1108565,0.0011994,8.4999677,0.0000005
13.9969661,-40.5521506,-0.8628931,2.1111180,0.0013994,8.4999677,0.0000005
14.1969227,-40.6550362,-0.6914355,2.1114126,0.0015331,8.4999677,0.0000005
