# s_m; t_s; ax_mps2; ay_mps2; atot_mps2
0.0; 0.000; -0.126; -0.103; 0.162
0.2; 0.024; 0.125; -0.109; 0.166
0.4; 0.047; 0.003; -0.116; 0.116
0.6; 0.071; 0.000; -0.124; 0.124
0.8; 0.094; 0.000; -0.131; 0.131
1.0; 0.118; 0.000; -0.138; 0.138
1.2; 0.141; 0.000; -0.145; 0.145
1.4; 0.165; 0.000; -0.152; 0.152
1.6; 0.188; 0.000; -0.158; 0.158
1.8; 0.212; 0.000; -0.164; 0.164
2.0; 0.235; 0.000; -0.168; 0.168
2.2; 0.259; 0.000; -0.171; 0.171
2.4; 0.283; 0.000; -0.172; 0.172
2.6; 0.306; 0.000; -0.170; 0.170
2.8; 0.330; 0.000; -0.167; 0.167
3.0; 0.353; 0.000; -0.160; 0.160
3.2; 0.376; -0.000; -0.149; 0.149
3.4; 0.400; -0.000; -0.135; 0.135
3.6; 0.423; -0.000; -0.115; 0.115
3.8; 0.447; -0.000; -0.091; 0.091
4.0; 0.470; -0.000; -0.060; 0.060
4.2; 0.494; -0.000; -0.024; 0.024
4.4; 0.517; -0.000; 0.019; 0.019
4.6; 0.540; -0.000; 0.070; 0.070
4.8; 0.564; -0.000; 0.127; 0.127
5.0; 0.587; -0.000; 0.192; 0.192
5.2; 0.611; 0.000; 0.264; 0.264
5.4; 0.634; 0.000; 0.343; 0.343
5.6; 0.657; 0.000; 0.428; 0.428
5.8; 0.681; 0.000; 0.519; 0.519
6.0; 0.704; 0.001; 0.613; 0.613
6.2; 0.727; 0.001; 0.710; 0.710
6.4; 0.751; 0.001; 0.808; 0.808
6.6; 0.774; 0.001; 0.904; 0.904
6.8; 0.797; 0.002; 0.997; 0.997
7.0; 0.821; 0.002; 1.084; 1.084
7.2; 0.844; 0.002; 1.167; 1.167
7.4; 0.868; 0.002; 1.246; 1.246
7.6; 0.891; -0.007; 1.331; 1.331
7.8; 0.914; -0.893; 1.447; 1.701
8.0; 0.938; -8.658; 1.701; 8.824
8.2; 0.963; -8.489; 2.197; 8.768
8.4; 0.989; -8.124; 2.766; 8.581
8.6; 1.015; -7.667; 3.387; 8.382
8.8; 1.042; -7.150; 4.037; 8.211
9.0; 1.070; -6.601; 4.687; 8.096
9.2; 1.098; -6.047; 5.310; 8.048
9.4; 1.128; -5.510; 5.883; 8.061
9.6; 1.158; -5.008; 6.393; 8.121
9.8; 1.189; -4.549; 6.833; 8.209
10.0; 1.221; -4.139; 7.204; 8.308
10.2; 1.253; -3.775; 7.510; 8.406
10.4; 1.286; -3.454; 7.759; 8.493
10.6; 1.319; -3.172; 7.959; 8.568
10.8; 1.354; -2.923; 8.116; 8.627
11.0; 1.388; -2.705; 8.238; 8.670
11.2; 1.423; -2.516; 8.326; 8.698
11.4; 1.459; -2.371; 8.381; 8.710
11.6; 1.495; -2.382; 8.395; 8.726
11.8; 1.531; -2.089; 8.438; 8.693
12.0; 1.567; -1.252; 8.609; 8.700
12.2; 1.603; -0.585; 8.767; 8.786
12.4; 1.640; -0.263; 8.849; 8.853
12.6; 1.676; -0.262; 8.852; 8.856
12.8; 1.711; -0.298; 8.840; 8.845
13.0; 1.746; -0.281; 8.838; 8.842
13.2; 1.781; -0.218; 8.841; 8.844
13.4; 1.815; -0.140; 8.839; 8.840
13.6; 1.849; -0.052; 8.827; 8.827
13.8; 1.881; 0.044; 8.804; 8.804
14.0; 1.914; 0.143; 8.769; 8.770
14.2; 1.945; 0.241; 8.724; 8.727
14.4; 1.976; 0.335; 8.673; 8.679
14.6; 2.007; 0.419; 8.620; 8.630
14.8; 2.038; 0.493; 8.569; 8.584
15.0; 2.070; 0.553; 8.525; 8.543
15.2; 2.103; 0.601; 8.490; 8.511
15.4; 2.138; 0.637; 8.462; 8.486
15.6; 2.173; 0.675; 8.428; 8.455
15.8; 2.210; 0.736; 8.370; 8.402
16.0; 2.246; 0.841; 8.269; 8.311
16.2; 2.284; 1.006; 8.105; 8.167
16.4; 2.321; 1.238; 7.863; 7.960
16.6; 2.358; 1.526; 7.543; 7.696
16.8; 2.395; 1.840; 7.168; 7.400
17.0; 2.432; 2.150; 6.772; 7.105
17.2; 2.468; 2.439; 6.378; 6.829
17.4; 2.503; 2.708; 5.992; 6.575
17.6; 2.538; 2.963; 5.608; 6.343
17.8; 2.572; 3.206; 5.223; 6.129
18.0; 2.605; 3.440; 4.836; 5.934
18.2; 2.638; 3.663; 4.448; 5.762
18.4; 2.670; 3.876; 4.060; 5.613
18.6; 2.702; 4.076; 3.676; 5.489
18.8; 2.732; 4.263; 3.299; 5.390
19.0; 2.762; 4.436; 2.931; 5.317
19.2; 2.792; 4.595; 2.575; 5.267
19.4; 2.821; 4.738; 2.236; 5.239
19.6; 2.849; 4.864; 1.917; 5.229
19.8; 2.876; 4.973; 1.625; 5.232
20.0; 2.903; 5.064; 1.364; 5.244
20.2; 2.929; 5.134; 1.140; 5.259
20.4; 2.955; 5.183; 0.958; 5.271
