# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; -0.00046; 21.9; -20.5; -0.1
0.2; 0.024; -0.00049; 21.1; -20.1; -0.1
0.4; 0.047; -0.00052; 21.1; -20.1; -0.1
0.6; 0.071; -0.00054; 21.1; -20.1; -0.1
0.8; 0.094; -0.00057; 21.1; -20.1; -0.1
1.0; 0.118; -0.00060; 21.1; -20.1; -0.1
1.2; 0.141; -0.00062; 21.1; -20.1; -0.1
1.4; 0.165; -0.00064; 21.1; -20.1; -0.1
1.6; 0.188; -0.00066; 21.1; -20.1; -0.1
1.8; 0.212; -0.00067; 21.1; -20.1; -0.1
2.0; 0.235; -0.00067; 21.1; -20.1; -0.1
2.2; 0.259; -0.00067; 21.1; -20.1; -0.1
2.4; 0.283; -0.00065; 21.1; -20.1; -0.1
2.6; 0.306; -0.00062; 21.1; -20.1; -0.1
2.8; 0.330; -0.00058; 21.1; -20.1; -0.1
3.0; 0.353; -0.00052; 21.1; -20.1; -0.1
3.2; 0.376; -0.00044; 21.1; -20.1; -0.1
3.4; 0.400; -0.00034; 21.1; -20.1; -0.1
3.6; 0.423; -0.00021; 21.1; -20.1; -0.1
3.8; 0.447; -0.00006; 21.1; -20.1; -0.1
4.0; 0.470; 0.00011; 21.1; -20.1; -0.0
4.2; 0.494; 0.00032; 21.1; -20.1; 0.0
4.4; 0.517; 0.00055; 21.1; -20.1; 0.1
4.6; 0.540; 0.00081; 21.1; -20.1; 0.1
4.8; 0.564; 0.00110; 21.1; -20.1; 0.2
5.0; 0.587; 0.00142; 21.1; -20.1; 0.2
5.2; 0.611; 0.00177; 21.0; -20.1; 0.3
5.4; 0.634; 0.00213; 21.0; -20.0; 0.4
5.6; 0.657; 0.00251; 21.0; -20.0; 0.4
5.8; 0.681; 0.00290; 21.0; -20.0; 0.5
6.0; 0.704; 0.00329; 20.9; -19.9; 0.6
6.2; 0.727; 0.00367; 20.9; -19.9; 0.7
6.4; 0.751; 0.00403; 20.8; -19.8; 0.8
6.6; 0.774; 0.00437; 20.7; -19.7; 0.9
6.8; 0.797; 0.00468; 20.7; -19.7; 0.9
7.0; 0.821; 0.00496; 20.6; -19.6; 1.0
7.2; 0.844; 0.00525; 20.5; -19.5; 1.1
7.4; 0.868; 0.00558; 20.5; -19.5; 1.1
7.6; 0.891; 0.00607; 19.6; -21.7; 1.2
7.8; 0.914; 0.00682; 3.0; -32.1; 1.5
8.0; 0.938; 0.00809; 2.9; -31.4; 1.9
8.2; 0.963; 0.01002; 2.9; -30.2; 2.4
8.4; 0.989; 0.01258; 2.9; -28.6; 2.9
8.6; 1.015; 0.01560; 2.9; -26.8; 3.5
8.8; 1.042; 0.01890; 3.0; -24.9; 4.0
9.0; 1.070; 0.02230; 3.0; -23.0; 4.5
9.2; 1.098; 0.02564; 3.1; -21.2; 5.0
9.4; 1.128; 0.02877; 3.2; -19.5; 5.5
9.6; 1.158; 0.03156; 3.3; -18.0; 5.8
9.8; 1.189; 0.03393; 3.4; -16.6; 6.2
10.0; 1.221; 0.03586; 3.6; -15.5; 6.4
10.2; 1.253; 0.03735; 3.8; -14.6; 6.6
10.4; 1.286; 0.03842; 4.0; -13.8; 6.8
10.6; 1.319; 0.03910; 4.2; -13.1; 6.9
10.8; 1.354; 0.03940; 4.4; -12.6; 7.0
11.0; 1.388; 0.03931; 4.6; -12.1; 7.1
11.2; 1.423; 0.03878; 4.8; -11.8; 7.2
11.4; 1.459; 0.03779; 4.7; -11.8; 7.2
11.6; 1.495; 0.03681; 4.5; -10.6; 7.2
11.8; 1.531; 0.03853; 2.9; -6.1; 7.4
12.0; 1.567; 0.04192; 1.4; -2.2; 7.5
12.2; 1.603; 0.04539; 0.7; -0.3; 7.6
12.4; 1.640; 0.04816; 0.5; -0.1; 7.6
12.6; 1.676; 0.05092; 0.4; -0.1; 7.6
12.8; 1.711; 0.05413; 0.5; -0.1; 7.6
13.0; 1.746; 0.05775; 0.7; -0.0; 7.6
13.2; 1.781; 0.06153; 1.1; -0.0; 7.6
13.4; 1.815; 0.06529; 1.4; -0.0; 7.5
13.6; 1.849; 0.06887; 1.8; -0.0; 7.5
13.8; 1.881; 0.07211; 2.2; -0.0; 7.5
14.0; 1.914; 0.07491; 2.5; -0.0; 7.5
14.2; 1.945; 0.07721; 2.9; -0.0; 7.4
14.4; 1.976; 0.07900; 3.2; -0.0; 7.4
14.6; 2.007; 0.08032; 3.5; -0.0; 7.3
14.8; 2.038; 0.08121; 3.7; -0.0; 7.3
15.0; 2.070; 0.08173; 3.9; -0.0; 7.3
15.2; 2.103; 0.08184; 4.0; -0.0; 7.2
15.4; 2.138; 0.08137; 4.1; -0.0; 7.2
15.6; 2.173; 0.08021; 4.3; -0.0; 7.2
15.8; 2.210; 0.07848; 4.6; -0.0; 7.1
16.0; 2.246; 0.07630; 5.1; -0.0; 6.9
16.2; 2.284; 0.07369; 5.9; -0.0; 6.7
16.4; 2.321; 0.07066; 6.8; -0.0; 6.4
16.6; 2.358; 0.06720; 7.8; -0.0; 6.1
16.8; 2.395; 0.06333; 8.8; -0.0; 5.8
17.0; 2.432; 0.05912; 9.8; -0.0; 5.5
17.2; 2.468; 0.05466; 10.6; -0.0; 5.1
17.4; 2.503; 0.05007; 11.5; -0.0; 4.8
17.6; 2.538; 0.04545; 12.2; -0.0; 4.5
17.8; 2.572; 0.04088; 13.0; -0.0; 4.1
18.0; 2.605; 0.03644; 13.7; -0.0; 3.8
18.2; 2.638; 0.03218; 14.4; -0.0; 3.5
18.4; 2.670; 0.02814; 15.1; -0.0; 3.1
18.6; 2.702; 0.02435; 15.7; -0.0; 2.8
18.8; 2.732; 0.02082; 16.3; -0.1; 2.5
19.0; 2.762; 0.01759; 16.9; -0.1; 2.2
19.2; 2.792; 0.01465; 17.4; -0.1; 1.9
19.4; 2.821; 0.01204; 17.8; -0.1; 1.6
19.6; 2.849; 0.00976; 18.2; -0.1; 1.4
19.8; 2.876; 0.00783; 18.6; -0.1; 1.2
20.0; 2.903; 0.00627; 18.9; -0.1; 1.0
20.2; 2.929; 0.00509; 19.1; -0.2; 0.8
20.4; 2.955; 0.00425; 19.2; -0.2; 0.7
20.6; 2.980; 0.00371; 19.3; -0.3; 0.6
20.8; 3.004; 0.00341; 19.4; -0.5; 0.6
21.0; 3.028; 0.00337; 19.5; -1.0; 0.6
21.2; 3.051; 0.00366; 19.7; -2.6; 0.6
21.4; 3.074; 0.00445; 20.7; -10.5; 0.7
21.6; 3.097; 0.00585; 20.7; -19.4; 0.9
21.8; 3.119; 0.00794; 20.5; -19.5; 1.2
22.0; 3.141; 0.01069; 19.9; -18.8; 1.7
22.2; 3.163; 0.01395; 18.9; -17.8; 2.2
22.4; 3.186; 0.01751; 17.6; -16.4; 2.9
22.6; 3.208; 0.02111; 15.8; -14.6; 3.5
22.8; 3.231; 0.02448; 13.8; -12.5; 4.2
23.0; 3.255; 0.02734; 11.8; -10.4; 4.8
23.2; 3.278; 0.02946; 10.0; -8.5; 5.4
23.4; 3.302; 0.03069; 8.6; -6.9; 5.9
23.6; 3.326; 0.03100; 7.4; -5.6; 6.3
23.8; 3.351; 0.03048; 6.5; -4.6; 6.6
24.0; 3.375; 0.02931; 5.6; -3.6; 6.9
24.2; 3.400; 0.02771; 4.9; -2.7; 7.0
24.4; 3.425; 0.02591; 4.3; -1.9; 7.2
24.6; 3.450; 0.02408; 3.8; -1.4; 7.2
24.8; 3.474; 0.02237; 3.4; -1.0; 7.3
25.0; 3.499; 0.02088; 3.2; -0.7; 7.3
25.2; 3.523; 0.01964; 3.0; -0.5; 7.4
25.4; 3.547; 0.01868; 2.9; -0.4; 7.4
25.6; 3.570; 0.01796; 2.8; -0.3; 7.4
25.8; 3.593; 0.01745; 2.7; -0.3; 7.4
26.0; 3.616; 0.01711; 2.7; -0.2; 7.4
26.2; 3.637; 0.01688; 2.7; -0.2; 7.4
26.4; 3.659; 0.01674; 2.7; -0.2; 7.4
26.6; 3.680; 0.01665; 2.7; -0.2; 7.4
26.8; 3.701; 0.01661; 2.7; -0.2; 7.4
27.0; 3.722; 0.01661; 2.7; -0.2; 7.4
27.2; 3.743; 0.01663; 2.7; -0.2; 7.4
27.4; 3.765; 0.01668; 2.7; -0.2; 7.4
27.6; 3.787; 0.01670; 2.7; -0.1; 7.4
27.8; 3.810; 0.01669; 2.7; -0.1; 7.4
28.0; 3.833; 0.01668; 2.7; -0.1; 7.4
28.2; 3.856; 0.01670; 2.7; -0.2; 7.4
28.4; 3.880; 0.01675; 2.7; -0.2; 7.4
28.6; 3.903; 0.01682; 2.8; -0.2; 7.4
28.8; 3.927; 0.01692; 2.8; -0.2; 7.4
29.0; 3.952; 0.01703; 2.8; -0.2; 7.4
29.2; 3.976; 0.01713; 2.8; -0.2; 7.4
29.4; 4.000; 0.01724; 2.9; -0.3; 7.4
29.6; 4.024; 0.01734; 2.9; -0.3; 7.4
29.8; 4.048; 0.01743; 2.9; -0.3; 7.4
