#x_m,y_m,w_tr
7.700000,2.750000,1.426155
7.749608,2.735546,1.392155
7.797288,2.716437,1.392155
7.846732,2.701586,1.426155
7.896410,2.687300,1.426155
7.946182,2.673242,1.392155
7.995954,2.659184,1.426155
8.045632,2.644899,1.426155
8.095380,2.630782,1.392155
8.145152,2.616724,1.426155
8.194830,2.602438,1.426155
8.244508,2.588152,1.392155
8.292188,2.569044,1.426155
8.341373,2.553568,1.443682
8.391051,2.539283,1.426155
8.438756,2.520233,1.392155
8.487777,2.504361,1.426155
8.537454,2.490076,1.443682
8.587132,2.475790,1.426155
8.636904,2.461732,1.392155
8.686582,2.447446,1.426155
8.736260,2.433161,1.426155
8.787911,2.423639,1.392155
8.838435,2.411395,1.426155
8.888113,2.397109,1.426155
8.937791,2.382823,1.392155
8.987563,2.368765,1.426155
9.037241,2.354480,1.426155
9.086919,2.340194,1.392155
9.134812,2.321600,1.392155
9.183644,2.305272,1.426155
9.233322,2.290987,1.426946
9.283000,2.276701,1.410209
9.332772,2.262643,1.392155
9.382450,2.248357,1.426155
9.432128,2.234072,1.426155
9.483590,2.224094,1.392155
9.534303,2.212306,1.426155
9.583980,2.198020,1.392155
9.633658,2.183734,1.375419
9.683430,2.169676,1.426155
9.733108,2.155391,1.426155
9.782786,2.141105,1.392155
9.830868,2.122966,1.392155
9.879512,2.106184,1.426155
9.929190,2.091898,1.426155
9.978868,2.077612,1.392155
10.028640,2.063554,1.426155
10.078318,2.049269,1.443682
10.127995,2.034983,1.426155
10.179269,2.024550,1.392155
10.230170,2.013217,1.426155
10.279848,1.998931,1.426155
10.329526,1.984645,1.392155
10.379298,1.970587,1.426155
10.428976,1.956302,1.426155
10.478654,1.942016,1.392155
10.526925,1.924333,1.426155
10.575379,1.907095,1.443682
10.625057,1.892809,1.426155
10.673492,1.875523,1.426155
10.721783,1.857888,1.392155
10.771461,1.843602,1.426155
10.821139,1.829316,1.426155
10.870911,1.815258,1.392155
10.920589,1.800973,1.426155
10.970267,1.786687,1.443682
11.020039,1.772629,1.375419
11.069717,1.758343,1.392155
11.119394,1.744058,1.426155
11.169072,1.729772,1.426155
11.218845,1.715714,1.392155
11.268522,1.701428,1.426155
11.318200,1.687142,1.426155
11.369027,1.675630,1.392155
11.420375,1.665376,1.426155
11.470053,1.651091,1.443682
11.519731,1.636805,1.426155
11.569503,1.622747,1.392155
11.619181,1.608461,1.426155
11.668859,1.594176,1.443682
11.717577,1.577573,1.426155
11.765584,1.559254,1.392155
11.815262,1.544969,1.426155
11.864940,1.530683,1.426155
11.914712,1.516625,1.392155
11.964390,1.502339,1.426155
12.014068,1.488054,1.426155
12.063840,1.473996,1.392155
12.113518,1.459710,1.426155
12.163196,1.445424,1.443682
12.212172,1.429445,1.426155
12.259921,1.410503,1.392155
12.309599,1.396217,1.426155
12.359277,1.381931,1.426155
12.409049,1.367874,1.375419
12.458727,1.353588,1.392155
12.508405,1.339302,1.426155
12.558784,1.326710,1.426155
12.610580,1.317536,1.392155
12.660258,1.303250,1.426155
12.709936,1.288965,1.426155
12.759708,1.274907,1.392155
12.809386,1.260621,1.426155
12.859064,1.246335,1.426155
12.908229,1.230812,1.392155
12.955909,1.211703,1.410209
13.005587,1.197418,1.426946
13.054916,1.182291,1.426155
13.102596,1.163182,1.375419
13.152274,1.148896,1.392155
13.201952,1.134611,1.426155
13.252143,1.121563,1.375419
13.304007,1.112555,1.392155
13.353685,1.098270,1.426155
13.403711,1.084825,1.426155
13.455575,1.075818,1.392155
13.505398,1.061880,1.426155
13.555075,1.047595,1.426155
13.604429,1.032527,1.392155
13.652110,1.013418,1.426155
13.701787,0.999133,1.426155
13.751465,0.984847,1.392155
13.801238,0.970789,1.392155
13.851010,0.956731,1.426155
13.900688,0.942445,1.426946
13.950460,0.928387,1.410209
14.000232,0.914329,1.392155
14.049910,0.900044,1.426155
14.099588,0.885758,1.426155
14.149360,0.871700,1.392155
14.199132,0.857642,1.426155
