#s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,7.6125247,2.4898900,5.9718065,-0.0012683,8.4936970,0.1256925
0.1999693,7.8028695,2.4285991,5.9715231,-0.0015657,8.4966557,0.0028335
0.3999386,7.9931956,2.3672499,5.9712005,-0.0016611,8.4967224,-0.0000002
0.5999080,8.1835013,2.3058375,5.9708599,-0.0017456,8.4967224,-0.0000284
0.7998773,8.3737855,2.2443587,5.9705026,-0.0018273,8.4967217,-0.0000310
0.9998466,8.5640473,2.1828104,5.9701291,-0.0019083,8.4967210,-0.0000334
1.1998159,8.7542855,2.1211895,5.9697397,-0.0019860,8.4967202,-0.0000357
1.3997852,8.9444992,2.0594931,5.9693353,-0.0020585,8.4967194,-0.0000380
1.5997546,9.1346875,1.9977185,5.9689172,-0.0021232,8.4967185,-0.0000404
1.7997239,9.3248496,1.9358632,5.9684872,-0.0021770,8.4967175,-0.0000427
1.9996932,9.5149848,1.8739252,5.9680479,-0.0022164,8.4967165,-0.0000449
2.1996625,9.7050925,1.8119031,5.9676026,-0.0022370,8.4967154,-0.0000472
2.3996319,9.8951724,1.7497961,5.9671555,-0.0022344,8.4967143,-0.0000494
2.5996012,10.0852247,1.6876043,5.9667117,-0.0022035,8.4967132,-0.0000515
2.7995705,10.2752496,1.6253289,5.9662775,-0.0021387,8.4967120,-0.0000536
2.9995398,10.4652480,1.5629726,5.9658602,-0.0020342,8.4967107,-0.0000556
3.1995091,10.6552211,1.5005392,5.9654684,-0.0018840,8.4967094,-0.0000574
3.3994785,10.8451708,1.4380346,5.9651118,-0.0016818,8.4967080,-0.0000589
3.5994478,11.0350997,1.3754664,5.9648015,-0.0014215,8.4967067,-0.0000599
3.7994171,11.2250111,1.3128446,5.9645496,-0.0010970,8.4967052,-0.0000604
3.9993864,11.4149089,1.2501815,5.9643697,-0.0007029,8.4967038,-0.0000600
4.1993557,11.6047980,1.1874923,5.9642760,-0.0002341,8.4967024,-0.0000586
4.3993251,11.7946835,1.1247949,5.9642840,0.0003133,8.4967010,-0.0000558
4.5992944,11.9845730,1.0621100,5.9644094,0.0009412,8.4966997,-0.0000515
4.7992637,12.1744741,0.9994615,5.9646685,0.0016502,8.4966985,-0.0000453
4.9992330,12.3643958,0.9368762,5.9650772,0.0024384,8.4966974,-0.0000372
5.1992024,12.5543478,0.8743840,5.9656510,0.0033012,8.4966966,-0.0000274
5.3991717,12.7443408,0.8120178,5.9664039,0.0042309,8.4966959,-0.0000168
5.5991410,12.9343861,0.7498129,5.9673483,0.0052163,8.4966955,-0.0000070
5.7991103,13.1244957,0.6878066,5.9684939,0.0062424,8.4966954,-0.0000014
5.9990796,13.3146821,0.6260380,5.9698470,0.0072906,8.4966953,-0.0000047
6.1990490,13.5049576,0.5645469,5.9714096,0.0083374,8.4966952,-0.0000247
6.3990183,13.6953348,0.5033733,5.9731797,0.0093623,8.4966946,-0.0000743
6.5989876,13.8858250,0.4425562,5.9751489,0.0103247,8.4966929,-0.0001744
6.7989569,14.0764407,0.3821324,5.9773069,0.0112554,8.4966888,-0.0003546
6.9989262,14.2671872,0.3221382,5.9796325,0.0119609,8.4966804,-0.0006326
7.1988956,14.4580872,0.2625983,5.9821113,0.0128994,8.4966656,-0.0009255
7.3988649,14.6491078,0.2035502,5.9845857,0.0111354,8.4966438,-0.0074971
7.5988342,14.8402300,0.1449526,5.9868729,0.0130949,8.4964673,-0.5784944
7.7988035,15.0315563,0.0868396,5.9898470,0.0165580,8.4828412,-5.5011029
7.9987728,15.2231180,0.0293507,5.9935737,0.0212074,8.3521549,-8.1740857
8.1987422,15.4149213,-0.0273189,5.9984960,0.0290509,8.1541007,-7.9353644
8.3987115,15.6070531,-0.0828704,6.0053066,0.0394063,7.9571163,-7.5872218
8.5986808,15.7996171,-0.1369038,6.0143283,0.0512326,7.7641018,-7.1823806
8.7986501,15.9927219,-0.1889576,6.0258768,0.0645771,7.5768572,-6.7424650
8.9986195,16.1864778,-0.2385088,6.0402301,0.0791859,7.3967691,-6.2864320
9.1985888,16.3809870,-0.2849809,6.0576130,0.0947690,7.2248187,-5.8322799
9.3985581,16.5763332,-0.3277542,6.0781789,0.1109468,7.0615474,-5.3952518
9.5985274,16.7725703,-0.3661805,6.1020034,0.1273429,6.9070748,-4.9865607
9.7984967,16.9697118,-0.3995974,6.1290906,0.1436162,6.7611658,-4.6130628
9.9984661,17.1677213,-0.4273425,6.1593829,0.1594839,6.6233240,-4.2767055
10.1984354,17.3665107,-0.4487670,6.1927750,0.1747164,6.4929193,-3.9725364
10.3984047,17.5659686,-0.4632472,6.2291329,0.1890782,6.3693980,-3.7125460
10.5983740,17.7658278,-0.4701856,6.2682784,0.2025258,6.2517550,-3.4824123
10.7983433,17.9657989,-0.4690341,0.0268330,0.2149620,6.1393557,-3.2781579
10.9983127,18.1655287,-0.4592979,0.0709562,0.2263143,6.0316355,-3.0969991
11.1982820,18.3646051,-0.4405437,0.1172332,0.2364652,5.9280703,-2.9389269
11.3982513,18.5625620,-0.4124062,0.1654653,0.2459057,5.8280895,-2.8163761
11.5982206,18.7588843,-0.3745658,0.2157351,0.2571423,5.7306412,-2.8396293
11.7981899,18.9530131,-0.3267172,0.2677712,0.2631536,5.6306813,-2.5915118
11.9981593,19.1443297,-0.2686818,0.3217978,0.2783215,5.5378810,-1.7659082
12.1981286,19.3320968,-0.2001014,0.3791783,0.2963744,5.4737438,-1.0297162
12.3980979,19.5156161,-0.1205149,0.4396043,0.3079250,5.4359956,-0.7031751
12.5980672,19.6939436,-0.0298026,0.5017264,0.3128805,5.4100666,-0.6928484
12.7980366,19.8662824,0.0718883,0.5645024,0.3143177,5.3843963,-0.6959701
12.9980059,20.0318831,0.1842043,0.6274431,0.3141194,5.3584866,-0.6274857
13.1979752,20.1900334,0.3066420,0.6900513,0.3107190,5.3350185,-0.5085419
13.3979445,20.3401172,0.4385064,0.7513749,0.3016204,5.3159230,-0.3594173
13.5979138,20.4818247,0.5789683,0.8100167,0.2845396,5.3023855,-0.1595813
13.7978832,20.6158925,0.7278612,0.8646121,0.2595164,5.2963638,0.0245644
13.9978525,20.7417017,0.8830404,0.9135050,0.2301685,5.2972912,0.2136854
14.1978218,20.8601366,1.0437438,0.9572414,0.2102507,5.3053515,0.3923821
14.3977911,20.9716010,1.2092292,0.9991516,0.2241848,5.3201206,0.5078964
14.5977604,21.0757144,1.3798916,1.0484397,0.2675545,5.3391770,0.5850395
14.7977298,21.1706262,1.5558108,1.1044064,0.2908845,5.3610438,0.6275997
14.9976991,21.2549764,1.7365735,1.1646341,0.3098264,5.3844027,0.6680634
15.1976684,21.3281675,1.9225733,1.2273676,0.3147131,5.4091568,0.7386454
15.3976377,21.3895732,2.1129541,1.2900650,0.3096186,5.4363949,0.8569071
15.5976071,21.4390833,2.3068145,1.3510720,0.2980237,5.4678241,1.0287309
15.7975764,21.4769476,2.5032982,1.4092533,0.2818121,5.5053183,1.2468422
15.9975457,21.5036730,2.7016159,1.4638144,0.2624516,5.5504225,1.4926782
16.1975150,21.5199495,2.9010739,1.5142518,0.2413447,5.6039423,1.7435208
16.3974843,21.5265792,3.1010878,1.5603697,0.2199067,5.6658160,1.9814550
16.5974537,21.5244069,3.3011824,1.6022491,0.1993217,5.7353231,2.2246032
16.7974230,21.5142785,3.5007714,1.6401084,0.1800800,5.8123692,2.4200785
16.9973923,21.4969606,3.6999658,1.6743398,0.1625736,5.8950419,2.6058585
17.1973616,21.4731627,3.8985618,1.7052420,0.1465733,5.9827838,2.7869934
17.3973309,21.4435422,4.0964093,1.7330788,0.1318499,6.0752225,2.9670566
17.5973003,21.4087103,4.2934031,1.7580762,0.1181978,6.1721122,3.1487036
17.7972696,21.3692361,4.4894768,1.7804271,0.1054449,6.2732972,3.3340527
17.9972389,21.3256508,4.6845993,1.8002974,0.0934360,6.3786890,3.5279523
18.1972082,21.2784394,4.8788208,1.8178253,0.0819999,6.4883464,3.7425969
18.3971775,21.2279816,5.0724886,1.8331497,0.0711466,6.6026849,3.9498962
18.5971469,21.1747656,5.2654329,1.8463300,0.0605820,6.7212472,4.1682303
18.7971162,21.1192265,5.4576473,1.8575515,0.0519787,6.8441362,4.3879814
18.9970855,21.0617183,5.6491843,1.8671549,0.0442821,6.9711637,4.6006946
19.1970548,21.0025259,5.8401751,1.8752754,0.0371820,7.1019095,4.8008249
19.3970242,20.9419188,6.0307093,1.8820491,0.0308739,7.2358244,4.9840004
19.5969935,20.8801385,6.2208586,1.8876605,0.0255930,7.3722757,5.1456554
19.7969628,20.8173867,6.4106835,1.8923353,0.0215197,7.5105523,5.2810785
19.9969321,20.7538195,6.6002290,1.8963271,0.0187502,7.6498694,5.3855627
20.1969014,20.6895432,6.7895250,1.8998973,0.0172585,7.7893772,5.4543418
20.3968708,20.6246155,6.9785874,1.9032855,0.0168460,7.9281649,5.4817928
20.5968401,20.5590521,7.1674232,1.9066709,0.0171242,8.0652452,5.4552431
20.7968094,20.4928410,7.3560369,1.9101423,0.0176110,8.1993867,5.3248900
20.9967787,20.4259592,7.5444386,1.9136972,0.0179082,8.3282394,4.7023906
21.1967480,20.3583966,7.7326235,1.9172720,0.0178317,8.4403933,2.3262545
21.3967174,20.2901802,7.9205154,1.9208505,0.0179284,8.4953280,0.0517462
21.5966867,20.2213020,8.1081343,1.9244315,0.0183400,8.4965460,0.0032136
21.7966560,20.1517446,8.2954623,1.9282387,0.0178464,8.4966216,0.0054194
21.9966253,20.0815865,8.4824132,1.9312356,0.0141082,8.4967492,0.0073308
22.1965946,20.0108425,8.6692730,1.9343861,0.0206447,8.4969217,0.0078021
22.3965640,19.9392233,8.8560761,1.9398403,0.0330128,8.4971053,0.0064411
22.5965333,19.8663645,9.0424403,1.9474425,0.0430218,8.4972569,0.0033920
22.7965026,19.7919045,9.2281731,1.9570438,0.0530880,8.4973367,-0.0010977
22.9964719,19.7154655,9.4131257,1.9687158,0.0634544,8.4973109,-0.0067692
23.1964413,19.6366865,9.5970903,1.9824136,0.0733654,8.4971516,-0.0132394
23.3964106,19.5552287,9.7798545,1.9980392,0.0828759,8.4968400,-0.0199216
23.5963799,19.4708436,9.9610648,2.0154711,0.0916623,8.4963712,-0.0212411
23.7963492,19.3831165,10.1407809,2.0346254,0.0998989,8.4958712,-0.0150084
23.9963185,19.2917843,10.3187734,2.0554013,0.1076376,8.4955179,-0.0035476
24.1962879,19.1966221,10.4947888,2.0776970,0.1149005,8.4954344,0.0081700
24.3962572,19.0974373,10.6685656,2.1014057,0.1216673,8.4956267,0.0162397
24.5962265,18.9940691,10.8398416,2.1264064,0.1278538,8.4960090,0.0192197
24.7961958,18.8863867,11.0083652,2.1525512,0.1332772,8.4964613,0.0178758
24.9961651,18.7742892,11.1739092,2.1796456,0.1375984,8.4968821,0.0133332
25.1961345,18.6577078,11.3362854,2.2074181,0.1402624,8.4971958,0.0063656
25.3961038,18.5366175,11.4953606,2.2354669,0.1403476,8.4973456,-0.0021858
25.5960731,18.4110690,11.6510622,2.2632095,0.1368268,8.4972942,-0.0111413
25.7960424,18.2812434,11.8033883,2.2897174,0.1276320,8.4970320,-0.0192767
25.9960118,18.1475496,11.9523835,2.3141622,0.1179961,8.4965783,-0.0255573
26.1959811,18.0106056,12.0979211,2.3370323,0.1055159,8.4959768,-0.0289724
26.3959504,17.8708568,12.2404015,2.3551849,0.0813974,8.4952949,-0.0292519
26.5959197,17.7286596,12.3806844,2.3706686,0.0772871,8.4946063,-0.0269834
26.7958890,17.5841271,12.5188964,2.3866301,0.0828407,8.4939711,-0.0224520
26.9958584,17.4375214,12.6544731,2.4042206,0.0932054,8.4934425,-0.0178978
27.1958277,17.2883471,12.7873562,2.4238971,0.1035628,8.4930211,-0.0138480
27.3957970,17.1363629,12.9172092,2.4455077,0.1122506,8.4926950,-0.0104737
27.5957663,16.9814374,13.0436801,2.4686472,0.1186718,8.4924484,-0.0071258
27.7957356,16.8235225,13.1664688,2.4928566,0.1229122,8.4922806,-0.0034118
27.9957050,16.6626295,13.2853476,2.5177247,0.1253093,8.4922003,0.0006523
28.1956743,16.4988114,13.4001562,2.5429199,0.1262679,8.4922156,0.0048724
28.3956436,16.3321517,13.5107885,2.5681939,0.1261768,8.4923304,0.0089717
28.5956129,16.1627560,13.6171781,2.5933732,0.1253862,8.4925416,0.0126627
28.7955822,15.9907460,13.7192852,2.6183480,0.1241700,8.4928398,0.0156788
28.9955516,15.8162502,13.8170883,2.6430689,0.1229425,8.4932089,0.0177937
29.1955209,15.6394040,13.9105765,2.6673908,0.1194324,8.4936279,0.0188546
29.3954902,15.4604079,13.9997859,2.6910348,0.1177350,8.4940717,0.0187947
29.5954595,15.2793991,14.0847253,2.7147640,0.1207719,8.4945142,0.0176338
29.7954289,15.0963905,14.1652813,2.7391390,0.1219536,8.4949293,0.0154899
29.9953982,14.9114666,14.2413516,2.7635385,0.1222950,8.4952939,0.0126048
30.1953675,14.7247419,14.3128771,2.7880325,0.1226112,8.4955906,0.0093419
