# s_m; t_s; ax_mps2; ay_mps2; atot_mps2
0.0; 0.000; -2.091; -1.405; 2.519
0.2; 0.036; -7.494; -3.632; 8.328
0.4; 0.074; -5.937; -5.477; 8.077
0.6; 0.113; -4.842; -6.637; 8.215
0.8; 0.154; -4.200; -7.240; 8.370
1.0; 0.196; -3.987; -7.389; 8.396
1.2; 0.240; -3.991; -7.362; 8.374
1.4; 0.285; -4.136; -7.233; 8.332
1.6; 0.332; -4.406; -7.007; 8.277
1.8; 0.380; -4.788; -6.681; 8.219
2.0; 0.429; -5.263; -6.256; 8.176
2.2; 0.476; -5.801; -5.752; 8.169
2.4; 0.520; -6.361; -5.199; 8.215
2.6; 0.561; -6.918; -4.622; 8.320
2.8; 0.599; -7.468; -4.019; 8.481
3.0; 0.635; -6.291; -3.565; 7.231
3.2; 0.667; -5.034; -3.263; 5.999
3.4; 0.696; -4.543; -3.029; 5.460
3.6; 0.723; -3.928; -2.878; 4.869
3.8; 0.750; -3.301; -2.764; 4.306
4.0; 0.779; -2.629; -2.679; 3.754
4.2; 0.813; -1.944; -2.623; 3.265
4.4; 0.858; -1.319; -2.597; 2.913
4.6; 0.923; -0.802; -2.596; 2.717
4.8; 1.016; -0.472; -2.612; 2.654
5.0; 1.137; -0.169; -2.741; 2.746
5.2; 1.271; 0.040; -2.959; 2.959
5.4; 1.405; 0.473; -3.304; 3.338
5.6; 1.531; 1.009; -3.665; 3.801
5.8; 1.641; 2.729; -4.235; 5.039
6.0; 1.736; 3.359; -4.658; 5.743
6.2; 1.821; 3.158; -5.001; 5.914
6.4; 1.897; 2.966; -5.320; 6.091
6.6; 1.968; 2.788; -5.610; 6.265
6.8; 2.035; 2.623; -5.875; 6.434
7.0; 2.098; 2.471; -6.115; 6.595
7.2; 2.156; 2.330; -6.332; 6.747
7.4; 2.212; 2.271; -6.438; 6.827
7.6; 2.264; 2.421; -6.265; 6.717
7.8; 2.313; 2.716; -5.882; 6.479
8.0; 2.359; 3.093; -5.348; 6.178
8.2; 2.402; 3.506; -4.712; 5.873
8.4; 2.444; 3.919; -4.013; 5.609
8.6; 2.483; 4.311; -3.283; 5.419
8.8; 2.520; 4.664; -2.554; 5.318
9.0; 2.557; 4.966; -1.863; 5.303
9.2; 2.592; 5.205; -1.249; 5.353
9.4; 2.626; 5.375; -0.764; 5.429
9.6; 2.660; 5.468; -0.468; 5.488
9.8; 2.693; 5.488; -0.390; 5.502
10.0; 2.725; 5.439; -0.524; 5.465
10.2; 2.756; 5.320; -0.864; 5.390
10.4; 2.787; 5.117; -1.409; 5.308
10.6; 2.817; 4.815; -2.152; 5.274
10.8; 2.847; 4.398; -3.073; 5.365
11.0; 2.876; 3.865; -4.128; 5.655
11.2; 2.905; 3.241; -5.235; 6.157
11.4; 2.934; 2.588; -6.278; 6.790
11.6; 2.963; 1.978; -7.151; 7.420
11.8; 2.991; 1.461; -7.806; 7.942
12.0; 3.020; 1.052; -8.254; 8.321
12.2; 3.048; 0.742; -8.541; 8.573
12.4; 3.077; 0.510; -8.714; 8.729
12.6; 3.105; 0.335; -8.813; 8.820
12.8; 3.133; 0.203; -8.867; 8.869
13.0; 3.160; 0.101; -8.893; 8.894
13.2; 3.187; 0.021; -8.904; 8.904
13.4; 3.213; -0.042; -8.905; 8.906
13.6; 3.239; -0.094; -8.903; 8.903
13.8; 3.264; -0.138; -8.899; 8.900
14.0; 3.289; -0.172; -8.895; 8.897
14.2; 3.313; -0.189; -8.895; 8.897
14.4; 3.337; -0.172; -8.898; 8.900
