# s_m; t_s; delta_rad; f_drive_N; f_brake_N; gamma_y_N
0.0; 0.000; -0.03816; 2.8; -27.9; -3.1
0.2; 0.036; -0.05666; 3.0; -22.4; -4.7
0.4; 0.074; -0.07032; 3.3; -18.7; -5.7
0.6; 0.113; -0.07822; 3.6; -16.7; -6.2
0.8; 0.154; -0.08042; 4.0; -16.3; -6.3
1.0; 0.196; -0.08325; 4.2; -16.5; -6.3
1.2; 0.240; -0.08845; 4.3; -17.0; -6.2
1.4; 0.285; -0.09590; 4.3; -18.0; -6.0
1.6; 0.332; -0.10562; 4.3; -19.2; -5.7
1.8; 0.380; -0.11762; 4.2; -20.8; -5.3
2.0; 0.429; -0.13191; 4.2; -22.5; -4.9
2.2; 0.476; -0.14850; 4.1; -24.4; -4.4
2.4; 0.520; -0.16777; 4.0; -26.2; -3.9
2.6; 0.561; -0.19074; 4.0; -28.0; -3.4
2.8; 0.599; -0.21267; 0.0; -20.0; -3.0
3.0; 0.635; -0.23115; 0.0; -15.6; -2.8
3.2; 0.667; -0.24695; 0.0; -13.8; -2.6
3.4; 0.696; -0.26055; 0.0; -11.7; -2.5
3.6; 0.723; -0.27232; 0.0; -9.5; -2.4
3.8; 0.750; -0.28251; 0.0; -7.1; -2.3
4.0; 0.779; -0.29124; 0.0; -4.8; -2.2
4.2; 0.813; -0.29832; 0.0; -2.6; -2.2
4.4; 0.858; -0.30312; 0.0; -0.8; -2.2
4.6; 0.923; -0.30533; 0.4; -0.0; -2.2
4.8; 1.016; -0.30225; 1.6; -0.0; -2.3
5.0; 1.137; -0.29271; 2.4; -0.0; -2.5
5.2; 1.271; -0.27517; 4.0; -0.0; -2.8
5.4; 1.405; -0.25158; 5.9; -0.0; -3.1
5.6; 1.531; -0.21977; 14.4; -2.5; -3.6
5.8; 1.641; -0.18934; 13.8; -0.0; -4.0
6.0; 1.736; -0.16933; 12.9; 0.0; -4.3
6.2; 1.821; -0.15556; 12.2; 0.0; -4.5
6.4; 1.897; -0.14535; 11.6; 0.0; -4.8
6.6; 1.968; -0.13738; 11.0; 0.0; -5.0
6.8; 2.035; -0.13094; 10.4; 0.0; -5.2
7.0; 2.098; -0.12562; 9.9; 0.0; -5.4
7.2; 2.156; -0.11942; 9.7; 0.0; -5.5
7.4; 2.212; -0.10919; 10.1; 0.0; -5.4
7.6; 2.264; -0.09660; 10.9; 0.0; -5.0
7.8; 2.313; -0.08289; 12.0; 0.0; -4.6
8.0; 2.359; -0.06895; 13.3; 0.0; -4.0
8.2; 2.402; -0.05540; 14.6; 0.0; -3.4
8.4; 2.444; -0.04273; 15.8; 0.0; -2.8
8.6; 2.483; -0.03129; 17.0; 0.0; -2.2
8.8; 2.520; -0.02140; 18.0; 0.0; -1.6
9.0; 2.557; -0.01337; 18.8; -0.0; -1.1
9.2; 2.592; -0.00754; 19.4; -0.0; -0.7
9.4; 2.626; -0.00427; 19.7; -0.0; -0.4
9.6; 2.660; -0.00350; 19.8; -0.0; -0.3
9.8; 2.693; -0.00480; 19.6; -0.0; -0.4
10.0; 2.725; -0.00784; 19.2; -0.0; -0.7
10.2; 2.756; -0.01236; 18.6; -0.0; -1.2
10.4; 2.787; -0.01814; 17.6; -0.0; -1.8
10.6; 2.817; -0.02491; 16.2; -0.0; -2.6
10.8; 2.847; -0.03227; 14.5; -0.0; -3.5
11.0; 2.876; -0.03957; 12.4; -0.0; -4.5
11.2; 2.905; -0.04582; 10.3; -0.0; -5.4
11.4; 2.934; -0.04996; 8.3; -0.0; -6.1
11.6; 2.963; -0.05138; 6.6; -0.0; -6.7
11.8; 2.991; -0.05015; 5.2; -0.0; -7.1
12.0; 3.020; -0.04694; 4.1; -0.0; -7.3
12.2; 3.048; -0.04259; 3.2; -0.0; -7.4
12.4; 3.077; -0.03783; 2.6; -0.0; -7.5
12.6; 3.105; -0.03317; 2.0; -0.0; -7.6
12.8; 3.133; -0.02887; 1.6; -0.0; -7.6
13.0; 3.160; -0.02507; 1.3; -0.0; -7.6
13.2; 3.187; -0.02176; 1.0; -0.0; -7.6
13.4; 3.213; -0.01893; 0.8; -0.0; -7.6
13.6; 3.239; -0.01652; 0.6; -0.0; -7.6
13.8; 3.264; -0.01445; 0.5; -0.0; -7.6
14.0; 3.289; -0.01267; 0.4; -0.0; -7.6
14.2; 3.313; -0.01113; 0.4; -0.0; -7.6
14.4; 3.337; -0.00976; 0.5; -0.0; -7.6
14.6; 3.361; -0.00853; 0.6; -0.0; -7.6
14.8; 3.386; -0.00736; 0.8; -0.0; -7.6
15.0; 3.410; -0.00620; 0.9; -0.0; -7.6
15.2; 3.435; -0.00493; 1.0; -0.0; -7.6
15.4; 3.460; -0.00347; 1.1; -0.0; -7.6
15.6; 3.487; -0.00179; 1.2; -0.0; -7.6
15.8; 3.514; 0.00012; 1.2; -0.0; -7.6
16.0; 3.541; 0.00231; 1.2; -0.0; -7.5
16.2; 3.569; 0.00481; 1.0; -0.1; -7.5
16.4; 3.598; 0.00764; 4.6; -11.5; -7.2
16.6; 3.628; 0.01085; 4.2; -12.8; -7.0
16.8; 3.658; 0.01454; 4.0; -13.1; -7.0
17.0; 3.689; 0.01879; 3.8; -13.4; -6.9
17.2; 3.720; 0.02370; 3.6; -13.7; -6.8
17.4; 3.752; 0.02937; 3.4; -14.0; -6.8
17.6; 3.784; 0.03592; 3.2; -14.3; -6.7
17.8; 3.818; 0.04343; 3.0; -14.7; -6.6
18.0; 3.851; 0.05199; 2.7; -15.0; -6.5
18.2; 3.886; 0.06170; 2.5; -15.2; -6.4
18.4; 3.922; 0.07258; 2.1; -15.3; -6.3
18.6; 3.958; 0.08405; 5.2; -14.0; -6.4
18.8; 3.996; 0.09572; 6.4; -13.5; -6.3
19.0; 4.034; 0.10744; 3.9; -10.7; -6.2
19.2; 4.073; 0.11904; 0.2; -7.0; -6.1
19.4; 4.114; 0.13036; 0.1; -6.1; -6.1
19.6; 4.155; 0.14123; 0.0; -5.4; -6.0
19.8; 4.198; 0.15141; 0.0; -4.7; -6.0
20.0; 4.242; 0.16069; 0.0; -4.0; -5.9
20.2; 4.287; 0.16890; 0.0; -3.3; -5.9
20.4; 4.333; 0.17588; 0.0; -2.6; -5.9
20.6; 4.382; 0.18147; 0.0; -1.9; -5.8
20.8; 4.431; 0.18552; 0.0; -1.2; -5.8
21.0; 4.482; 0.18795; 0.0; -0.5; -5.8
21.2; 4.535; 0.18875; 0.0; -0.0; -5.8
21.4; 4.589; 0.18765; 0.8; -0.0; -5.8
21.6; 4.645; 0.18450; 1.4; -0.0; -5.8
21.8; 4.701; 0.17930; 2.1; -0.0; -5.8
22.0; 4.759; 0.17210; 2.7; -0.0; -5.8
22.2; 4.816; 0.16300; 3.3; -0.0; -5.8
22.4; 4.872; 0.15214; 4.1; -0.2; -5.9
22.6; 4.928; 0.13968; 9.1; -3.9; -6.0
22.8; 4.983; 0.12565; 8.8; -3.5; -6.0
23.0; 5.037; 0.11031; 8.3; -2.5; -6.1
23.2; 5.089; 0.09390; 7.6; -1.4; -6.2
23.4; 5.140; 0.07681; 6.9; -0.4; -6.4
23.6; 5.189; 0.05991; 6.4; -0.0; -6.5
23.8; 5.237; 0.04323; 6.0; -0.0; -6.6
24.0; 5.282; 0.02650; 5.6; -0.0; -6.7
24.2; 5.325; 0.00974; 5.0; -0.0; -6.9
24.4; 5.365; -0.00690; 4.4; -0.0; -7.0
24.6; 5.401; -0.02315; 3.7; -0.0; -7.1
24.8; 5.433; -0.03852; 3.0; -0.0; -7.3
25.0; 5.461; -0.05242; 2.2; -0.0; -7.4
25.2; 5.485; -0.06430; 1.4; -0.0; -7.5
25.4; 5.505; -0.07390; 0.7; -0.0; -7.5
25.6; 5.521; -0.08199; 0.5; -0.0; -7.5
25.8; 5.533; -0.08965; 1.1; -0.0; -7.5
26.0; 5.544; -0.09657; 1.8; -0.0; -7.5
26.2; 5.555; -0.10389; 2.8; -0.0; -7.4
26.4; 5.569; -0.11197; 4.5; -0.0; -7.1
26.6; 5.589; -0.11795; 6.7; -0.0; -6.5
26.8; 5.616; -0.11927; 8.3; -0.0; -6.0
27.0; 5.650; -0.11769; 8.8; -0.0; -5.8
27.2; 5.690; -0.11516; 8.7; 0.0; -5.8
