# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
0.0; 0.000; 5.74; -0.00223; -0.29699; 0.01051; -0.11177
0.2; 0.036; 5.47; -0.00157; -0.78640; -0.01376; -0.12562
0.4; 0.074; 5.25; -0.00033; -1.14736; -0.04191; -0.15264
0.6; 0.113; 5.06; 0.00119; -1.39897; -0.07620; -0.18927
0.8; 0.154; 4.88; 0.00297; -1.54169; -0.11811; -0.23162
1.0; 0.196; 4.71; 0.00413; -1.57079; -0.16830; -0.27505
1.2; 0.240; 4.54; 0.00298; -1.57079; -0.22685; -0.31653
1.4; 0.285; 4.35; -0.00062; -1.57079; -0.29326; -0.35431
1.6; 0.332; 4.14; -0.00638; -1.57079; -0.36623; -0.38619
1.8; 0.380; 3.91; -0.01404; -1.57079; -0.44324; -0.40875
2.0; 0.429; 3.66; -0.02333; -1.57079; -0.52008; -0.41674
2.2; 0.476; 3.40; -0.03392; -1.57079; -0.59104; -0.40366
2.4; 0.520; 3.12; -0.04555; -1.57079; -0.65097; -0.36575
2.6; 0.561; 2.84; -0.05828; -1.57079; -0.69774; -0.30493
2.8; 0.599; 2.57; -0.07263; -1.57079; -0.73181; -0.22524
3.0; 0.635; 2.35; -0.08767; -1.57079; -0.75436; -0.12744
3.2; 0.667; 2.20; -0.09943; -1.57079; -0.76659; -0.01135
3.4; 0.696; 2.08; -0.10876; -1.57079; -0.76991; 0.12124
3.6; 0.723; 1.98; -0.11668; -1.57079; -0.76564; 0.26711
3.8; 0.750; 1.90; -0.12354; -1.57079; -0.75426; 0.42153
4.0; 0.779; 1.83; -0.12955; -1.57079; -0.73484; 0.57797
4.2; 0.813; 1.78; -0.13476; -1.57079; -0.70412; 0.72750
4.4; 0.858; 1.73; -0.13902; -1.57079; -0.65543; 0.85720
4.6; 0.923; 1.71; -0.14195; -1.57079; -0.57771; 0.94732
4.8; 1.016; 1.70; -0.14317; -1.57080; -0.46091; 0.97636
5.0; 1.137; 1.73; -0.14083; -1.57080; -0.31012; 0.94141
5.2; 1.271; 1.79; -0.13490; -1.57080; -0.14607; 0.86266
5.4; 1.405; 1.92; -0.12433; -1.57080; 0.01226; 0.76555
5.6; 1.531; 2.11; -0.11076; -1.57080; 0.15554; 0.66745
5.8; 1.641; 2.47; -0.09101; -1.57080; 0.28324; 0.58247
6.0; 1.736; 2.82; -0.07446; -1.57080; 0.39699; 0.51106
6.2; 1.821; 3.12; -0.06286; -1.57079; 0.49764; 0.44812
6.4; 1.897; 3.37; -0.05431; -1.57079; 0.58582; 0.39073
6.6; 1.968; 3.59; -0.04759; -1.57079; 0.66217; 0.33750
6.8; 2.035; 3.78; -0.04207; -1.57079; 0.72721; 0.28737
7.0; 2.098; 3.95; -0.03739; -1.57079; 0.78106; 0.23860
7.2; 2.156; 4.11; -0.03337; -1.57079; 0.82337; 0.18903
7.4; 2.212; 4.24; -0.02957; -1.54728; 0.85397; 0.13834
7.6; 2.264; 4.38; -0.02549; -1.45772; 0.87341; 0.08907
7.8; 2.313; 4.52; -0.02145; -1.32480; 0.88285; 0.04327
8.0; 2.359; 4.67; -0.01754; -1.16641; 0.88364; 0.00181
8.2; 2.402; 4.82; -0.01384; -0.99549; 0.87706; -0.03524
8.4; 2.444; 4.99; -0.01045; -0.82127; 0.86426; -0.06829
8.6; 2.483; 5.16; -0.00746; -0.65082; 0.84612; -0.09780
8.8; 2.520; 5.33; -0.00495; -0.49019; 0.82328; -0.12344
9.0; 2.557; 5.51; -0.00297; -0.34527; 0.79634; -0.14402
9.2; 2.592; 5.70; -0.00153; -0.22262; 0.76606; -0.15886
9.4; 2.626; 5.88; -0.00063; -0.12995; 0.73333; -0.16860
9.6; 2.660; 6.07; -0.00021; -0.07575; 0.69893; -0.17461
9.8; 2.693; 6.25; -0.00014; -0.06232; 0.66339; -0.17830
