#x_m,y_m,w_tr
2.519675,8.468150,2.462652
2.512532,8.518542,2.498652
2.505389,8.568935,2.518605
2.500000,8.620054,2.520000
2.500000,8.673406,2.520000
2.500000,8.726757,2.537721
2.500000,8.780109,2.555442
2.500000,8.833460,2.573163
2.500000,8.886811,2.573163
2.500000,8.940163,2.555442
2.500000,8.993514,2.537721
2.500000,9.046866,2.520000
2.499973,9.100206,2.520000
2.494556,9.151313,2.520000
2.487413,9.201706,2.517210
2.480270,9.252099,2.499489
2.473127,9.302492,2.571768
2.465984,9.352885,2.554047
2.458842,9.403277,2.536326
2.451726,9.453681,2.518605
2.450000,9.506318,2.500884
2.450000,9.559669,2.483163
2.450000,9.613021,2.465442
2.450000,9.666372,2.447721
2.450000,9.719724,2.430000
2.450000,9.773075,2.430000
2.450000,9.826426,2.430000
2.446987,9.878530,2.447721
2.439844,9.928922,2.465442
2.432701,9.979315,2.483163
2.425558,10.029708,2.500884
2.418415,10.080101,2.608605
2.411272,10.130493,2.626326
2.404129,10.180886,2.644047
2.400000,10.232527,2.661768
2.400000,10.285879,2.697209
2.400000,10.339230,2.714930
2.400000,10.392581,2.732652
2.400000,10.445933,2.750372
2.400000,10.499284,2.768093
2.400000,10.552636,2.822372
2.400000,10.605987,2.840372
2.400000,10.659338,2.858093
2.400000,10.712690,2.880000
2.398374,10.765368,2.880000
2.391359,10.815813,2.897721
2.384216,10.866206,2.915442
2.377073,10.916599,2.933163
2.369930,10.966992,2.860884
2.362787,11.017385,2.859489
2.357210,11.067129,2.841768
2.358647,11.115315,2.824047
2.365662,11.165654,2.806326
2.372805,11.216047,2.788605
2.379948,11.266440,2.860884
2.387091,11.316833,2.843163
2.394234,11.367226,2.825442
2.399812,11.418267,2.807721
2.400000,11.471540,2.790000
2.400000,11.524891,2.790000
2.400000,11.578243,2.790000
2.403197,11.630270,2.790000
2.411783,11.680065,2.790000
2.425759,11.727627,2.880000
2.447228,11.767878,2.880000
2.476318,11.800508,2.970000
2.513030,11.825516,2.970000
2.557364,11.842902,3.060000
2.606122,11.853990,3.150000
2.657113,11.859690,3.240000
2.710336,11.860000,3.240000
2.763687,11.860000,3.240000
2.815905,11.862737,3.240000
2.866298,11.869880,3.257721
2.916690,11.877022,3.275442
2.967083,11.884165,3.293163
3.017476,11.891308,3.220884
3.067869,11.898451,3.238605
3.118261,11.905594,3.240000
3.169788,11.910000,3.240000
3.223139,11.910000,3.240000
3.276491,11.910000,3.275442
3.329842,11.910000,3.290372
3.383193,11.910000,3.272651
3.436545,11.910000,3.254930
3.489896,11.910000,3.237209
3.543248,11.910000,3.219489
3.596599,11.910000,3.201768
3.649951,11.910000,3.184047
3.703302,11.910000,3.166326
3.756653,11.910000,3.148605
3.809166,11.912026,3.130884
3.859558,11.919169,3.113163
3.909698,11.925701,3.095442
3.957605,11.926843,3.077721
4.003280,11.922596,3.060000
4.047755,11.915453,3.060000
4.092231,11.908310,3.060000
4.136232,11.895971,3.077721
4.180708,11.874542,3.005442
4.225436,11.853725,3.023163
4.272397,11.838297,3.023163
4.320583,11.825825,2.950884
4.368017,11.811540,2.968605
4.415451,11.797254,2.986326
4.463637,11.784783,2.914047
4.511235,11.770894,2.931768
4.558669,11.756608,2.949489
4.603896,11.736992,2.967209
4.647897,11.714419,2.894930
4.691617,11.691167,2.912651
4.733105,11.662526,2.840372
4.772922,11.629852,2.750372
4.812739,11.597177,2.768093
4.850489,11.559511,2.732652
4.888214,11.521786,2.660372
4.925939,11.484061,2.624651
4.963664,11.446336,2.624651
5.001390,11.408610,2.552652
5.039115,11.370885,2.447721
5.076840,11.333160,2.340000
5.110602,11.293793,2.340000
5.143277,11.253976,2.267721
5.173403,11.213104,2.285442
5.198140,11.169999,2.213163
5.217488,11.124661,2.230884
5.231447,11.077092,2.158605
5.240016,11.027290,2.176326
5.251399,10.978654,2.194047
5.261384,10.929438,2.211768
5.268526,10.879045,2.229489
5.275669,10.828652,2.157210
5.282812,10.778259,2.174931
5.289955,10.727867,2.194047
5.297098,10.677474,2.174931
5.300000,10.625325,2.157210
5.300000,10.571973,2.139489
5.300000,10.518622,2.121768
5.300000,10.465270,2.104047
5.300822,10.412259,2.086326
5.307033,10.361481,2.068605
5.314176,10.311088,2.050884
5.321319,10.260695,2.033163
5.328461,10.210302,2.105442
5.335604,10.159910,2.087721
5.342747,10.109517,2.070000
5.349068,10.058784,2.070000
5.351438,10.006414,2.070000
5.358265,9.955890,2.070000
5.365408,9.905498,2.070000
5.372913,9.855255,2.070000
5.385807,9.807244,2.177721
5.400092,9.759810,2.195442
5.414378,9.712376,2.213163
5.431900,9.666282,2.320884
5.446501,9.618979,2.320884
5.460787,9.571545,2.303163
5.474711,9.523961,2.285442
5.487182,9.475775,2.250000
5.501468,9.428341,2.250000
5.515754,9.380907,2.250000
5.525365,9.331537,2.177721
5.532508,9.281144,2.195442
5.539651,9.230751,2.213163
5.546794,9.180359,2.230884
5.550000,9.128335,2.248605
5.550000,9.074984,2.250000
5.550000,9.021632,2.250000
5.555230,8.970447,2.250000
5.562373,8.920055,2.250000
5.569516,8.869662,2.250000
5.576658,8.819269,2.160000
5.583801,8.768876,2.160000
5.590944,8.718484,2.160000
5.598087,8.668091,2.160000
5.600000,8.615532,2.160000
5.600000,8.562180,2.160000
5.600000,8.508829,2.160000
5.600000,8.455477,2.160000
5.601811,8.402876,2.160000
5.608954,8.352483,2.177721
5.616097,8.302091,2.195442
5.623240,8.251698,2.195442
5.630382,8.201305,2.140884
5.637525,8.150912,2.158605
5.644668,8.100520,2.160000
5.652089,8.050242,2.160000
5.659232,7.999849,2.160000
5.666374,7.949456,2.160000
5.673517,7.899064,2.160000
5.680660,7.848671,2.070000
5.687803,7.798278,2.070000
5.694946,7.747885,2.070000
5.702366,7.697608,2.070000
5.709509,7.647215,2.070000
5.716652,7.596822,2.070000
5.723795,7.546429,2.070000
5.730938,7.496037,1.980000
5.738081,7.445644,1.997721
5.745224,7.395251,2.015442
5.750000,7.343878,2.033163
5.750000,7.290527,2.050884
5.750000,7.237175,2.068605
5.750000,7.183824,2.104047
5.750000,7.130472,2.121768
5.754337,7.078917,2.139489
5.761480,7.028525,2.103210
5.768623,6.978132,2.067210
5.775765,6.927739,2.105442
5.782908,6.877346,2.121768
5.790051,6.826954,2.104047
5.797194,6.776561,2.086326
5.800000,6.724372,2.068605
5.800000,6.671020,2.050884
5.805292,6.619861,2.033163
5.812435,6.569468,2.015442
5.819577,6.519075,1.997721
5.826720,6.468683,2.070000
5.833863,6.418290,2.070000
5.841006,6.367897,2.070000
5.848149,6.317504,2.070000
5.850000,6.264920,2.070000
5.850857,6.211923,2.070000
5.857104,6.161159,2.070000
5.868740,6.112628,2.068605
5.883025,6.065193,2.140884
5.897311,6.017759,2.123163
5.911597,5.970325,2.105442
5.925882,5.922891,2.174931
5.939311,5.875102,2.160000
5.947350,5.825081,2.160000
5.950000,5.772827,2.158605
5.950000,5.719475,2.140884
5.950000,5.666124,2.123163
5.950000,5.612772,2.105442
5.951074,5.559866,2.087721
5.957538,5.509192,2.070000
5.964680,5.458799,2.070000
5.971823,5.408406,2.067210
5.978966,5.358013,2.139489
5.986109,5.307621,2.121768
5.993252,5.257228,2.104047
5.999321,5.206390,2.086326
6.001690,5.154020,2.068605
6.008770,5.103602,2.050884
6.016188,5.053323,2.033163
6.028996,5.005276,2.105442
6.043282,4.957842,2.087721
6.061817,4.912169,2.070000
6.085742,4.868727,2.160000
6.112623,4.826510,2.160000
6.134114,4.782061,2.267721
6.156687,4.738059,2.267721
6.179260,4.694058,2.338605
6.200689,4.649583,2.356326
6.217868,4.603347,2.374047
6.229657,4.554879,2.301768
6.236800,4.504486,2.319489
6.243943,4.454093,2.337210
6.251364,4.403816,2.340000
6.258784,4.353538,2.340000
6.266209,4.303262,2.357721
6.279024,4.255219,2.285442
6.293310,4.207785,2.303163
6.307595,4.160351,2.320884
6.326476,4.114820,2.248605
6.346207,4.069641,2.266326
6.363730,4.023548,2.284047
6.384876,3.978955,2.211768
6.400633,3.932131,2.229489
6.414918,3.884697,2.247210
6.429204,3.837263,2.157210
6.438895,3.787925,2.174931
6.446037,3.737532,2.194047
6.450000,3.685822,2.211768
6.450000,3.632471,2.247210
6.450000,3.579119,2.264931
6.450000,3.525768,2.229210
6.450000,3.472417,2.174931
6.455151,3.421199,2.157210
6.462294,3.370806,2.103210
6.469436,3.320413,2.067210
6.476579,3.270020,2.139489
6.483722,3.219628,2.121768
6.490865,3.169235,2.104047
6.498008,3.118842,2.086326
6.500000,3.066316,2.068605
6.500000,3.012964,2.050884
6.500000,2.959613,2.033163
6.498607,2.906839,2.015442
6.491824,2.856297,1.997721
6.484681,2.805904,1.980000
6.477538,2.755511,1.980000
6.470396,2.705118,1.890000
6.463253,2.654726,1.890000
6.456110,2.604333,1.890000
6.450360,2.553363,1.890000
6.450000,2.500161,1.890000
6.447652,2.447782,1.907721
6.440509,2.397389,1.925442
6.433366,2.346996,1.907721
6.424952,2.297130,1.800000
6.411148,2.249497,1.800000
6.396862,2.202063,1.817721
6.382381,2.154709,1.835442
6.364859,2.108616,1.763163
6.350574,2.061182,1.780884
6.336288,2.013748,1.798605
6.318766,1.967654,1.726326
6.303998,1.920420,1.744047
6.289712,1.872986,1.761768
6.275622,1.825471,1.779489
6.263150,1.777285,1.762047
6.248865,1.729851,1.816326
6.234579,1.682417,1.870605
6.222108,1.634231,1.853163
6.207822,1.586797,1.853163
6.192258,1.539893,1.907442
6.171304,1.495221,1.890000
6.148731,1.451219,1.959768
6.124142,1.408053,1.961721
6.094163,1.367119,1.924884
6.061489,1.327302,1.942326
6.025785,1.292917,1.942326
5.985968,1.260243,1.959768
5.944648,1.231196,1.977210
5.902739,1.203573,1.996605
5.859913,1.178162,2.014047
5.815911,1.155589,1.959768
5.771910,1.133016,1.977210
5.729997,1.105401,1.977210
5.686251,1.082211,2.031489
5.641776,1.060782,1.977210
5.595682,1.043260,1.959489
5.550505,1.023525,2.031768
5.504973,1.004648,2.014047
5.457208,0.991160,1.996326
5.409023,0.978689,2.068605
5.361589,0.964403,2.050884
5.314155,0.950117,2.033163
5.266696,0.935892,2.015442
5.217004,0.927056,2.087721
5.166612,0.919913,2.070000
5.116219,0.912770,2.070000
5.065941,0.905349,2.070000
5.015548,0.898206,2.070000
4.965156,0.891064,2.070000
4.914763,0.883921,2.157210
4.865991,0.872865,2.139489
4.818557,0.858579,2.121768
4.771123,0.844294,2.104047
4.721762,0.834659,2.174931
4.671369,0.827516,2.157210
4.620977,0.820373,2.139489
4.572179,0.809378,2.121768
4.523125,0.799005,2.104047
4.473741,0.789425,2.086326
4.426307,0.775140,2.174931
4.378873,0.760854,2.157210
4.332003,0.745208,2.139489
4.287364,0.724172,2.211768
4.241293,0.706596,2.174931
4.193977,0.692026,2.157210
4.147883,0.674504,2.229489
4.100449,0.660218,2.211768
4.053015,0.645932,2.194047
4.005018,0.633007,2.266326
3.954788,0.625471,2.248605
3.906579,0.613054,2.230884
3.859028,0.599053,2.213163
3.809244,0.590440,2.195442
3.758851,0.583297,2.267721
3.708458,0.576155,2.250000
3.658065,0.569012,2.248605
3.609832,0.556656,2.230884
3.560213,0.547644,2.213163
3.509821,0.540501,2.195442
3.459428,0.533358,2.267721
3.409035,0.526215,2.250000
3.360636,0.514259,2.248605
3.313202,0.499973,2.230884
3.263609,0.490901,2.213163
3.213216,0.483758,2.285442
3.162823,0.476615,2.267721
3.112430,0.469472,2.250000
3.064006,0.457576,2.250000
3.014578,0.448104,2.250000
2.964186,0.440961,2.250000
2.913793,0.433818,2.340000
2.863400,0.426676,2.338605
2.813007,0.419533,2.320884
2.764558,0.407698,2.303163
2.715155,0.398165,2.285442
2.664763,0.391022,2.267721
2.614370,0.383879,2.340000
2.563977,0.376736,2.340000
2.513584,0.369594,2.340000
2.465110,0.357819,2.340000
2.415732,0.348226,2.340000
2.365340,0.341083,2.338605
2.314947,0.333940,2.410884
2.266167,0.322904,2.393163
2.218733,0.308618,2.375442
2.171299,0.294332,2.357721
2.121946,0.284678,2.430000
2.071553,0.277535,2.430000
2.022608,0.266898,2.428605
1.975174,0.252613,2.428605
1.926127,0.242220,2.410884
1.875734,0.235077,2.393163
1.826483,0.225178,2.465442
1.779049,0.210893,2.447721
1.731615,0.196607,2.430000
1.682734,0.185815,2.428605
1.632341,0.178672,2.498652
1.581948,0.171530,2.483163
1.531555,0.164387,2.465442
1.481278,0.156966,2.447721
1.430885,0.149823,2.430000
1.380492,0.142680,2.428605
1.330099,0.135538,2.410884
1.280658,0.126099,2.483163
1.233223,0.111813,2.465442
1.185789,0.097527,2.447721
1.137099,0.086276,2.430000
1.087351,0.077575,2.518605
1.039836,0.063484,2.500884
0.992402,0.049199,2.483163
0.944017,0.037209,2.465442
0.893624,0.030066,2.534931
0.843231,0.022923,2.520000
0.792839,0.015780,2.518605
0.741801,0.010196,2.500884
0.688530,0.010000,2.483163
0.635179,0.010000,2.465442
0.583008,0.007149,2.447721
0.532616,0.000006,2.430000
0.482223,-0.007137,2.430000
0.431830,-0.014280,2.427210
0.381437,-0.021423,2.483163
0.331045,-0.028566,2.481768
0.280652,-0.035708,2.462652
0.229078,-0.040000,2.444931
0.177163,-0.043468,2.427210
0.126770,-0.050610,2.409489
0.076377,-0.057753,2.391768
0.025985,-0.064896,2.374047
-0.024408,-0.072039,2.446326
-0.074801,-0.079182,2.428605
-0.125194,-0.086325,2.393163
-0.177023,-0.090000,2.375442
-0.230374,-0.090000,2.357721
-0.283726,-0.090000,2.340000
-0.337077,-0.090000,2.357721
-0.388316,-0.084900,2.375442
-0.438709,-0.077758,2.357721
-0.489102,-0.070615,2.340000
-0.537828,-0.059449,2.338605
-0.585262,-0.045163,2.356326
-0.632696,-0.030877,2.374047
-0.680130,-0.016592,2.391768
-0.729677,-0.007406,2.319489
-0.780069,-0.000263,2.337210
-0.830462,0.006880,2.354931
-0.882521,0.010000,2.372652
-0.935873,0.010000,2.391768
-0.989224,0.010000,2.409489
-1.042576,0.010000,2.427210
-1.095927,0.010000,2.444931
-1.149278,0.010000,2.462652
-1.202630,0.010000,2.498652
-1.255981,0.010000,2.498652
-1.309333,0.010000,2.462652
-1.362684,0.010000,2.444931
-1.416036,0.010000,2.427210
-1.469387,0.010000,2.409489
-1.522738,0.010000,2.391768
-1.576090,0.010000,2.356326
-1.629441,0.010000,2.338605
-1.681000,0.014328,2.320884
-1.731393,0.021471,2.303163
-1.781785,0.028614,2.285442
-1.830831,0.039009,2.357721
-1.878265,0.053294,2.340000
-1.924939,0.069417,2.340000
-1.969414,0.090845,2.430000
-2.015508,0.108367,2.430000
-2.060535,0.128464,2.447721
-2.103329,0.153950,2.555442
-2.145239,0.181574,2.573163
-2.185977,0.210924,2.680884
-2.219855,0.246058,2.770884
-2.248308,0.283508,2.788605
-2.270881,0.327510,2.878605
-2.293454,0.371511,2.986326
-2.305624,0.415513,3.076326
-2.310462,0.460943,3.110372
-2.310462,0.508377,3.111768
-2.310462,0.555811,3.094047
-2.310462,0.603245,3.076326
-2.308896,0.651328,3.058605
-2.301941,0.701643,3.040884
-2.300000,0.754190,3.023163
-2.300000,0.807541,3.005442
-2.300000,0.860893,2.987721
-2.300000,0.914244,2.970000
-2.300000,0.967596,2.970000
-2.300000,1.020947,2.967209
-2.300000,1.074299,2.949489
-2.300000,1.127650,2.931768
-2.300000,1.181001,2.914047
-2.300000,1.234353,2.896326
-2.300000,1.287704,2.860884
-2.300000,1.341056,2.843163
-2.300000,1.394407,2.825442
-2.300000,1.447759,2.807721
-2.300000,1.501110,2.790000
-2.300000,1.554461,2.790000
-2.300000,1.607813,2.790000
-2.300000,1.661164,2.790000
-2.300000,1.714516,2.788605
-2.300000,1.767867,2.770884
-2.300000,1.821219,2.753163
-2.300000,1.874570,2.735442
-2.300000,1.927921,2.717721
-2.300000,1.981273,2.700000
-2.300000,2.034624,2.700000
-2.300000,2.087976,2.700000
-2.300000,2.141327,2.700000
-2.300000,2.194678,2.717721
