#s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,2.5163203,8.4035590,1.5949790,-0.0571774,5.7398961,-6.1840342
0.1997204,2.5129462,8.6030048,1.5788978,-0.1037694,5.5205300,-5.1387500
0.3994408,2.5136951,8.8027850,1.5537500,-0.1475594,5.3313811,-4.3563521
0.5991612,2.5203339,9.0025872,1.5201181,-0.1866581,5.1656094,-3.7973997
0.7988816,2.5344211,9.2019467,1.4791996,-0.2212632,5.0166407,-3.4407772
0.9986020,2.5572648,9.4002331,1.4319196,-0.2532377,4.8777348,-3.3473356
1.1983225,2.5901395,9.5974133,1.3781722,-0.2860446,4.7386954,-3.4166569
1.3980429,2.6342959,9.7926068,1.3172268,-0.3241615,4.5924375,-3.5639203
1.5977633,2.6910379,9.9844963,1.2479004,-0.3686173,4.4347386,-3.8040929
1.7974837,2.7617999,10.1715978,1.1687897,-0.4211660,4.2599761,-4.1599264
1.9972041,2.8481310,10.3520108,1.0780096,-0.4832291,4.0602651,-4.6653517
2.1969245,2.9517096,10.5234002,0.9738045,-0.5557897,3.8239012,-5.3679203
2.3966449,3.0741388,10.6823316,0.8508356,-0.6773075,3.5324289,-6.3193368
2.5963653,3.2148395,10.8209390,0.7018362,-0.7523065,3.1549727,-7.9168804
2.7960857,3.3756928,10.9384926,0.5643904,-0.6598545,2.6060560,-6.6150098
2.9958061,3.5469286,11.0400584,0.5779958,1.4819115,2.0369641,-2.7769013
3.1955265,3.6965750,11.1679669,0.7510935,-0.2142132,1.7435639,-0.3810197
3.3952470,3.8481094,11.2923692,0.6023958,-0.9463728,1.6993588,0.1743593
3.5949674,4.0247021,11.3908978,0.4174038,-0.9115329,1.7197286,0.4976190
3.7946878,4.2147878,11.4550912,0.2351018,-0.9051270,1.7765798,0.9437609
3.9944082,4.4129133,11.4838168,0.0544774,-0.8778379,1.8796842,1.4365386
4.1941286,4.6125428,11.4773765,6.1669873,-0.8018554,2.0265796,2.4954332
4.3938490,4.8083630,11.4391630,6.0173795,-0.6976735,2.2591597,3.6578814
4.5935694,4.9971111,11.3740201,5.8872365,-0.6115377,2.5622080,3.9925205
4.7932898,5.1766143,11.2862031,5.7711216,-0.5526938,2.8565163,3.6505153
4.9930102,5.3452048,11.1791672,5.6654084,-0.5072721,3.1012659,3.3401920
5.1927306,5.5018924,11.0557951,5.5683107,-0.4672789,3.3093895,3.1440703
5.3924510,5.6464621,10.9182663,5.4781207,-0.4381451,3.4939847,2.9587533
5.5921714,5.7785911,10.7684678,5.3930700,-0.4143776,3.6592043,2.7867213
5.7918919,5.8980011,10.6080190,5.3118471,-0.3954669,3.8082681,2.6002117
5.9916123,6.0042472,10.4388929,5.2355050,-0.3723241,3.9422756,2.4226908
6.1913327,6.0977551,10.2621156,5.1630882,-0.3514198,4.0631587,2.3421584
6.3910531,6.1785304,10.0794066,5.0949525,-0.3293990,4.1766987,2.3348664
6.5907735,6.2470744,9.8919500,5.0318932,-0.2999667,4.2868932,2.4146517
6.7904939,6.3042781,9.7007857,4.9755918,-0.2641673,4.3979499,2.5775357
6.9902143,6.3513435,9.5068410,4.9265870,-0.2264286,4.5134839,2.8192076
7.1899347,6.3896430,9.3106724,4.8850665,-0.1887760,4.6365551,3.0550243
7.3896551,6.4204964,9.1132900,4.8510269,-0.1523524,4.7663345,3.2979644
7.5893755,6.4453234,8.9151032,4.8241224,-0.1182794,4.9025795,3.5429391
7.7890959,6.4654574,8.7164303,4.8037084,-0.0866311,5.0448469,3.7846130
7.9888164,6.4821363,8.5176557,4.7895298,-0.0558566,5.1925148,4.0131014
8.1885368,6.4966077,8.3185885,4.7813965,-0.0269084,5.3446427,4.1992367
8.3882572,6.5098911,8.1193497,4.7767765,-0.0193705,5.4993229,4.3353909
8.5879776,6.5223930,7.9201779,4.7735978,-0.0126627,5.6545809,4.4443574
8.7876980,6.5343977,7.7208150,4.7716536,-0.0069635,5.8094356,4.5201128
8.9874184,6.5461221,7.5213895,4.7706615,-0.0041896,5.9628064,4.5628868
9.1871388,6.5576790,7.3218919,4.7698374,-0.0047154,6.1137274,4.5746660
9.3868592,6.5690407,7.1224000,4.7686365,-0.0075655,6.2613874,4.5341655
9.5865796,6.5800823,6.9229819,4.7665868,-0.0129580,6.4043815,4.4522104
9.7863000,6.5905978,6.7235218,4.7632789,-0.0204142,6.5417503,4.3505828
9.9860204,6.6002975,6.5239801,4.7583326,-0.0295835,6.6732524,4.2057752
10.1857409,6.6088152,6.3243930,4.7513881,-0.0404011,6.7979597,4.0109003
10.3854613,6.6157168,6.1247953,4.7421089,-0.0528084,6.9147938,3.7582014
10.5851817,6.6205057,5.9252243,4.7301875,-0.0667429,7.0225033,3.3261857
10.7849021,6.6226298,5.7253939,4.7153410,-0.0819921,7.1164715,2.9231122
10.9846225,6.6214780,5.5255591,4.6973853,-0.0978080,7.1980398,2.4895645
11.1843429,6.6164207,5.3258226,4.6762413,-0.1136051,7.2667882,2.0459210
11.3840633,6.6068322,5.1263120,4.6519800,-0.1288082,7.3228024,1.6151245
11.5837837,6.5921196,4.9271916,4.6248079,-0.1429281,7.3667212,1.2181213
11.7835041,6.5717466,4.7286643,4.5950109,-0.1556581,7.3996722,0.8552395
11.9832245,6.5452235,4.5308136,4.5628752,-0.1667283,7.4227196,0.5417064
12.1829449,6.5120935,4.3336457,4.5286547,-0.1758921,7.4372808,0.3041231
12.3826653,6.4720682,4.1377868,4.4927239,-0.1834387,7.4454432,0.0987326
12.5823858,6.4249033,3.9435546,4.4554551,-0.1889649,7.4480912,-0.0795007
12.7821062,6.3704531,3.7512759,4.4173355,-0.1916791,7.4459591,-0.2355354
12.9818266,6.3087069,3.5612772,4.3790942,-0.1898170,7.4396387,-0.3740605
13.1815470,6.2398518,3.3738657,4.3417128,-0.1838192,7.4295901,-0.4995699
13.3812674,6.1643143,3.1893825,4.3063157,-0.1689032,7.4161487,-0.6213501
13.5809878,6.0826105,3.0073096,4.2762274,-0.1293423,7.3993965,-0.7366626
13.7807082,5.9959312,2.8269245,4.2539281,-0.0921991,7.3794861,-0.8221869
13.9804286,5.9062602,2.6487456,4.2396513,-0.0528168,7.3572006,-0.8552858
14.1801490,5.8147744,2.4717018,4.2320743,-0.0264456,7.3339460,-0.8296268
14.3798694,5.7221399,2.2949787,4.2271072,-0.0276986,7.3113184,-0.7876511
14.5795898,5.6284001,2.1186557,4.2195717,-0.0512420,7.2897707,-0.7320644
14.7793103,5.5329450,1.9435662,4.2056856,-0.0888776,7.2696864,-0.6776586
14.9790307,5.4344386,1.7702615,4.1841304,-0.1267539,7.2510452,-0.6314462
15.1787511,5.3313746,1.5991024,4.1556115,-0.1576491,7.2336319,-0.5968656
15.3784715,5.2228727,1.4310657,4.1217318,-0.1797568,7.2171337,-0.5846832
15.5781919,5.1084192,1.2670233,4.0841698,-0.1949565,7.2009355,-0.6370256
15.7779123,4.9878286,1.1076853,4.0447865,-0.1986829,7.1832457,-2.9676601
15.9776327,4.8611271,0.9533483,4.0052854,-0.1971109,7.1002545,-3.3659760
16.1773531,4.7284038,0.8041042,3.9656567,-0.1997709,7.0049344,-3.4329271
16.3770735,4.5899855,0.6604034,3.9257519,-0.2003105,6.9063633,-3.4853592
16.5767939,4.4459597,0.5223493,3.8859626,-0.1985157,6.8048262,-3.5352013
16.7765143,4.2965710,0.3900824,3.8467502,-0.1940605,6.7002654,-3.5831125
16.9762348,4.1421354,0.2636675,3.8085294,-0.1887303,6.5925954,-3.6299682
17.1759552,3.9829328,0.1430742,3.7713974,-0.1829504,6.4816940,-3.6778782
17.3756756,3.8192736,0.0282775,3.7353452,-0.1774356,6.3673591,-3.7275978
17.5753960,3.6515402,-0.0807064,3.7004039,-0.1722743,6.2493446,-3.7984527
17.7751164,3.4803975,-0.1836963,3.6663409,-0.1690282,6.1267488,-3.8773324
17.9748368,3.3060920,-0.2807369,3.6329391,-0.1659033,5.9990237,-3.9228845
18.1745572,3.1284760,-0.3720402,3.5998691,-0.1663839,5.8669690,-3.5797446
18.3742776,2.9477889,-0.4574476,3.5663071,-0.1700701,5.7438166,-2.8921218
18.5739980,2.7642371,-0.5366850,3.5317279,-0.1757574,5.6423575,-2.5487936
18.7737184,2.5783281,-0.6093347,3.4964574,-0.1778052,5.5514057,-2.5077441
18.9734388,2.3898756,-0.6753693,3.4607309,-0.1799317,5.4604405,-2.4964181
19.1731593,2.1990834,-0.7346132,3.4244961,-0.1832690,5.3683553,-2.4827519
19.3728797,2.0062361,-0.7868316,3.3873911,-0.1883845,5.2751802,-2.3603904
19.5726001,1.8116463,-0.8317308,3.3491044,-0.1951975,5.1850449,-2.2763444
19.7723205,1.6154195,-0.8690153,3.3093656,-0.2028201,5.0966092,-2.2017410
19.9720409,1.4178313,-0.8983192,3.2679974,-0.2116138,5.0095868,-2.1277711
20.1717613,1.2192365,-0.9192380,3.2247444,-0.2217591,4.9240270,-2.0386074
20.3714817,1.0198872,-0.9313399,3.1793216,-0.2332995,4.8406341,-1.9460856
20.5712021,0.8201165,-0.9341377,3.1314441,-0.2461784,4.7596631,-1.8616656
20.7709225,0.6205035,-0.9271082,3.0808656,-0.2603869,4.6808939,-1.7764112
20.9706429,0.4216267,-0.9097158,3.0273363,-0.2759535,4.6044757,-1.6816747
21.1703633,0.2240037,-0.8813931,2.9705950,-0.2927664,4.5309454,-1.5769663
21.3700837,0.0281698,-0.8415264,2.9103482,-0.3103533,4.4608925,-1.4916070
21.5698042,-0.1647371,-0.7896158,2.8465032,-0.3284270,4.3936037,-1.4116546
21.7695246,-0.3537105,-0.7252009,2.7790163,-0.3472072,4.3289584,-1.3335068
21.9692450,-0.5376197,-0.6479111,2.7078049,-0.3668843,4.2669924,-1.1952896
22.1689654,-0.7156599,-0.5572389,2.6326510,-0.3861779,4.2106741,-1.0734948
22.3686858,-0.8862695,-0.4530735,2.5537459,-0.4024678,4.1594445,-0.9549936
22.5684062,-1.0478684,-0.3355866,2.4716485,-0.4184284,4.1133338,-0.8296169
22.7681266,-1.1990202,-0.2050517,2.3862769,-0.4355761,4.0728531,-0.6952194
22.9678470,-1.3380957,-0.0620097,2.2972844,-0.4538979,4.0386177,-0.5486862
23.1675674,-1.4636014,0.0928047,2.2066955,-0.4560447,4.0113920,-0.3652433
23.3672878,-1.5747036,0.2587865,2.1141726,-0.4698639,3.9931657,-0.0151356
23.5670082,-1.6698125,0.4345173,2.0192411,-0.4801603,3.9924086,0.0748291
23.7667287,-1.7476358,0.6184781,1.9225786,-0.4868362,3.9961502,0.2130056
23.9664491,-1.8072053,0.8090950,1.8245249,-0.4954064,4.0067817,0.3869580
24.1661695,-1.8476462,1.0046502,1.7246679,-0.5039890,4.0260237,0.5492922
24.3658899,-1.8682281,1.2032619,1.6232784,-0.5105423,4.0531810,0.6076713
24.5656103,-1.8684917,1.4028524,1.5208780,-0.5149398,4.0830142,0.5660835
24.7653307,-1.8483250,1.6011089,1.4178857,-0.5197808,4.1106109,0.4726193
24.9650511,-1.8075473,1.7972358,1.3136028,-0.5220007,4.1335100,0.3384314
25.1647715,-1.7464208,1.9883904,1.2090770,-0.5169728,4.1498299,0.1456124
25.3644919,-1.6668326,2.1703066,1.1088907,-0.4800786,4.1568320,-0.2060925
25.5642123,-1.5697677,2.3458111,1.0307892,-0.2143378,4.1469182,-0.5492908
25.7639327,-1.4723766,2.5175850,1.1531702,1.8000320,4.1203788,0.9514580
25.9636532,-1.3886188,2.6954612,1.0727044,-0.5262661,4.1662420,2.0440531
26.1633736,-1.2839204,2.8667451,0.9726144,-0.4758018,4.2631034,2.1978301
26.3630940,-1.1641476,3.0263383,0.8827995,-0.4272635,4.3648544,2.0940262
26.5628144,-1.0306293,3.1755838,0.8001575,-0.3933390,4.4596405,2.0250514
26.7625348,-0.8857518,3.3137938,0.7247593,-0.3536219,4.5494265,2.1572235
26.9622552,-0.7315195,3.4413320,0.6587228,-0.3021503,4.6431632,2.5270674
27.1619756,-0.5699229,3.5592964,0.6044025,-0.2405218,4.7506187,3.0475654
27.3616960,-0.4029014,3.6693557,0.5630771,-0.1745232,4.8770586,3.7157034
27.5614164,-0.2325702,3.7732933,0.5348692,-0.1094800,5.0269179,4.2800448
27.7611368,-0.0598547,3.8735508,0.5189772,-0.0504021,5.1941822,4.7702929
27.9608572,0.1139919,3.9721239,0.5144775,0.0047614,5.3744747,4.6924516
28.1605776,0.2877779,4.0708775,0.5207891,0.0580764,5.5461099,4.0709485
28.3602981,0.4603398,4.1716058,0.5377106,0.1107647,5.6908205,2.9559804
28.5600185,0.6304698,4.2760241,0.5649821,0.1631585,5.7936325,-4.1007394
